"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,8,5,3,5,3,5,3,7,3,3,3,3,2,4,4,3,4
"2",3,1,2,1,5,2,7,2,1,1,1,1,1,2,2,2,1,2,1
"3",6,3,6,8,4,5,5,5,5,3,5,7,4,4,4,7,5,6,6
"4",5,4,5,2,5,7,8,6,3,3,5,3,4,4,4,2,3,2,8
"5",2,5,1,2,1,2,2,2,4,1,1,2,2,1,1,4,4,2,1
"6",6,2,1,5,4,3,1,5,4,2,4,8,2,2,5,2,3,2,2
"7",7,8,1,6,5,5,7,7,8,6,7,8,7,6,4,7,5,7,8
"8",6,5,6,8,7,4,6,8,4,5,3,6,5,6,4,8,7,4,5
"9",3,3,8,4,3,3,4,3,3,5,7,5,4,2,3,2,3,7,4
"10",8,7,8,5,8,8,8,8,7,8,5,8,8,8,8,8,7,5,8
"11",8,7,6,6,7,4,6,7,3,4,7,8,7,6,8,4,4,2,4
"12",5,2,3,4,3,6,4,2,4,3,4,3,4,4,1,2,2,7,2
"13",8,4,5,3,5,4,4,4,3,7,4,2,8,3,5,3,5,3,6
"14",4,6,8,3,4,5,4,4,3,5,5,5,4,5,5,6,5,5,3
"15",8,5,4,6,2,8,4,2,8,7,7,3,7,4,7,5,6,3,4
"16",8,5,5,6,5,8,6,5,7,7,8,7,5,7,8,7,3,7,4
"17",2,4,3,4,1,4,2,4,2,7,5,2,1,2,3,5,5,2,7
"18",4,3,2,3,4,4,7,3,3,4,3,3,6,2,6,2,3,2,3
"19",4,2,6,3,2,1,5,1,4,2,2,1,3,3,3,4,2,5,3
"20",4,2,2,3,2,2,4,2,3,2,2,1,1,1,2,3,4,1,2
"21",2,2,3,4,1,6,1,1,1,5,3,5,2,1,1,2,2,6,1
"22",2,3,2,4,5,2,2,3,2,6,1,2,2,2,2,4,6,2,1
"23",2,4,6,6,5,8,5,8,4,3,4,4,3,2,6,5,4,4,8
"24",3,5,4,3,4,4,4,3,3,4,3,7,4,3,4,5,3,4,3
"25",5,4,3,5,8,5,3,5,4,7,7,4,5,7,5,4,5,6,8
"26",8,3,6,8,7,4,7,7,3,4,4,4,5,7,8,4,4,8,7
"27",8,8,6,5,7,7,5,6,6,7,5,4,3,7,7,8,6,7,4
"28",6,5,5,4,8,5,4,4,7,7,6,5,5,4,3,7,4,5,5
"29",4,8,5,4,4,7,4,8,8,4,5,5,4,6,4,4,4,5,5
"30",3,4,3,3,3,3,4,6,3,3,3,5,5,2,4,5,3,3,5
"31",7,5,4,5,5,5,7,7,8,8,7,7,5,8,6,5,6,8,8
"32",7,8,5,4,7,6,8,6,5,8,5,6,8,7,8,6,8,8,5
"33",6,5,6,6,6,7,4,5,5,6,3,5,4,4,5,4,5,7,6
