"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,8,2,2,3,3,4,3,3,3,7,5,1,3,2,2,3,5
"2",3,1,2,1,2,1,1,7,2,1,2,2,2,1,2,1,6,1,2
"3",6,5,6,3,3,4,5,5,2,5,8,4,5,7,3,5,8,6,7
"4",5,2,7,6,8,5,5,4,2,4,7,8,2,3,5,7,1,2,6
"5",2,5,2,2,1,1,1,4,2,1,4,4,4,1,1,2,2,1,1
"6",1,5,4,6,4,2,5,3,5,3,1,4,2,4,7,2,2,2,5
"7",7,7,8,6,6,7,8,8,6,4,7,7,7,5,7,6,8,7,5
"8",6,6,5,3,6,7,4,6,8,7,2,8,8,5,8,7,6,5,7
"9",5,3,3,4,3,3,3,5,5,4,7,2,6,4,3,3,5,3,2
"10",7,5,8,5,8,8,8,8,7,5,8,8,7,8,7,7,8,7,8
"11",7,6,7,7,6,6,4,8,7,4,6,7,5,7,4,8,4,8,4
"12",3,6,4,3,4,2,3,4,4,5,7,3,4,4,3,2,4,1,2
"13",4,4,4,6,5,4,8,5,4,3,7,7,3,3,3,3,5,4,3
"14",4,6,4,5,5,8,5,5,5,5,5,4,5,4,5,5,5,5,2
"15",5,3,4,8,8,8,5,5,7,8,6,6,8,8,5,5,7,6,5
"16",8,5,5,6,8,7,5,5,6,7,7,5,7,6,5,4,8,8,5
"17",7,3,4,1,5,7,4,3,2,2,1,1,5,3,2,5,4,2,1
"18",4,3,3,2,7,3,3,4,4,2,3,3,5,5,3,1,4,3,3
"19",1,3,6,4,2,5,1,3,4,8,2,4,3,2,3,5,2,4,3
"20",2,4,2,1,4,2,2,2,2,3,7,1,2,1,3,2,3,3,3
"21",2,4,5,1,6,1,1,1,3,4,2,5,2,2,2,5,1,1,3
"22",3,2,4,1,5,1,2,6,1,2,3,2,2,2,4,2,3,5,2
"23",2,6,4,3,3,4,5,5,5,4,4,5,4,8,6,4,6,6,4
"24",5,3,4,3,6,4,3,4,4,5,4,7,6,4,3,4,3,4,4
"25",5,5,5,4,5,3,4,8,4,6,4,5,6,4,4,4,2,7,3
"26",3,4,6,8,8,7,7,6,6,5,4,8,4,4,4,8,3,8,8
"27",8,8,5,7,5,5,5,6,6,6,4,4,5,4,6,5,7,5,8
"28",6,8,5,7,4,4,7,5,6,8,4,4,7,4,3,5,4,7,6
"29",3,4,4,5,4,4,5,5,3,5,6,5,4,4,5,4,6,8,4
"30",3,3,3,3,3,3,4,3,5,5,6,6,3,4,4,3,7,3,6
"31",7,5,5,5,7,4,8,4,5,4,5,8,8,5,5,8,4,8,8
"32",4,6,8,8,8,8,7,6,8,5,8,8,6,7,8,7,8,7,8
"33",5,6,4,6,6,4,6,5,3,5,4,5,6,5,4,5,4,5,5
"34",7,7,6,7,6,4,6,6,5,6,6,5,6,5,7,5,8,5,6
"35",6,6,6,8,6,8,7,7,7,8,8,8,6,8,5,6,7,6,5
"36",4,3,1,1,8,4,1,4,4,3,3,3,3,2,2,2,3,5,3
"37",3,4,5,5,8,5,4,7,7,7,3,4,5,7,7,8,5,8,8
"38",5,8,3,2,3,5,2,3,2,2,8,4,2,2,5,4,3,1,6
"39",4,3,4,5,3,4,5,7,7,7,3,5,4,3,5,3,4,8,4
"40",2,2,2,3,2,1,1,2,3,5,6,1,4,5,2,2,2,2,7
"41",3,1,1,3,2,2,2,3,2,1,5,1,2,1,3,4,6,2,3
"42",5,7,4,4,5,4,7,4,4,5,5,4,4,3,7,3,6,7,6
"43",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"44",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46",3,1,2,3,1,5,1,2,2,3,1,2,3,5,2,1,5,1,2
"47",2,5,5,4,7,4,7,4,3,4,4,4,2,3,3,5,4,8,5
"48",7,3,4,4,5,5,2,2,3,7,5,5,4,3,3,4,5,3,3
"49",1,1,7,2,2,1,1,3,1,2,3,3,2,1,6,1,1,6,1
"50",7,6,8,8,6,5,3,8,3,4,6,4,7,5,5,4,4,5,4
"51",4,5,8,4,4,3,4,3,4,3,6,3,3,7,5,6,4,4,6
"52",3,2,3,2,4,2,6,5,3,5,6,5,5,3,1,3,5,3,2
"53",5,3,1,4,2,3,3,2,5,2,3,3,3,2,5,2,3,3,3
"54",4,3,3,2,3,5,4,2,3,6,8,3,5,4,3,3,3,3,3
"55",6,1,2,7,3,2,2,2,1,2,3,5,1,5,2,2,3,3,3
"56",7,5,8,8,7,4,6,7,4,5,7,8,8,5,4,5,6,5,5
"57",4,6,7,2,7,3,3,3,3,3,4,7,5,1,3,4,5,3,1
"58",5,2,4,3,6,6,3,4,3,3,3,3,4,2,3,5,3,3,3
"59",1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"60",3,3,5,5,2,4,6,3,2,4,3,4,3,3,3,7,3,2,4
"61",2,3,6,4,2,2,1,4,3,3,6,4,2,4,4,4,3,1,1
"62",4,2,4,2,2,3,2,7,4,4,3,2,4,3,1,1,3,2,3
"63",4,4,8,6,5,3,5,5,5,6,4,5,3,5,3,2,3,7,8
"64",2,2,3,4,1,2,1,2,2,2,1,2,1,1,2,1,2,1,1
"65",5,3,6,3,2,4,4,2,3,3,2,4,3,7,5,7,3,2,4
"66",4,2,3,3,3,4,2,4,4,3,2,8,1,4,3,2,2,5,2
"67",7,5,7,7,7,4,4,6,4,8,4,8,4,5,5,7,4,8,7
"68",8,5,8,8,8,5,8,7,8,8,7,7,8,8,8,8,8,7,7
"69",3,5,3,5,4,2,6,3,3,6,8,2,3,4,3,3,3,4,4
"70",2,2,1,2,3,1,6,7,1,1,2,1,1,3,1,1,1,4,1
"71",7,6,3,8,7,8,5,4,7,8,5,4,8,7,7,8,6,6,6
"72",6,1,4,5,5,4,4,2,2,2,2,2,3,4,4,2,2,6,1
"73",8,7,7,8,5,8,3,8,7,8,8,3,6,6,7,5,7,7,8
"74",4,8,8,4,7,8,8,5,8,7,5,7,5,7,7,7,4,7,7
"75",6,5,5,5,4,4,7,4,5,7,6,5,5,5,6,7,6,7,5
"76",4,3,8,4,8,6,3,5,6,5,5,4,2,6,5,8,5,4,4
"77",5,7,7,5,4,4,8,3,8,8,6,7,6,7,4,8,7,7,6
"78",7,3,4,7,6,3,4,8,4,4,4,8,8,8,8,7,5,8,4
"79",8,5,7,6,8,6,4,2,6,7,6,3,7,7,7,7,8,6,5
"80",5,3,4,6,5,5,5,4,6,8,4,6,4,4,5,7,8,6,4
"81",6,6,4,5,4,5,5,7,4,3,5,3,7,6,7,5,5,4,3
"82",8,8,8,8,8,8,8,8,8,8,8,8,8,4,8,7,7,8,7
"83",8,5,8,5,4,7,8,3,8,8,3,8,6,4,7,8,8,7,5
"84",7,5,8,7,8,7,8,7,7,8,8,8,8,8,5,8,8,8,5
"85",5,7,7,8,7,7,5,8,8,7,6,7,5,8,5,7,7,7,5
"86",8,7,7,7,8,7,8,7,4,8,8,8,8,8,8,8,7,7,8
"87",6,8,4,7,7,8,7,8,5,5,7,6,5,8,6,5,8,7,6
"88",6,5,5,5,4,5,6,6,5,6,5,8,7,8,6,8,5,1,4
"89",5,5,8,4,7,3,2,2,5,3,5,4,5,3,7,3,2,2,3
"90",8,8,8,8,7,5,7,8,6,7,8,8,7,8,4,8,7,8,6
"91",4,5,5,7,6,4,5,4,7,5,5,5,5,4,1,5,6,6,7
"92",5,4,5,5,8,5,5,6,8,8,3,8,5,6,8,5,4,4,4
"93",5,6,7,5,8,8,7,7,8,8,4,5,6,8,6,8,7,7,3
"94",6,7,7,7,8,6,4,7,8,5,7,5,7,8,8,5,5,8,5
"95",8,5,7,5,2,4,5,7,6,8,7,8,7,4,6,6,6,4,8
"96",5,7,8,8,8,8,8,7,6,5,7,7,6,8,8,6,6,5,8
"97",5,6,8,5,7,8,8,5,4,7,4,5,6,7,3,6,5,7,4
"98",4,3,8,4,4,2,6,4,2,5,7,7,7,2,3,5,7,6,3
"99",7,5,3,8,6,7,5,4,5,3,6,4,7,6,3,4,7,3,5
"100",3,3,2,3,2,3,3,4,4,3,4,3,3,2,5,3,3,3,3
"101",2,1,2,3,2,1,1,5,6,5,1,1,4,1,6,1,2,2,5
"102",5,5,5,6,4,6,6,7,5,4,6,4,6,7,5,3,4,5,5
"103",7,5,5,8,8,8,8,8,8,5,7,5,8,8,8,8,8,7,4
"104",6,4,4,5,5,4,3,5,4,7,4,4,8,3,2,5,3,5,2
"105",4,7,7,5,3,8,6,6,5,5,8,4,4,7,4,4,5,6,7
"106",7,6,3,6,5,6,5,6,4,5,5,8,5,8,3,5,6,5,5
"107",7,4,8,6,8,6,6,6,7,8,7,8,8,7,7,7,8,4,2
"108",6,7,7,8,5,6,6,6,6,5,8,7,7,8,8,8,5,4,4
"109",7,5,8,4,4,6,7,3,3,6,3,5,5,4,7,4,4,6,8
"110",3,1,3,4,4,4,4,5,4,5,4,1,3,7,1,4,4,2,3
"111",3,7,2,6,3,6,4,3,3,3,4,3,6,2,2,3,4,2,1
"112",2,6,8,3,3,5,4,3,4,4,6,4,4,2,6,6,7,4,4
"113",3,2,2,3,2,1,2,2,1,2,3,3,1,3,2,3,2,2,5
"114",8,4,6,8,4,7,7,4,3,7,5,3,6,6,3,4,7,3,3
