"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,3,3,8,5,2,2,3,4,3,3,4,3,7,3,2,3,3,4
"2",1,1,1,5,3,1,5,1,2,4,2,1,2,3,3,3,7,2,2
"3",5,6,4,8,6,3,3,5,4,3,4,4,8,5,6,3,4,5,4
"4",5,7,2,2,4,3,3,5,4,5,2,2,5,6,5,3,3,6,3
"5",1,2,1,2,2,1,1,2,1,1,2,1,2,2,4,1,1,1,4
"6",3,3,2,2,3,4,2,1,6,3,2,2,1,2,1,2,2,5,5
"7",6,1,8,5,7,6,7,6,5,8,8,7,8,4,7,7,7,7,8
"8",6,5,7,8,4,8,4,6,5,6,4,4,6,3,7,6,4,1,4
"9",4,5,4,8,4,5,4,2,1,5,3,4,7,7,7,1,4,4,2
"10",4,8,6,8,5,6,7,8,8,8,6,5,8,5,6,8,8,5,8
"11",8,5,4,6,6,7,7,4,3,5,7,7,3,3,6,4,4,4,4
"12",5,6,4,3,6,1,3,4,2,3,7,1,1,2,3,4,3,2,6
"13",8,8,6,5,4,3,5,7,5,2,7,6,7,7,2,3,8,7,8
"14",3,6,6,4,5,8,6,8,3,6,5,4,8,5,3,4,4,8,4
"15",5,4,3,2,7,5,4,5,4,6,8,4,3,8,4,3,4,4,5
"16",5,8,6,7,8,5,8,7,7,4,4,6,6,7,4,8,8,6,7
"17",2,2,2,3,3,1,1,1,4,1,4,2,1,5,4,2,1,2,2
"18",3,4,2,1,3,2,4,3,2,2,2,4,4,2,2,2,6,2,3
"19",2,2,2,2,2,3,1,1,2,3,3,2,1,1,1,4,2,5,2
"20",2,4,1,2,2,2,3,2,2,3,2,4,3,2,1,3,3,6,2
"21",1,2,3,1,2,3,1,6,1,4,2,6,3,2,1,2,1,4,2
"22",5,2,1,2,3,1,1,2,2,1,4,1,2,1,5,1,1,6,7
"23",2,3,4,4,6,6,3,4,4,4,4,7,6,5,5,3,3,8,4
"24",5,3,5,4,3,4,4,3,3,4,5,7,5,5,6,8,5,5,4
"25",5,3,5,8,3,4,6,6,4,5,6,5,5,4,6,6,5,5,5
