"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,3,3,3,3,3,2,2,8,5,2,4,2,3,3,7,3,2
"2",1,1,1,1,4,3,5,3,2,3,2,1,1,2,1,1,4,1,5
"3",5,6,4,6,8,4,6,7,4,3,5,6,4,4,3,8,3,7,4
"4",2,7,6,2,4,4,3,6,5,4,3,3,4,2,3,4,5,7,6
"5",2,2,1,1,1,1,1,7,2,6,1,1,1,1,5,2,1,3,3
"6",3,3,2,6,1,3,2,4,1,3,2,2,1,3,6,3,5,2,1
"7",8,7,6,7,8,8,7,8,8,8,8,8,5,8,7,5,6,7,5
"8",6,5,7,7,6,4,6,3,7,8,7,8,5,5,1,4,6,6,4
"9",4,3,8,3,4,4,5,5,5,4,5,1,3,7,1,3,8,6,4
"10",4,6,5,6,8,6,8,5,4,8,8,5,7,7,4,6,6,5,5
"11",8,4,6,4,7,7,8,3,5,7,7,7,3,4,5,6,4,3,7
"12",5,3,3,6,6,3,3,2,4,1,4,3,7,4,2,4,4,7,3
"13",4,3,8,3,5,4,7,7,8,3,4,5,6,2,5,8,6,2,2
"14",6,4,3,8,6,5,5,6,5,5,7,5,4,4,3,6,3,4,4
"15",3,5,5,4,4,4,5,5,5,3,7,2,8,3,4,3,3,4,3
"16",5,6,5,8,4,7,7,5,7,5,7,4,6,8,8,8,8,4,4
"17",2,3,1,4,1,2,1,4,2,5,1,1,2,3,2,3,8,1,3
"18",4,4,6,3,2,6,3,4,2,4,4,3,2,4,3,2,1,2,3
"19",2,1,2,3,2,2,2,1,2,4,1,1,1,1,3,2,3,3,1
"20",1,2,2,3,2,4,2,3,3,2,2,2,1,4,8,3,1,2,2
"21",1,3,1,1,3,1,1,2,2,2,5,3,1,2,5,1,1,2,1
"22",2,3,3,4,5,4,3,1,2,1,4,3,5,1,1,1,2,1,5
"23",2,3,4,5,4,3,4,4,6,6,4,6,6,8,5,3,4,4,4
"24",5,3,4,3,3,5,4,3,4,8,3,3,6,4,3,3,6,5,6
"25",5,8,6,6,5,5,6,4,3,4,6,6,3,5,5,5,4,5,5
"26",8,5,5,3,7,5,6,8,7,4,6,6,4,4,5,7,5,4,4
"27",3,8,5,5,4,8,4,8,5,7,5,7,4,5,7,8,8,8,8
"28",4,4,5,5,7,3,6,6,4,4,6,4,4,4,5,5,5,3,4
"29",5,5,7,3,5,7,8,5,7,5,7,7,5,8,4,4,5,4,6
"30",3,3,3,4,6,4,4,5,3,5,6,3,5,2,2,7,3,3,4
"31",5,8,8,4,5,7,8,7,5,4,4,7,7,8,7,8,8,8,4
"32",8,8,8,6,7,2,7,8,5,5,6,6,7,6,8,5,6,5,6
