"","x"
"1",8
"2",2
"3",4
"4",5
"5",2
"6",3
"7",8
"8",8
"9",4
"10",8
"11",8
"12",5
"13",6
"14",5
"15",5
"16",7
"17",2
"18",5
"19",2
"20",4
"21",6
"22",5
"23",7
"24",4
"25",5
"26",6
"27",6
"28",7
"29",8
"30",6
"31",5
"32",8
"33",8
"34",8
"35",7
"36",3
"37",8
"38",3
"39",6
"40",4
"41",4
"42",8
"43",1
"44",1
"45",1
"46",2
"47",4
"48",2
"49",1
"50",4
"51",3
"52",2
"53",5
"54",5
"55",2
"56",3
"57",3
"58",3
"59",1
"60",2
"61",2
"62",4
"63",5
"64",2
"65",3
"66",3
"67",7
"68",7
"69",5
"70",1
"71",7
"72",3
"73",8
"74",6
"75",7
"76",8
"77",4
"78",5
"79",6
"80",8
"81",4
"82",7
"83",8
"84",8
"85",8
"86",7
"87",7
"88",5
"89",4
"90",7
"91",8
"92",7
"93",7
"94",5
"95",8
"96",8
"97",4
"98",3
"99",2
"100",5
"101",2
"102",8
"103",8
"104",5
"105",7
"106",7
"107",6
"108",5
"109",4
"110",4
"111",4
"112",4
"113",4
"114",4
"115",6
"116",6
"117",6
"118",5
"119",4
"120",3
"121",4
"122",2
"123",8
"124",1
"125",1
"126",1
"127",1
"128",3
"129",8
"130",8
"131",8
"132",4
"133",2
"134",2
"135",2
"136",3
"137",2
"138",4
"139",4
"140",4
"141",5
"142",5
"143",8
"144",6
"145",5
"146",5
"147",5
"148",4
"149",1
"150",1
"151",8
"152",4
"153",5
"154",5
"155",7
"156",5
"157",7
"158",8
"159",7
"160",7
"161",7
"162",7
"163",7
"164",8
"165",8
"166",8
"167",8
"168",8
"169",8
"170",7
"171",8
"172",2
"173",3
"174",3
"175",1
"176",2
"177",1
"178",3
"179",1
"180",6
"181",8
"182",8
"183",5
"184",5
"185",7
"186",7
"187",7
"188",5
"189",6
"190",4
"191",7
"192",7
"193",8
"194",3
"195",5
"196",7
"197",6
"198",8
"199",8
"200",5
"201",4
"202",7
"203",7
"204",7
"205",3
"206",4
"207",4
"208",3
"209",7
"210",2
"211",5
"212",2
"213",7
"214",4
"215",8
"216",5
"217",3
"218",2
"219",5
"220",3
"221",4
"222",6
"223",4
"224",6
"225",5
"226",4
"227",2
"228",2
"229",6
"230",8
"231",7
"232",8
"233",8
"234",2
"235",7
"236",4
"237",1
"238",1
"239",1
"240",1
"241",8
"242",1
"243",1
"244",3
"245",3
"246",5
"247",7
"248",4
"249",2
"250",2
"251",2
"252",7
"253",7
"254",8
"255",8
"256",8
