"","x"
"1",2
"2",1
"3",3
"4",2
"5",1
"6",2
"7",4
"8",4
"9",2
"10",4
"11",3
"12",2
"13",3
"14",3
"15",2
"16",3
"17",1
"18",2
"19",1
"20",2
"21",1
"22",1
"23",4
"24",4
"25",8
"26",4
"27",8
"28",4
"29",8
"30",4
"31",5
"32",8
"33",6
"34",6
"35",8
"36",2
"37",8
"38",2
"39",4
"40",2
"41",2
"42",4
"43",1
"44",1
"45",1
"46",1
"47",3
"48",2
"49",1
"50",4
"51",3
"52",2
"53",2
"54",2
"55",2
"56",3
"57",2
"58",3
"59",1
"60",3
"61",2
"62",3
"63",4
"64",2
"65",3
"66",2
"67",4
"68",8
"69",3
"70",1
"71",4
"72",2
"73",8
"74",8
"75",8
"76",4
"77",4
"78",4
"79",4
"80",8
"81",4
"82",8
"83",4
"84",8
"85",5
"86",8
"87",8
"88",4
"89",2
"90",4
"91",4
"92",4
"93",8
"94",8
"95",6
"96",8
"97",4
"98",2
"99",3
"100",3
"101",1
"102",4
"103",4
"104",4
"105",8
"106",4
"107",4
"108",3
"109",3
"110",2
"111",3
"112",2
"113",2
"114",2
"115",3
"116",3
"117",3
"118",2
"119",4
"120",1
"121",2
"122",1
"123",4
"124",1
"125",1
"126",1
"127",1
"128",1
"129",8
"130",8
"131",8
"132",2
"133",1
"134",1
"135",1
"136",2
"137",1
"138",1
"139",2
"140",1
"141",4
"142",4
"143",8
"144",4
"145",2
"146",3
"147",2
"148",1
"149",1
"150",1
"151",5
"152",8
"153",8
"154",8
"155",4
"156",3
"157",8
"158",8
"159",4
"160",8
"161",5
"162",8
"163",8
"164",8
"165",8
"166",7
"167",7
"168",8
"169",8
"170",8
"171",6
"172",4
"173",4
"174",3
"175",1
"176",1
"177",1
"178",1
"179",1
"180",5
"181",5
"182",8
"183",5
"184",8
"185",6
"186",8
"187",5
"188",8
"189",8
"190",5
"191",8
"192",8
"193",4
"194",1
"195",4
"196",4
"197",3
"198",8
"199",4
"200",5
"201",2
"202",4
"203",3
"204",4
"205",2
"206",2
"207",2
"208",2
"209",4
"210",1
"211",3
"212",1
"213",2
"214",3
"215",3
"216",4
"217",2
"218",2
"219",3
"220",2
"221",2
"222",3
"223",3
"224",2
"225",2
"226",2
"227",2
"228",1
"229",8
"230",4
"231",4
"232",4
"233",8
"234",1
"235",2
"236",1
"237",1
"238",1
"239",1
"240",1
"241",4
"242",1
"243",1
"244",1
"245",1
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",8
"253",5
"254",8
"255",8
"256",8
"257",8
"258",4
"259",6
"260",5
"261",4
"262",4
"263",4
"264",1
"265",1
"266",3
"267",4
"268",1
"269",3
"270",3
"271",8
"272",8
"273",8
"274",8
"275",8
"276",8
"277",8
"278",8
"279",8
"280",4
"281",4
"282",1
"283",2
"284",3
"285",4
"286",4
"287",4
"288",3
"289",2
"290",4
"291",8
"292",8
"293",8
"294",8
"295",8
"296",1
"297",1
"298",1
"299",3
"300",1
"301",2
"302",4
"303",1
"304",1
"305",2
"306",1
"307",1
"308",8
"309",3
"310",4
"311",8
"312",4
"313",8
"314",8
"315",8
"316",2
"317",8
"318",2
"319",4
"320",1
"321",1
"322",1
"323",2
"324",1
"325",1
"326",1
"327",1
"328",3
"329",1
"330",1
"331",3
"332",2
"333",1
"334",1
"335",8
"336",8
"337",8
"338",8
"339",8
"340",8
"341",5
"342",8
"343",8
"344",3
"345",3
"346",3
"347",4
"348",1
"349",2
"350",5
"351",8
"352",4
"353",4
"354",4
"355",8
"356",6
"357",6
"358",6
"359",7
"360",6
"361",8
"362",5
"363",8
"364",5
"365",8
"366",8
"367",4
"368",4
"369",8
"370",6
"371",6
"372",8
"373",6
"374",6
"375",8
"376",8
"377",8
"378",5
"379",8
"380",8
"381",8
"382",4
"383",3
"384",3
"385",4
"386",2
"387",4
"388",2
"389",3
"390",2
"391",2
"392",3
"393",3
"394",1
"395",1
"396",2
"397",4
"398",3
"399",4
"400",4
"401",3
"402",4
"403",2
"404",3
"405",2
"406",4
"407",2
"408",4
"409",4
"410",4
"411",8
"412",4
"413",4
"414",4
"415",8
"416",5
"417",8
"418",8
"419",8
"420",3
"421",8
"422",2
"423",3
"424",1
"425",1
"426",8
"427",8
"428",8
"429",4
"430",8
"431",4
"432",5
"433",4
"434",4
"435",2
"436",3
"437",1
"438",1
"439",2
"440",3
"441",1
"442",1
"443",4
"444",1
"445",2
"446",4
"447",8
"448",8
"449",8
"450",4
"451",6
"452",6
"453",8
"454",4
"455",6
"456",4
"457",8
"458",1
"459",2
"460",4
"461",1
"462",4
"463",1
"464",1
"465",1
"466",1
"467",8
"468",8
"469",8
"470",8
"471",4
"472",3
"473",2
"474",3
"475",4
"476",4
"477",2
"478",8
"479",6
"480",8
"481",6
"482",4
"483",4
"484",4
"485",5
"486",4
"487",4
"488",8
"489",4
"490",4
"491",4
"492",4
"493",8
"494",8
"495",8
"496",5
"497",8
"498",8
"499",8
"500",4
"501",4
"502",8
"503",8
"504",8
"505",8
"506",8
"507",5
"508",8
"509",4
"510",4
"511",8
"512",3
"513",3
"514",1
"515",1
"516",1
"517",2
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",4
"529",4
"530",1
"531",3
"532",2
"533",2
"534",2
"535",3
"536",3
"537",3
"538",1
"539",1
"540",1
"541",3
"542",2
"543",2
"544",2
"545",1
"546",1
"547",1
"548",1
"549",4
"550",4
"551",8
"552",5
"553",4
"554",2
"555",3
"556",3
"557",4
"558",8
"559",8
"560",3
"561",2
"562",3
"563",2
"564",4
"565",2
"566",1
"567",3
"568",2
"569",1
"570",2
"571",2
"572",2
"573",8
"574",4
"575",5
"576",5
"577",4
"578",5
"579",4
"580",8
"581",8
"582",4
"583",6
"584",3
"585",2
"586",3
"587",3
"588",4
"589",2
"590",2
"591",3
"592",1
"593",4
"594",8
"595",4
"596",4
"597",4
"598",4
"599",8
"600",8
"601",4
"602",2
"603",1
"604",2
"605",3
"606",2
"607",1
"608",2
"609",1
"610",1
"611",3
"612",1
"613",1
"614",2
"615",2
"616",2
"617",2
"618",1
"619",1
"620",1
"621",1
"622",3
"623",3
"624",2
"625",2
"626",3
"627",2
"628",1
"629",4
"630",1
"631",2
"632",2
"633",2
"634",2
"635",1
"636",1
"637",1
"638",1
"639",2
"640",3
"641",1
"642",8
"643",4
"644",1
"645",2
"646",2
"647",1
"648",3
"649",2
"650",2
"651",1
"652",1
"653",2
"654",1
"655",1
"656",1
"657",4
"658",8
"659",8
"660",8
"661",8
"662",4
"663",2
"664",2
"665",2
"666",1
"667",2
"668",3
"669",4
"670",3
"671",3
"672",3
"673",4
"674",3
"675",3
"676",3
"677",4
"678",3
"679",3
"680",1
"681",1
"682",3
"683",2
"684",4
"685",3
"686",5
"687",4
"688",4
"689",4
"690",4
"691",3
"692",1
"693",2
"694",2
"695",1
"696",1
"697",1
"698",1
"699",2
"700",2
"701",2
"702",3
"703",2
"704",2
"705",2
"706",2
"707",1
"708",1
"709",2
"710",1
"711",1
"712",1
"713",1
"714",1
"715",1
"716",1
"717",1
"718",1
"719",1
"720",1
"721",1
"722",4
"723",8
"724",4
"725",2
"726",2
"727",1
"728",2
"729",3
"730",3
"731",4
"732",4
"733",4
"734",3
"735",4
"736",3
"737",3
"738",3
"739",4
"740",2
"741",5
"742",1
"743",4
"744",4
"745",4
"746",4
"747",6
"748",3
"749",4
"750",6
"751",3
"752",2
"753",8
"754",5
"755",8
"756",6
"757",8
"758",8
"759",4
"760",4
"761",5
"762",4
"763",4
"764",8
"765",5
"766",4
"767",4
"768",1
"769",4
"770",4
"771",4
"772",3
"773",2
"774",2
"775",3
"776",4
"777",3
"778",3
"779",3
"780",3
"781",4
"782",3
"783",4
"784",1
"785",1
"786",4
"787",3
"788",3
"789",3
"790",4
"791",4
"792",3
"793",3
"794",4
"795",8
"796",3
"797",3
"798",2
"799",4
"800",2
"801",2
"802",2
"803",2
"804",1
"805",3
"806",2
"807",1
"808",3
"809",2
"810",3
"811",4
"812",3
"813",1
"814",1
"815",1
"816",1
"817",1
"818",1
"819",1
"820",1
"821",1
"822",1
"823",1
"824",1
"825",1
"826",2
"827",2
"828",2
"829",2
"830",2
"831",2
"832",2
"833",2
"834",2
"835",2
"836",2
"837",2
"838",2
"839",3
"840",2
"841",3
"842",3
"843",3
"844",4
"845",4
"846",4
"847",4
"848",4
"849",4
"850",4
"851",4
"852",4
"853",4
"854",4
"855",4
"856",4
"857",5
"858",4
"859",5
"860",8
"861",5
"862",5
"863",8
"864",5
"865",8
"866",8
"867",8
"868",8
"869",6
"870",6
"871",8
"872",6
"873",6
"874",8
"875",8
"876",8
"877",6
"878",6
"879",6
"880",6
"881",6
"882",6
