"","x"
"1",3
"2",1
"3",5
"4",4
"5",1
"6",3
"7",8
"8",5
"9",4
"10",8
"11",5
"12",3
"13",4
"14",4
"15",4
"16",5
"17",3
"18",3
"19",3
"20",3
"21",2
"22",3
"23",4
"24",4
"25",5
"26",5
"27",7
"28",5
"29",7
"30",4
"31",7
"32",8
"33",7
"34",7
"35",8
"36",3
"37",5
"38",3
"39",5
"40",2
"41",3
"42",5
"43",1
"44",1
"45",1
"46",2
"47",3
"48",4
"49",1
"50",5
"51",4
"52",3
"53",3
"54",3
"55",3
"56",4
"57",3
"58",4
"59",1
"60",4
"61",3
"62",3
"63",4
"64",3
"65",4
"66",3
"67",7
"68",8
"69",4
"70",1
"71",5
"72",3
"73",8
"74",8
"75",5
"76",5
"77",7
"78",7
"79",6
"80",7
"81",5
"82",8
"83",5
"84",8
"85",7
"86",8
"87",7
"88",5
"89",4
"90",8
"91",5
"92",5
"93",8
"94",7
"95",8
"96",8
"97",6
"98",4
"99",4
"100",3
"101",1
"102",5
"103",8
"104",4
"105",6
"106",5
"107",7
"108",4
"109",4
"110",4
"111",4
"112",3
"113",3
"114",4
"115",4
"116",4
"117",4
"118",4
"119",5
"120",2
"121",3
"122",2
"123",5
"124",1
"125",1
"126",1
"127",1
"128",2
"129",8
"130",8
"131",8
"132",4
"133",1
"134",2
"135",1
"136",3
"137",1
"138",1
"139",3
"140",3
"141",5
"142",5
"143",8
"144",5
"145",4
"146",4
"147",3
"148",1
"149",1
"150",1
"151",5
"152",8
"153",8
"154",8
"155",7
"156",4
"157",8
"158",8
"159",7
"160",8
"161",7
"162",5
"163",5
"164",8
"165",8
"166",8
"167",8
"168",8
"169",8
"170",8
"171",8
"172",5
"173",4
"174",4
"175",1
"176",2
"177",1
"178",1
"179",1
"180",7
"181",7
"182",8
"183",5
"184",7
"185",8
"186",7
"187",5
"188",8
"189",5
"190",7
"191",7
"192",8
"193",8
"194",3
"195",3
"196",4
"197",4
"198",8
"199",5
"200",7
"201",4
"202",7
"203",5
"204",7
"205",3
"206",4
"207",3
"208",3
"209",8
"210",2
"211",5
"212",1
"213",3
"214",5
"215",5
"216",7
"217",4
"218",3
"219",4
"220",3
"221",3
"222",4
"223",4
"224",4
"225",4
"226",4
"227",3
"228",2
"229",8
"230",5
"231",5
"232",8
"233",8
"234",1
"235",4
"236",1
"237",1
"238",1
"239",1
"240",1
"241",5
"242",1
"243",1
"244",1
"245",1
"246",1
"247",1
"248",2
"249",1
"250",2
"251",2
"252",8
"253",4
"254",7
"255",7
"256",8
"257",8
"258",8
"259",7
"260",5
"261",5
"262",5
"263",5
"264",1
"265",1
"266",3
"267",5
"268",2
"269",5
"270",4
"271",8
"272",8
"273",8
"274",8
"275",8
"276",8
"277",8
"278",8
"279",8
"280",5
"281",8
"282",3
"283",4
"284",5
"285",7
"286",7
"287",5
"288",5
"289",5
"290",5
"291",7
"292",8
"293",8
"294",8
"295",8
"296",1
"297",1
"298",1
"299",4
"300",2
"301",3
"302",8
"303",2
"304",2
"305",4
"306",1
"307",1
"308",8
"309",5
"310",4
"311",8
"312",4
"313",8
"314",8
"315",8
"316",3
"317",8
"318",3
"319",8
"320",2
"321",1
"322",1
"323",3
"324",1
"325",2
"326",2
"327",2
"328",4
"329",3
"330",2
"331",5
"332",3
"333",1
"334",1
"335",8
"336",5
"337",8
"338",8
"339",5
"340",7
"341",4
"342",8
"343",5
"344",4
"345",5
"346",4
"347",7
"348",1
"349",3
"350",4
"351",5
"352",7
"353",4
"354",5
"355",8
"356",8
"357",7
"358",8
"359",8
"360",8
"361",8
"362",7
"363",8
"364",5
"365",7
"366",7
"367",4
"368",4
"369",7
"370",8
