"","x"
"1",4
"2",1
"3",4
"4",4
"5",1
"6",1
"7",8
"8",7
"9",5
"10",8
"11",7
"12",3
"13",4
"14",4
"15",2
"16",8
"17",2
"18",2
"19",1
"20",2
"21",1
"22",1
"23",3
"24",3
"25",3
"26",8
"27",8
"28",3
"29",8
"30",3
"31",8
"32",8
"33",6
"34",6
"35",8
"36",2
"37",5
"38",2
"39",5
"40",1
"41",2
"42",8
"43",1
"44",1
"45",1
"46",1
"47",3
"48",1
"49",1
"50",3
"51",3
"52",1
"53",3
"54",1
"55",1
"56",5
"57",3
"58",3
"59",1
"60",3
"61",2
"62",3
"63",5
"64",2
"65",3
"66",2
"67",8
"68",8
"69",4
"70",1
"71",7
"72",4
"73",8
"74",5
"75",4
"76",3
"77",8
"78",4
"79",8
"80",4
"81",6
"82",8
"83",8
"84",8
"85",8
"86",8
"87",8
"88",8
"89",5
"90",8
"91",7
"92",6
"93",8
"94",8
"95",8
"96",8
"97",7
"98",5
"99",5
"100",4
"101",1
"102",5
"103",8
"104",5
"105",4
"106",6
"107",8
"108",8
"109",7
"110",3
"111",3
"112",2
"113",2
"114",4
"115",5
"116",3
"117",8
"118",2
"119",8
"120",1
"121",2
"122",1
"123",5
"124",1
"125",1
"126",1
"127",1
"128",1
"129",8
"130",8
"131",7
"132",3
"133",2
"134",1
"135",1
"136",3
"137",1
"138",1
"139",3
"140",1
"141",3
"142",4
"143",8
"144",3
"145",5
"146",4
"147",5
"148",1
"149",1
"150",1
"151",5
"152",6
"153",8
"154",8
"155",8
"156",4
"157",8
"158",8
"159",8
"160",8
"161",8
"162",3
"163",5
"164",8
"165",8
"166",8
"167",8
"168",8
"169",8
"170",8
"171",8
"172",8
"173",3
"174",8
"175",1
"176",1
"177",1
"178",4
"179",1
"180",8
"181",8
"182",8
"183",3
"184",8
"185",8
"186",5
"187",8
"188",5
"189",5
"190",6
"191",5
"192",8
"193",8
"194",1
"195",3
"196",3
"197",5
"198",8
"199",4
"200",8
"201",3
"202",8
"203",8
"204",8
"205",2
"206",6
"207",2
"208",3
"209",8
"210",1
"211",8
"212",1
"213",2
"214",8
"215",7
"216",8
"217",5
"218",2
"219",5
"220",2
"221",2
"222",7
"223",7
"224",5
"225",1
"226",4
"227",3
"228",1
"229",8
"230",7
"231",5
"232",8
"233",8
"234",1
"235",2
"236",1
"237",1
"238",1
"239",1
"240",1
"241",8
"242",1
"243",1
"244",1
"245",1
"246",2
"247",1
"248",5
"249",1
"250",1
"251",1
"252",8
"253",3
"254",4
"255",8
"256",8
"257",8
"258",8
"259",5
"260",3
"261",4
"262",8
"263",8
"264",1
"265",1
"266",2
"267",3
"268",1
"269",8
"270",5
"271",8
"272",8
"273",8
"274",8
"275",8
"276",8
"277",8
"278",8
"279",8
"280",4
"281",8
"282",4
"283",1
"284",8
"285",8
"286",8
"287",3
"288",8
"289",7
"290",8
"291",8
"292",8
"293",8
"294",8
"295",8
"296",1
"297",1
"298",1
"299",4
"300",2
"301",4
"302",8
"303",1
"304",2
"305",5
"306",1
"307",1
"308",8
"309",5
"310",3
"311",8
"312",3
"313",7
"314",8
"315",8
"316",3
"317",5
"318",7
"319",8
"320",1
"321",1
"322",1
"323",4
"324",1
"325",1
"326",1
"327",1
"328",5
"329",1
"330",2
"331",7
"332",1
"333",1
"334",1
"335",8
"336",5
"337",8
"338",8
"339",4
"340",8
"341",4
"342",8
"343",4
"344",4
"345",8
"346",6
"347",7
"348",1
"349",5
"350",4
"351",5
"352",8
"353",4
"354",4
"355",4
"356",8
"357",6
"358",6
"359",8
"360",6
"361",8
"362",8
"363",6
"364",3
"365",4
"366",8
"367",4
"368",3
"369",4
"370",6
"371",5
"372",7
"373",8
"374",8
"375",8
"376",8
"377",4
"378",3
"379",8
"380",8
"381",8
"382",3
"383",4
"384",4
"385",3
"386",2
"387",5
"388",1
"389",4
"390",1
"391",2
"392",3
"393",5
"394",1
"395",1
"396",3
"397",3
"398",4
"399",7
"400",3
"401",3
"402",4
"403",3
"404",5
"405",2
"406",3
"407",3
"408",8
"409",5
"410",3
"411",8
"412",3
"413",3
"414",3
"415",5
"416",8
"417",5
"418",8
"419",8
"420",8
"421",8
"422",1
"423",7
"424",1
"425",1
"426",8
"427",8
"428",8
"429",8
"430",8
"431",8
"432",4
"433",8
"434",7
"435",5
"436",7
"437",1
"438",2
"439",1
"440",8
"441",2
"442",1
"443",8
"444",1
"445",2
"446",7
"447",8
"448",8
