"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2
"2",2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
"3",2,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2
"4",2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2
"5",3,2,2,2,2,1,2,2,2,2,2,1,3,3,2,2,2,2,3
"6",2,2,2,2,1,3,2,3,2,3,2,2,2,3,2,2,2,2,3
"7",1,2,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2
"8",2,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2
"9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10",2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2
"11",2,1,2,1,2,1,2,2,2,1,2,1,1,2,2,2,2,2,1
"12",2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2
"13",2,2,2,2,1,3,2,3,2,3,2,2,2,2,3,2,2,2,3
"14",2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
"15",2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1
"16",2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
"17",2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2
"18",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"19",2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"20",2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"21",2,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,2,2,3
"22",2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"23",3,2,3,3,2,2,2,2,3,2,3,2,3,2,2,3,2,3,2
"24",3,2,3,5,3,4,2,3,4,3,3,3,3,3,4,2,3,3,3
"25",2,3,3,3,2,2,3,2,3,2,3,2,3,4,3,3,3,3,2
"26",3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2
"27",3,2,3,2,3,2,4,2,2,2,2,2,3,3,3,3,2,3,2
"28",2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2
"29",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"30",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"31",3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
"32",2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
"33",1,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2
"34",2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2
"35",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"36",2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3
"37",3,3,2,2,2,2,2,4,2,3,2,3,3,3,2,2,4,2,3
"38",2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,3,2,2,2
"39",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3
"40",2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2
"41",2,3,3,3,2,4,2,2,3,5,3,4,3,3,3,4,3,4,3
"42",2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1
"43",3,2,3,2,4,2,3,3,3,3,3,4,2,2,3,2,5,3,2
"44",3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2
"45",1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"46",2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,2,2
"47",3,2,2,2,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2
"48",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"49",2,3,2,3,3,3,3,2,3,2,3,2,2,3,2,2,3,3,3
"50",2,2,3,3,3,3,3,3,3,3,2,2,4,3,2,2,3,2,2
"51",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
"52",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"53",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
"54",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"55",2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2
"56",3,3,3,2,2,4,3,3,3,3,3,4,2,2,3,2,2,2,3
"57",2,3,3,2,3,3,3,2,2,4,4,3,4,3,3,4,2,4,3
"58",2,2,2,3,2,2,3,2,2,2,3,4,3,4,3,3,2,2,2
"59",2,2,2,2,3,2,3,2,2,3,2,2,3,2,3,3,3,4,2
"60",2,4,3,3,3,3,2,3,3,4,3,3,2,4,2,3,4,3,3
"61",3,4,3,3,3,2,4,4,2,3,2,4,2,3,3,4,3,3,4
"62",3,3,3,4,4,2,2,4,3,3,4,2,4,3,3,3,5,4,2
"63",2,1,3,1,2,2,2,3,1,2,2,2,3,3,2,2,2,2,2
