"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2
"2",1,2,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2
"3",2,1,1,2,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2
"4",2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,2
"5",3,2,2,2,3,1,2,2,2,2,3,2,2,1,2,2,2,2,2
"6",2,2,2,3,1,2,3,2,3,2,3,3,2,2,2,3,2,3,2
"7",1,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2
"8",2,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2
"9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10",2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2
"11",2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2
"12",2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2
"13",2,2,2,3,1,2,3,2,3,2,3,3,2,2,2,3,2,3,2
"14",2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1
"15",2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,2
"16",2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"17",2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2
"18",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
"19",2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
"20",2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"21",2,2,2,2,5,3,3,2,2,2,3,3,3,2,2,2,3,2,3
"22",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"23",2,3,3,2,3,2,5,2,3,2,2,2,2,3,2,2,3,2,2
"24",2,2,4,3,3,3,2,3,4,2,4,3,3,4,3,3,3,3,3
"25",3,2,3,3,2,2,3,3,3,2,2,4,2,3,2,3,3,2,3
"26",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"27",2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,4,2,3
"28",2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2
"29",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"30",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"31",3,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,2
"32",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"33",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
"34",2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2
"35",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"36",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2
"37",3,3,3,2,2,2,2,2,3,3,2,2,2,3,3,3,4,3,3
"38",2,3,2,3,3,2,3,2,2,3,2,2,3,2,2,2,3,2,2
"39",2,2,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2
"40",2,2,3,2,3,2,2,2,2,2,3,2,3,2,3,3,2,2,2
"41",3,2,3,2,3,5,3,4,3,4,3,3,4,3,3,3,3,3,3
"42",2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2
"43",4,2,2,2,3,3,2,2,3,2,4,2,2,3,3,2,2,2,2
"44",3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3
"45",1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
"46",3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"47",2,3,2,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3
"48",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"49",2,2,2,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3,3
"50",2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,4,2,2,2
"51",2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
"52",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"53",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"54",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
"55",2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2
"56",3,2,3,3,3,4,3,3,4,4,2,4,3,3,3,2,2,3,3
"57",2,3,3,2,3,3,2,2,4,3,4,4,3,4,2,3,5,3,3
"58",2,3,2,2,3,2,3,3,2,3,2,3,4,3,2,3,4,3,3
"59",2,2,3,2,2,3,3,2,3,3,2,3,4,3,3,4,3,2,3
"60",2,4,3,3,3,2,4,3,3,4,4,2,3,4,3,3,2,2,3
"61",3,3,3,3,2,4,3,4,4,2,3,2,3,3,4,3,5,2,3
"62",3,3,2,2,4,4,3,4,3,4,2,2,3,3,3,2,5,3,3
"63",2,1,3,2,2,2,3,2,2,3,2,3,3,2,2,3,2,3,2
"64",3,2,2,1,3,2,3,2,3,2,2,2,2,3,2,1,2,2,3
"65",2,1,2,2,1,2,2,3,1,2,3,2,2,2,3,3,2,2,2
"66",2,2,2,3,2,3,2,3,3,2,3,2,2,2,3,4,3,3,2
"67",2,1,1,2,2,2,3,1,2,2,2,2,3,3,2,2,2,2,2
"68",4,3,3,4,3,4,3,3,3,4,4,3,3,4,2,3,4,2,3
"69",4,3,2,3,3,3,2,3,3,4,3,2,4,3,3,2,2,4,3
"70",3,2,2,2,3,2,2,3,3,3,2,2,3,2,1,3,3,3,4
"71",3,2,3,2,3,3,2,2,2,3,3,4,3,2,2,3,2,2,2
"72",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"73",1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,2
"74",1,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
"75",2,3,2,3,3,2,3,2,3,3,3,2,3,2,3,3,4,4,3
"76",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1
"77",2,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2
"78",3,3,2,3,4,2,3,2,3,2,4,3,3,3,4,3,3,3,2
"79",2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
"80",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2
"81",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"82",2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2
