"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2
"2",2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1
"3",1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2
"4",2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,2
"5",3,2,3,2,2,2,2,1,2,2,3,3,2,3,2,2,2,2,2
"6",2,2,1,2,1,2,2,2,3,2,3,2,2,2,2,2,3,3,3
"7",1,2,1,2,2,1,1,2,2,1,2,2,2,2,1,2,1,2,2
"8",2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2
"9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10",2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1
"11",2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,1
"12",2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
"13",2,2,2,2,1,3,2,3,2,2,3,3,2,3,2,2,2,2,2
"14",2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2
"15",2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2
"16",2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2
"17",2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
"18",2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"19",2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"20",2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"21",2,2,3,3,2,2,2,2,3,3,3,3,2,5,3,2,2,2,2
"22",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
"23",2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2
"24",3,3,3,2,3,2,5,2,4,3,4,3,4,3,4,4,3,3,4
"25",3,2,3,2,3,3,3,2,2,3,2,2,2,3,2,2,4,2,3
"26",2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2
"27",3,4,3,3,2,3,3,2,2,3,2,2,2,3,3,2,3,2,2
"28",2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2
"29",2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"30",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"31",3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"32",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
"33",1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2
"34",2,2,2,2,2,2,3,3,2,3,2,2,3,2,2,2,2,2,2
"35",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"36",2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2
"37",2,2,3,3,2,3,2,2,2,3,3,2,3,2,3,2,3,2,2
"38",3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,2,2,2,2
"39",2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2
"40",2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2
"41",2,3,3,3,3,3,4,4,3,2,3,3,4,3,3,4,3,3,3
"42",2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"43",2,4,2,3,3,3,2,3,3,3,3,3,2,2,4,2,2,2,3
"44",3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3
"45",2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"46",2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2,3
"47",2,3,3,2,2,2,2,3,3,3,2,2,3,2,2,3,2,2,2
"48",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"49",2,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,2,2,2
"50",3,3,2,3,2,3,3,3,3,2,2,3,3,3,2,3,4,3,3
"51",2,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2
"52",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"53",2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"54",2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2
"55",2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2
"56",3,3,3,3,3,4,2,4,4,3,3,2,3,3,3,3,4,2,2
"57",2,3,3,2,2,3,3,4,2,3,4,2,3,3,2,3,4,3,4
"58",2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,3,2,2,3
"59",2,2,3,2,2,2,2,2,3,3,2,4,3,3,3,3,2,2,2
"60",4,3,2,4,3,3,3,3,3,4,3,2,3,4,4,3,3,4,3
"61",3,4,3,2,3,2,4,2,4,2,4,3,4,4,2,3,3,2,2
"62",3,4,3,3,4,2,2,2,3,3,3,4,4,3,4,3,2,3,3
"63",2,1,1,2,2,2,2,2,3,2,3,2,2,2,2,2,3,3,3
"64",3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2
"65",2,2,1,1,2,2,2,3,1,3,2,2,3,3,2,2,2,2,2
"66",2,2,3,2,2,2,2,3,3,2,2,3,2,4,3,2,3,3,4
"67",2,3,2,2,2,3,1,2,2,2,3,3,2,3,2,2,2,2,2
"68",3,5,4,4,3,3,4,3,3,2,2,3,3,4,3,3,4,4,3
"69",3,3,2,3,3,3,3,3,4,3,2,4,2,3,2,2,2,3,4
"70",2,3,2,2,3,2,2,2,3,2,2,2,2,3,3,3,1,2,3
"71",3,3,2,3,2,3,2,3,2,3,2,4,2,3,2,2,3,3,3
"72",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2
"73",2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2
"74",1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2
"75",3,2,2,3,2,3,2,4,3,3,2,3,2,2,3,2,2,3,2
"76",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
"77",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"78",3,3,4,2,2,4,3,3,3,3,2,2,2,4,2,3,3,3,3
"79",1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"80",2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3
"81",2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"82",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2
"83",2,2,3,2,3,3,3,3,3,2,3,3,3,2,3,2,3,2,2
"84",3,3,2,2,2,2,2,3,2,3,2,3,3,3,3,2,3,3,4
"85",2,3,3,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2
"86",3,3,2,3,2,3,4,3,2,2,2,3,3,3,3,3,3,3,4
"87",3,3,2,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3
"88",3,3,3,2,3,3,2,3,3,2,2,3,3,3,3,2,2,3,3
"89",3,2,3,2,3,3,3,4,3,3,3,3,3,3,2,2,2,3,3
"90",3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3
"91",3,3,4,4,3,3,2,3,3,3,3,3,3,4,3,4,3,3,4
