"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1
"2",1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1
"3",1,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,2,2,2
"4",2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2
"5",2,2,3,2,2,2,3,1,3,2,2,2,2,3,2,3,2,2,3
"6",2,2,2,2,2,3,1,3,2,2,3,2,3,2,2,3,2,2,2
"7",2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2
"8",2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2
"9",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"10",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"11",2,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2
"12",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2
"13",2,2,2,2,2,1,3,3,2,2,2,3,2,3,3,2,2,2,2
"14",2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
"15",2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2
"16",2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2
"17",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"18",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
"19",2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
"20",2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
"21",3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2
"22",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"23",2,3,3,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2
"24",3,4,4,4,3,5,3,2,4,3,2,4,4,3,3,4,3,3,3
"25",2,2,3,2,3,3,2,2,3,3,3,3,3,3,3,2,2,2,2
"26",2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2
"27",3,4,2,3,2,2,2,3,3,3,2,2,2,3,3,3,3,2,2
