"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,6,1,5,1,4,1,2,2,5,1,4,5,1,1,4,6,6,1
"2",2,1,3,6,2,5,1,1,1,2,1,1,5,4,6,1,4,1,1
"3",1,6,1,1,5,1,2,5,1,1,1,1,5,2,2,5,4,1,6
"4",5,6,4,3,1,1,5,1,2,1,4,6,2,6,6,5,1,1,1
"5",1,2,1,4,2,5,1,1,1,1,6,2,5,4,6,1,1,1,2
"6",2,6,4,1,1,2,1,1,1,6,1,6,1,2,1,1,2,1,6
"7",6,4,1,1,3,1,1,1,2,5,1,2,1,6,1,1,6,1,5
"8",5,1,1,6,2,1,1,1,5,1,2,1,2,3,1,1,6,1,1
"9",1,6,2,4,5,4,6,2,1,1,1,1,6,3,1,5,5,1,6
"10",3,4,4,1,1,1,1,5,3,2,1,1,4,6,1,6,4,6,2
"11",2,6,1,5,6,4,1,5,1,1,4,1,6,6,1,6,1,6,2
"12",1,1,1,1,5,1,2,1,1,3,2,1,2,1,5,2,1,1,2
"13",4,6,6,2,5,1,1,6,1,6,4,5,6,4,2,6,1,1,1
"14",5,5,1,2,6,2,1,1,2,1,1,2,4,1,6,2,1,5,2
"15",3,1,2,1,2,2,1,5,5,4,6,1,4,1,1,5,1,1,5
"16",4,1,2,1,1,3,1,5,6,4,6,1,4,1,6,5,5,2,3
"17",1,1,1,1,2,2,1,1,1,1,1,3,1,2,1,5,2,1,6
"18",5,1,2,1,2,3,1,1,6,1,1,1,1,6,2,1,1,1,5
"19",5,2,1,1,4,1,1,5,1,1,3,1,4,1,5,6,5,4,6
"20",6,6,5,2,1,3,2,1,3,2,1,3,5,1,1,6,6,3,2
"21",3,2,3,2,1,1,1,1,1,2,5,4,1,6,1,5,3,5,6
"22",6,1,5,1,1,1,1,1,1,2,5,1,5,5,4,1,6,1,2
"23",3,6,1,1,2,1,1,4,3,1,6,1,1,1,6,2,1,1,1
"24",4,1,5,1,1,4,1,6,6,1,6,1,6,2,4,3,5,6,5
"25",1,1,2,4,2,1,1,1,4,2,1,1,3,1,4,1,5,6,5
"26",2,4,5,1,1,1,1,5,2,1,4,3,4,3,1,1,1,1,1
"27",1,5,4,4,4,1,1,5,3,1,2,6,1,6,1,6,4,6,2
"28",5,1,1,2,2,3,1,1,1,1,2,1,5,3,1,1,1,1,1
"29",5,1,1,1,1,2,4,5,3,4,1,6,1,1,6,5,5,1,5
"30",2,6,1,1,5,6,4,1,5,1,1,4,1,6,6,1,5,3,1
"31",1,2,5,1,1,5,2,1,3,1,2,1,2,1,1,1,6,2,1
"32",4,1,5,1,4,2,5,1,3,1,1,1,1,1,1,1,1,1,1
"33",4,1,5,1,1,4,1,6,6,1,6,1,6,2,4,3,5,6,5
"34",5,6,5,2,5,1,1,2,1,5,4,2,1,2,1,5,6,4,3
"35",2,5,4,5,1,1,6,3,1,5,4,4,6,2,1,6,4,4,5
"36",3,5,2,1,3,4,2,6,1,1,1,2,4,5,5,6,4,1,1
"37",1,1,1,1,1,1,1,4,5,2,1,1,2,1,2,1,6,2,4
"38",1,1,1,1,1,1,1,2,1,1,2,1,2,4,3,6,2,1,5
"39",1,6,5,5,5,2,5,6,1,4,1,1,2,2,1,1,1,1,1
"40",1,4,1,1,1,1,1,1,5,1,1,1,1,2,2,1,1,1,1
"41",1,4,6,1,2,1,6,4,1,1,5,5,3,5,3,1,5,6,1
"42",1,6,1,4,2,2,5,2,5,6,1,1,1,6,2,1,1,5,3
"43",5,1,6,2,4,1,6,2,1,5,1,4,1,2,1,6,6,6,4
"44",5,1,3,1,2,1,2,5,6,1,6,1,2,1,2,1,4,1,1
"45",5,2,5,4,5,3,2,1,1,1,1,6,5,1,1,6,3,1,5
"46",6,1,1,1,5,1,3,4,1,2,4,6,3,4,1,6,1,5,1
"47",2,1,1,1,4,1,6,5,1,2,1,1,1,1,2,1,1,3,3
"48",1,2,6,2,5,4,6,1,1,1,2,1,4,2,5,1,1,1,1
"49",1,1,1,1,4,5,1,1,2,1,1,2,5,2,1,2,3,1,6
"50",1,1,1,2,1,1,1,5,2,1,1,2,1,1,4,1,2,1,3
"51",1,6,1,2,1,6,6,2,1,1,3,2,6,1,3,2,1,5,3
"52",2,1,2,3,1,3,1,6,3,2,1,5,1,1,1,2,1,1,1
"53",3,5,1,2,1,1,1,6,1,6,1,2,1,1,5,5,1,1,6
