"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"2",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"3",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"4",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"5",1,6,1,1,5,4,2,1,1,5,1,2,6,1,5,6,5,1,2
"6",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"7",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"8",5,6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,1,2
"9",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"10",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"11",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"12",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"13",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"14",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"15",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"16",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"17",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"18",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"19",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"20",6,6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,5,1,2
"21",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"22",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"23",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"24",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"25",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"26",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"27",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"28",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"29",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"30",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"31",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"32",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"33",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"34",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"35",6,1,2,1,6,1,2,1,1,6,1,1,2,1,3,1,1,6,1
"36",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"37",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"38",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"39",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"40",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"41",1,6,1,1,5,4,2,1,5,1,2,6,1,1,5,6,5,1,2
"42",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"43",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"44",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"45",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"46",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"47",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"48",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"49",2,6,1,1,5,4,2,1,1,5,1,6,1,1,5,6,5,1,2
"50",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"51",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"52",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"53",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"54",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"55",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"56",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"57",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"58",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"59",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"60",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"61",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"62",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"63",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"64",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"65",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"66",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"67",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"68",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"69",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"70",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"71",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"72",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"73",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"74",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"75",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"76",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"77",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"78",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"79",2,6,1,1,5,4,1,1,5,1,2,6,1,1,5,6,5,1,2
"80",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"81",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"82",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"83",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"84",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"85",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"86",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"87",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"88",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"89",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"90",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"91",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"92",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"93",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"94",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"95",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"96",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"97",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"98",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"99",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"100",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"101",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"102",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"103",4,6,1,1,5,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"104",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"105",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"106",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"107",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"108",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"109",1,6,1,1,5,4,2,1,1,5,1,2,6,1,5,6,5,1,2
"110",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"111",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"112",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"113",2,6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1
"114",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"115",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"116",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"117",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"118",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"119",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"120",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"121",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"122",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"123",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"124",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"125",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"126",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"127",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"128",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"129",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"130",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"131",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"132",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"133",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"134",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"135",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"136",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"137",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"138",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"139",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"140",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"141",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"142",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"143",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"144",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"145",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"146",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"147",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"148",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"149",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"150",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"151",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"152",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"153",2,6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1
"154",5,6,6,1,1,4,2,1,1,5,1,2,1,1,5,6,5,1,2
"155",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"156",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"157",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"158",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"159",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"160",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"161",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"162",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"163",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"164",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"165",1,6,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"166",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"167",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"168",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"169",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"170",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"171",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"172",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"173",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"174",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"175",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"176",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"177",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"178",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"179",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"180",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"181",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"182",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"183",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"184",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"185",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"186",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"187",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"188",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"189",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"190",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"191",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"192",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"193",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"194",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"195",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"196",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"197",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"198",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"199",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"200",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
"201",4,6,1,1,5,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"202",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"203",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"204",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"205",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"206",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"207",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"208",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"209",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"210",5,6,1,1,5,4,2,1,1,5,1,2,6,1,1,6,5,1,2
"211",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"212",6,1,1,5,4,2,1,1,5,1,2,6,1,1,5,6,5,1,2
"213",2,1,6,1,2,1,1,6,6,1,1,2,1,3,1,1,1,6,1
