"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,1,1,6,5,1,1,5,4,2,4,1,1,5,4,6,6,2,5
"2",2,1,3,2,1,6,5,1,1,1,1,1,5,1,1,5,6,5,1
"3",6,1,5,1,1,1,1,1,6,5,2,1,1,1,1,2,1,6,2
"4",3,1,6,5,1,2,6,1,1,5,1,6,4,6,1,4,2,1,5
"5",2,1,5,1,1,2,1,2,1,1,5,1,6,5,1,1,1,2,1
"6",5,2,1,5,4,1,5,1,6,1,2,1,1,1,2,3,1,1,1
"7",1,1,1,1,1,1,1,4,1,1,1,2,3,2,2,1,1,5,1
"8",5,1,2,5,1,1,1,4,1,2,1,1,2,1,6,1,1,1,5
"9",6,1,5,5,4,2,1,5,1,6,5,2,1,1,6,4,5,1,6
"10",5,3,6,4,6,6,5,2,1,5,3,2,1,5,1,1,6,4,5
"11",2,4,6,5,1,6,4,5,1,6,5,6,1,6,4,5,1,3,1
"12",1,1,1,5,1,1,1,1,2,2,1,1,6,1,1,1,1,2,6
"13",4,2,1,1,6,6,5,5,4,5,5,1,1,6,4,6,1,3,2
"14",1,5,1,1,6,5,1,1,6,3,1,2,1,1,6,1,3,5,4
"15",1,2,1,1,5,1,4,5,1,1,2,5,2,1,1,4,1,1,2
"16",4,2,1,3,1,5,1,5,1,5,3,6,4,6,6,5,2,1,5
"17",1,1,1,2,6,1,1,2,1,1,1,1,1,1,2,1,1,5,2
"18",1,1,2,1,1,1,5,1,1,1,2,1,1,1,4,1,6,1,3
"19",5,2,1,5,1,4,1,2,1,1,2,6,1,1,1,5,1,3,6
"20",6,6,1,5,3,6,1,2,1,2,3,2,6,1,1,5,2,1,3
"21",3,5,1,6,2,3,1,5,1,1,3,6,2,5,1,1,6,4,1
"22",1,2,1,1,1,1,1,6,5,1,1,2,1,1,1,6,2,1,5
"23",3,1,5,4,3,1,2,1,5,1,1,6,1,1,1,1,1,2,6
"24",2,1,4,1,6,5,1,6,5,1,6,2,4,5,1,6,4,1,1
"25",1,2,1,1,5,1,4,4,2,1,1,2,6,1,5,1,6,4,1
"26",2,4,3,1,2,1,5,4,5,4,1,5,6,5,1,1,1,1,3
"27",5,1,6,4,1,6,1,4,2,1,5,3,2,1,5,1,4,5,6
"28",1,5,6,1,3,1,2,1,6,3,2,1,2,1,2,4,1,1,1
"29",1,5,1,1,3,6,4,5,5,1,6,2,1,6,1,5,4,2,1
"30",2,1,6,5,4,5,1,6,5,1,6,2,4,6,1,6,4,1,5
"31",6,5,2,1,1,1,1,1,1,2,1,1,1,1,1,6,4,1,5
"32",2,4,5,1,1,5,1,1,2,1,3,1,1,4,5,6,5,1,1
"33",1,4,6,5,1,6,4,5,1,6,5,2,4,5,6,1,1,5,1
"34",5,6,5,1,2,4,1,5,1,1,2,6,2,5,1,4,5,1,4
"35",1,6,2,3,2,5,1,3,6,4,5,5,1,6,2,1,5,1,6
"36",3,2,5,1,6,2,1,6,2,4,5,1,1,1,4,1,2,1,4
"37",4,1,5,1,1,6,1,5,1,2,1,1,2,2,2,1,1,1,2
"38",1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,4,5,1,3
"39",1,1,3,5,1,1,5,1,1,5,1,1,1,5,6,5,1,1,6
"40",1,4,1,1,1,1,3,1,1,1,2,1,1,4,5,1,5,1,4
"41",1,1,4,6,3,1,1,6,6,1,1,5,5,4,2,1,3,5,1
"42",6,6,1,4,5,1,4,6,1,1,1,2,1,2,1,1,1,5,2
"43",5,6,1,6,4,5,2,4,6,5,1,4,5,6,3,2,2,5,1
"44",5,1,1,3,1,6,1,2,5,1,5,1,6,1,1,1,1,2,1
"45",6,2,5,3,2,5,3,6,4,6,5,1,5,1,2,5,5,1,4
"46",1,1,1,5,5,6,1,1,3,5,4,3,2,1,1,6,1,1,1
"47",1,1,2,5,1,1,1,6,1,1,1,1,1,5,1,2,4,1,1
"48",1,4,1,1,2,1,6,2,1,1,5,1,1,1,3,2,1,4,5
"49",2,1,6,3,2,1,1,1,4,6,4,1,5,1,1,3,1,1,2
"50",1,1,1,2,1,1,2,1,1,6,1,5,1,1,1,1,1,3,2
"51",1,6,1,6,5,3,2,3,1,1,2,4,6,5,5,1,3,1,2
"52",2,1,5,1,3,6,1,3,1,1,2,1,1,1,1,1,1,1,5
"53",5,1,3,1,5,1,5,1,6,1,5,2,1,1,2,2,6,1,1
"54",5,1,5,5,4,2,1,3,1,6,1,5,3,2,1,6,2,3,1
"55",2,1,1,1,1,1,1,1,1,5,1,1,2,1,2,1,1,1,1
"56",1,1,5,3,6,3,1,1,6,5,1,1,2,1,6,1,4,5,1
"57",2,1,1,1,1,2,1,6,1,1,5,5,4,2,1,1,1,5,1
"58",5,2,1,6,5,1,2,1,6,2,1,1,2,1,1,1,5,1,4
"59",1,6,5,1,2,1,5,1,1,2,1,1,2,5,1,5,1,4,2
"60",1,4,1,6,1,2,4,5,2,1,1,1,1,1,1,1,2,1,3
"61",5,2,1,1,5,1,1,6,4,1,1,2,1,1,1,3,1,1,3
"62",1,1,1,2,1,1,2,6,1,1,1,5,1,2,1,5,2,1,1
"63",4,1,1,1,6,2,5,1,5,5,1,1,4,1,5,1,6,5,1
"64",1,5,1,3,1,1,2,2,1,5,1,4,6,5,1,1,6,1,1
"65",2,1,1,1,1,6,1,1,5,2,1,1,1,1,1,1,2,1,1
