"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,5,1,2,1,6,1,1,5,4,3,1,4,1,4,5,5,5,1
"2",3,1,1,1,1,4,5,5,1,1,6,6,5,5,2,1,1,2,1
"3",6,5,1,1,2,1,1,5,1,1,1,1,1,4,2,1,1,1,2
"4",6,6,5,4,5,5,1,3,1,1,6,1,6,6,5,1,1,4,2
"5",2,1,5,5,1,6,5,1,1,1,1,6,5,2,1,2,1,2,1
"6",2,1,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"7",1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5,2,5
"8",5,5,2,1,2,1,1,1,1,4,1,1,1,1,1,2,1,1,1
"9",2,1,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"10",4,1,1,1,1,2,1,1,5,3,1,4,2,5,1,5,6,1,1
"11",4,6,5,6,1,4,1,6,5,4,4,1,1,6,3,6,4,5,1
"12",1,1,1,2,1,5,2,4,1,1,6,1,1,1,1,1,1,1,4
"13",6,5,1,6,5,5,1,6,4,1,5,1,6,3,6,4,5,1,1
"14",6,1,1,1,2,4,1,5,6,1,1,1,5,5,5,5,1,4,3
"15",3,1,1,4,5,5,4,1,2,1,5,1,1,2,1,1,6,1,1
"16",2,1,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"17",1,1,1,2,1,1,1,1,6,1,6,1,1,1,1,1,2,1,1
"18",1,5,2,5,1,1,1,6,1,1,1,1,1,4,2,1,1,1,2
"19",5,2,1,5,2,1,1,1,1,4,1,1,1,1,1,2,1,1,1
"20",6,6,5,4,5,5,1,3,1,1,6,1,6,6,5,1,1,4,2
"21",1,5,6,1,4,1,2,1,3,1,1,4,1,2,5,1,1,5,1
"22",1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5,2,5
"23",6,3,1,1,1,1,1,2,1,1,1,5,2,1,1,1,4,5,5
"24",5,1,6,1,6,5,5,6,4,1,5,1,6,3,6,4,5,1,1
"25",1,2,1,5,2,1,1,1,1,4,1,6,1,1,1,1,1,1,4
"26",2,4,1,1,3,2,1,1,6,5,4,1,3,1,1,4,5,5,1
"27",4,1,1,1,1,2,1,1,5,3,1,4,2,5,1,5,6,1,1
"28",1,1,1,2,1,6,5,4,3,1,4,3,2,1,1,4,5,5,1
"29",1,1,3,4,5,5,4,1,2,1,5,1,1,2,1,1,6,1,1
"30",5,1,6,1,6,5,5,6,4,1,5,1,6,3,6,4,5,1,1
"31",6,5,5,1,2,1,6,1,5,5,1,1,2,1,4,2,3,1,1
"32",4,1,5,5,3,1,4,1,2,1,5,1,1,2,1,1,6,1,1
"33",4,6,5,6,1,4,1,6,5,4,4,1,1,6,3,6,4,5,1
"34",5,1,4,6,1,2,1,3,1,1,1,1,6,5,2,1,2,1,2
"35",1,2,6,1,2,4,1,1,2,6,5,1,1,6,5,1,3,1,4
"36",3,6,1,3,5,1,1,5,1,2,1,6,1,5,1,1,1,1,1
"37",4,1,5,1,1,2,1,1,5,2,1,1,1,1,1,2,1,1,1
"38",1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5,2,5
"39",2,4,5,1,5,5,6,6,3,1,1,1,6,6,5,1,5,1,4
"40",1,1,1,4,5,1,1,2,1,1,5,2,4,1,1,6,1,1,1
"41",1,4,1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5
"42",1,6,6,1,1,1,1,1,1,5,5,5,5,1,4,3,1,4,3
"43",1,6,6,4,1,4,6,5,5,4,4,1,1,6,3,6,4,5,1
"44",5,1,1,2,3,1,1,6,6,3,1,1,1,6,1,6,5,1,5
"45",2,6,5,1,2,3,4,1,1,5,1,1,6,5,1,3,1,4,6
"46",1,1,5,5,1,1,1,1,1,5,5,4,3,1,4,3,2,1,1
"47",3,1,1,1,1,4,5,5,1,1,6,6,5,5,2,1,1,2,1
"48",1,4,6,5,1,2,1,3,1,1,1,1,6,5,2,1,2,1,2
"49",2,1,4,5,4,6,5,6,6,5,5,1,6,1,1,6,3,1,1
"50",2,1,1,1,1,1,2,1,1,6,1,6,1,1,1,1,1,1,2
"51",1,1,1,5,1,4,6,4,1,5,1,1,2,6,3,2,6,5,3
"52",1,2,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"53",1,5,1,4,5,1,1,2,1,5,6,1,1,1,2,2,1,1,1
"54",2,1,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"55",1,2,1,1,1,1,1,1,1,2,1,1,6,1,1,6,1,1,1
"56",1,4,1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5
"57",2,1,5,1,5,1,1,4,1,5,6,1,1,1,2,2,1,1,1
"58",5,5,1,6,5,1,2,1,1,1,1,6,5,2,1,2,1,2,1
"59",1,4,5,5,3,1,4,1,2,1,5,1,1,2,1,1,6,1,1
"60",2,1,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"61",5,2,5,1,1,2,1,6,1,5,1,1,1,2,1,2,3,1,3
"62",1,1,1,5,2,1,5,2,4,1,1,1,1,1,1,2,1,1,1
"63",4,1,5,1,1,2,1,1,5,2,1,1,1,1,1,2,1,1,1
"64",4,5,1,6,1,1,5,4,4,1,4,6,6,5,4,1,5,1,5
"65",1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5,2,5
"66",6,5,1,5,1,5,5,1,2,1,1,1,1,2,2,3,1,1,3
"67",5,1,5,1,1,4,1,2,1,5,6,1,1,1,2,2,1,1,1
"68",4,5,1,3,1,5,5,6,6,1,6,1,6,6,5,1,1,4,2
"69",1,1,4,1,1,2,1,1,5,3,1,4,2,5,1,5,6,1,1
"70",1,4,1,5,5,1,1,1,2,1,6,1,1,1,5,3,2,1,1
"71",1,4,1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5
"72",1,1,1,2,1,2,1,1,1,1,5,2,4,1,1,1,1,6,4
"73",3,1,1,1,1,4,5,5,1,1,6,6,5,5,2,1,1,2,1
"74",1,2,1,2,5,1,5,5,1,1,1,4,6,1,2,1,1,5,1
"75",1,1,4,1,1,2,1,1,5,3,1,4,2,5,1,5,6,1,1
"76",5,6,2,5,1,5,1,1,4,2,1,5,1,1,1,1,1,1,2
"77",5,1,1,1,1,2,1,6,1,1,5,4,1,1,4,5,5,5,1
"78",1,6,2,1,1,1,1,1,1,1,6,1,1,1,1,1,2,1,1
"79",6,2,1,5,1,5,5,1,1,1,6,5,1,2,1,2,1,2,1
"80",3,3,1,1,5,1,1,5,2,1,5,1,1,1,1,2,1,1,2
"81",2,1,1,1,2,1,1,6,1,1,5,3,1,1,1,1,4,5,5
"82",5,1,1,2,1,6,6,5,1,1,1,1,2,1,2,1,1,3,1
"83",4,1,5,6,1,6,5,5,1,5,6,1,6,3,6,4,5,1,1
"84",4,1,1,1,1,2,1,1,5,3,1,4,2,5,1,5,6,1,1
"85",1,1,2,5,4,5,6,1,1,6,2,1,6,2,1,2,5,2,5
"86",1,1,2,1,1,1,6,1,1,5,5,4,1,1,4,5,5,5,1
"87",1,2,6,5,1,1,5,1,5,6,1,1,1,3,3,1,1,1,1
"88",2,1,1,1,1,5,1,1,1,5,6,2,4,1,1,2,1,6,1
"89",6,1,5,1,5,1,1,1,1,2,1,1,2,6,2,1,1,3,1
"90",4,1,1,1,1,2,1,1,5,3,1,4,2,5,1,5,6,1,1
"91",6,5,1,1,2,1,1,5,1,1,1,1,1,4,2,1,1,1,2
