"","x"
"1",1
"2",1
"3",4
"4",1
"5",4
"6",1
"7",1
"8",1
"9",5
"10",1
"11",1
"12",1
"13",1
"14",6
"15",1
"16",1
"17",2
"18",2
"19",1
"20",1
"21",1
"22",1
"23",1
"24",6
"25",5
"26",1
"27",3
"28",1
"29",1
"30",4
"31",1
"32",1
"33",2
"34",1
"35",5
"36",1
"37",1
"38",1
"39",1
"40",1
"41",6
"42",6
"43",6
"44",4
"45",1
"46",5
"47",1
"48",5
"49",1
"50",1
"51",2
"52",1
"53",2
"54",1
"55",1
"56",1
"57",1
"58",1
"59",5
"60",2
"61",1
"62",1
"63",6
"64",6
"65",1
"66",1
"67",1
"68",1
"69",4
"70",5
"71",1
"72",2
"73",2
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",2
"81",4
"82",1
"83",4
"84",1
"85",2
"86",2
"87",1
"88",1
"89",5
"90",5
"91",1
"92",5
"93",6
"94",1
"95",1
"96",5
"97",1
"98",2
"99",1
"100",1
"101",1
"102",3
"103",1
"104",1
"105",1
"106",6
"107",1
"108",6
"109",2
"110",6
"111",6
"112",5
"113",1
"114",1
"115",5
"116",1
"117",2
"118",1
"119",1
"120",1
"121",1
"122",4
"123",1
"124",6
"125",5
"126",1
"127",2
"128",1
"129",1
"130",5
"131",2
"132",2
"133",1
"134",2
"135",1
"136",1
"137",5
"138",1
"139",1
"140",1
"141",1
"142",1
"143",4
"144",1
"145",5
"146",3
"147",1
"148",1
"149",5
"150",2
"151",1
"152",1
"153",5
"154",1
"155",1
"156",1
"157",5
"158",5
"159",1
"160",4
"161",2
"162",1
"163",3
"164",1
"165",6
"166",2
"167",4
"168",6
"169",5
"170",5
"171",2
"172",5
"173",1
"174",5
"175",1
"176",2
"177",6
"178",2
"179",1
"180",6
"181",1
"182",1
"183",4
"184",4
"185",6
"186",6
"187",1
"188",1
"189",3
"190",2
"191",5
"192",2
"193",1
"194",1
"195",1
"196",6
"197",6
"198",1
"199",1
"200",6
"201",6
"202",1
"203",5
"204",1
"205",1
"206",6
"207",3
"208",1
"209",1
"210",1
"211",6
"212",1
"213",5
"214",1
"215",1
"216",6
"217",5
"218",3
"219",5
"220",4
"221",6
"222",3
"223",1
"224",2
"225",1
"226",1
"227",1
"228",6
"229",3
"230",1
"231",3
"232",6
"233",5
"234",5
"235",1
"236",3
"237",1
"238",2
"239",1
"240",1
"241",4
"242",2
"243",6
"244",2
"245",1
"246",3
"247",4
"248",4
"249",1
"250",3
"251",6
"252",1
"253",1
"254",5
"255",5
"256",1
"257",5
"258",1
"259",6
"260",4
"261",2
"262",3
"263",3
"264",2
"265",1
