"","x"
"1",3
"2",3
"3",4
"4",3
"5",3
"6",3
"7",2
"8",4
"9",4
"10",3
"11",5
"12",2
"13",4
"14",5
"15",4
"16",4
"17",3
"18",4
"19",4
"20",3
"21",5
"22",4
"23",3
"24",5
"25",4
"26",5
"27",4
"28",3
"29",3
"30",3
"31",3
"32",5
"33",3
"34",3
"35",4
"36",3
"37",2
"38",3
"39",3
"40",4
"41",3
"42",5
"43",3
"44",3
"45",4
"46",3
"47",5
"48",4
"49",4
"50",2
"51",3
"52",3
"53",3
"54",5
"55",2
"56",3
"57",5
"58",5
"59",4
"60",4
"61",3
"62",4
"63",2
"64",3
"65",2
"66",4
"67",3
"68",5
"69",3
"70",5
"71",3
"72",4
"73",4
"74",2
"75",3
"76",5
"77",4
"78",3
"79",5
"80",3
"81",5
"82",3
"83",5
"84",3
"85",3
"86",3
"87",3
"88",2
"89",4
"90",4
"91",2
"92",5
"93",3
"94",4
"95",3
"96",5
"97",4
"98",3
"99",4
"100",3
"101",4
"102",5
"103",4
"104",5
"105",5
"106",5
"107",3
"108",3
"109",3
"110",3
"111",3
"112",4
"113",3
"114",3
"115",3
"116",3
"117",2
"118",4
"119",3
"120",2
"121",3
"122",5
"123",5
"124",3
"125",3
"126",5
"127",3
"128",5
"129",3
"130",3
"131",5
"132",5
"133",3
"134",4
"135",3
"136",5
"137",3
"138",3
"139",3
"140",5
"141",2
"142",3
"143",5
"144",3
"145",4
"146",5
"147",4
"148",4
"149",4
"150",3
"151",3
"152",3
"153",3
"154",3
"155",5
"156",3
"157",4
"158",5
"159",4
"160",3
"161",3
"162",4
"163",5
"164",5
"165",5
"166",5
"167",5
"168",3
"169",3
"170",5
"171",4
"172",3
"173",3
"174",3
"175",2
"176",3
"177",3
"178",3
"179",3
"180",3
"181",2
"182",4
"183",5
"184",4
"185",2
"186",4
"187",4
"188",3
"189",5
"190",3
"191",5
"192",2
"193",3
"194",2
"195",3
"196",3
"197",3
"198",3
"199",5
"200",3
"201",4
"202",5
"203",3
"204",2
"205",4
"206",4
"207",5
"208",5
"209",3
"210",3
"211",4
"212",1
"213",5
"214",3
"215",4
"216",5
"217",3
"218",3
"219",2
"220",5
"221",3
"222",3
"223",5
"224",3
"225",4
"226",5
"227",4
"228",3
"229",5
"230",3
"231",4
"232",3
"233",3
"234",3
"235",5
"236",5
"237",4
"238",4
"239",5
"240",4
"241",5
"242",5
"243",3
"244",3
"245",2
"246",3
"247",2
"248",4
"249",3
"250",3
"251",3
"252",5
"253",3
"254",4
"255",3
"256",3
"257",5
"258",2
"259",3
"260",5
"261",4
"262",5
"263",4
"264",3
"265",4
