"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",7,1,2,5,5,8,3,7,3,2,7,3,8,2,9,3,2,7,8
"2",2,9,1,7,1,4,6,4,6,2,7,8,9,2,6,2,1,9,8
"3",5,2,2,8,4,8,3,9,6,6,2,5,6,9,6,8,6,6,1
"4",7,8,9,4,7,8,9,9,6,2,2,9,8,3,9,7,7,5,1
"5",7,7,2,6,9,9,2,2,3,7,9,8,9,2,7,2,5,7,2
"6",2,5,4,5,7,2,7,9,5,9,4,1,8,1,9,8,4,2,4
"7",4,8,3,7,7,1,2,2,2,1,4,8,2,7,1,2,5,3,2
"8",6,7,2,6,4,3,7,4,3,1,8,6,6,3,6,1,8,6,1
"9",5,6,6,5,8,3,7,5,6,8,6,3,1,4,2,3,2,4,5
"10",7,2,2,1,5,6,2,4,1,5,1,2,7,1,5,4,2,7,9
"11",5,9,5,4,3,6,7,4,6,6,5,8,9,9,1,7,5,1,9
"12",2,7,9,2,3,3,2,7,1,5,2,9,9,8,4,2,5,9,1
"13",2,2,8,7,1,4,1,1,1,5,1,2,9,5,4,1,1,9,3
"14",1,7,1,2,6,9,9,1,2,8,5,4,6,2,6,5,9,3,3
"15",9,2,8,8,9,8,9,8,5,6,6,7,5,1,4,2,8,2,8
"16",4,2,6,1,4,1,2,4,7,4,7,7,1,7,7,7,2,4,4
"17",2,7,7,4,6,3,6,2,6,6,4,4,2,1,6,1,1,2,6
"18",5,6,7,5,2,1,2,2,9,1,8,8,1,1,7,6,3,8,8
"19",5,1,7,2,9,8,4,7,2,4,3,8,1,1,7,4,8,8,1
"20",6,4,7,8,3,1,6,1,8,2,3,9,8,5,8,2,5,9,7
"21",4,7,2,1,1,7,1,6,4,8,4,8,2,4,5,9,9,3,2
"22",2,2,7,2,9,7,2,6,9,5,3,9,9,9,8,1,1,5,1
"23",6,7,8,6,4,2,1,9,3,9,2,3,1,5,7,6,1,8,8
"24",2,4,9,8,5,1,2,8,8,3,9,8,6,2,1,7,6,7,1
"25",4,9,3,7,4,6,7,1,1,2,3,7,2,1,6,3,2,1,2
"26",3,2,2,2,3,4,2,2,1,6,1,6,6,9,6,5,8,3,1
"27",5,7,2,9,2,3,5,9,5,2,5,6,4,5,9,8,1,9,8
"28",2,4,8,9,4,3,5,9,8,6,6,8,8,3,7,8,5,1,1
"29",5,9,6,8,5,7,6,4,3,8,5,2,8,2,1,5,8,2,7
"30",2,6,6,2,3,9,7,5,2,7,1,7,2,7,2,6,1,7,7
"31",6,4,2,7,6,5,2,4,7,6,1,9,7,8,3,6,4,7,6
"32",5,7,8,5,7,6,3,1,8,7,3,8,6,2,8,7,4,3,5
"33",2,5,7,8,1,2,6,1,4,7,4,5,5,6,5,4,6,7,1
"34",7,9,3,2,6,6,5,2,9,4,4,2,6,7,8,6,4,3,6
"35",1,1,8,2,6,4,4,7,6,1,1,6,8,6,2,4,7,4,6
"36",7,8,1,6,2,6,3,7,7,3,2,1,1,8,7,7,8,2,5
"37",7,3,8,9,9,7,7,1,2,5,4,6,7,6,9,2,6,9,5
"38",2,6,6,5,2,7,5,9,5,8,5,4,1,3,9,9,3,9,7
"39",8,7,3,3,7,6,1,8,8,7,9,3,6,7,9,1,2,1,3
"40",6,7,1,9,1,1,4,1,6,7,1,8,1,6,1,8,7,3,2
"41",2,1,7,5,8,7,1,4,5,5,3,1,7,3,3,1,6,2,5
"42",6,5,5,3,5,8,2,7,8,8,2,6,2,6,1,7,8,1,1
"43",1,3,7,5,1,8,9,2,1,1,5,7,3,4,4,8,3,6,1
"44",6,1,1,8,7,2,7,3,4,6,4,7,8,7,6,6,4,2,1
"45",6,1,8,1,4,6,6,7,7,4,7,4,7,2,2,2,6,7,4
"46",7,4,7,1,8,4,2,7,6,6,4,5,7,3,2,4,9,6,7
"47",5,7,2,7,8,2,3,9,1,2,2,1,1,5,2,3,7,7,6
"48",6,6,7,6,9,4,7,8,7,7,6,4,5,7,1,6,4,6,9
"49",3,8,6,9,4,4,9,8,8,6,2,6,3,9,2,7,9,5,6
"50",7,7,5,5,7,2,8,7,4,5,8,4,5,8,3,6,5,2,8
"51",8,2,3,8,5,9,7,8,6,1,6,5,1,5,8,7,8,3,8
"52",6,8,6,5,1,7,3,3,9,2,7,7,2,4,8,6,2,5,8
"53",8,7,5,7,9,4,4,8,3,6,1,3,8,5,1,7,7,9,3
"54",1,1,3,7,7,8,4,5,8,6,4,6,4,8,8,9,7,8,6
"55",7,6,9,9,5,4,8,8,1,4,8,7,6,7,5,8,8,9,2
"56",4,7,6,2,6,7,7,8,9,7,5,4,5,9,5,6,1,1,6
"57",5,5,6,3,7,5,2,4,8,3,6,8,8,2,2,8,6,2,1
"58",8,6,8,9,5,7,3,7,5,1,2,4,8,7,8,7,7,9,5
"59",8,3,7,7,2,3,6,4,4,6,6,3,8,4,6,8,7,8,1
"60",9,9,3,9,8,9,9,7,6,6,5,7,7,2,7,9,9,8,9
"61",8,7,3,8,8,2,3,7,4,9,4,8,9,6,3,7,1,6,6
"62",5,5,5,9,7,6,5,5,5,8,1,8,7,9,3,7,7,7,6
"63",6,5,9,5,6,6,1,6,9,6,8,8,8,7,5,2,7,9,6
"64",2,6,8,1,6,2,6,3,7,1,9,6,2,8,2,1,5,8,8
"65",8,7,9,5,9,6,8,6,8,5,9,3,2,6,8,8,8,8,4
"66",6,5,2,8,5,8,8,8,6,8,6,9,9,1,9,8,3,5,2
"67",8,6,5,2,3,8,7,3,6,6,5,3,1,2,6,6,1,1,2
"68",7,7,9,7,8,8,2,7,9,3,1,1,7,7,4,7,8,7,8
"69",9,8,9,7,5,7,8,7,4,6,7,7,2,7,6,4,9,9,2
"70",7,8,6,8,2,2,1,6,5,9,7,5,7,7,8,7,4,1,7
"71",2,5,7,8,6,4,1,3,2,9,2,2,1,7,3,7,3,1,3
"72",3,1,3,2,6,8,1,7,5,6,5,9,7,2,1,9,5,8,7
"73",2,1,8,7,7,4,4,7,6,5,6,2,6,2,2,1,8,6,6
"74",8,8,7,5,3,3,1,9,2,1,2,3,5,7,6,7,4,1,6
"75",7,7,8,1,3,1,4,5,2,7,7,1,1,4,2,3,7,5,6
"76",3,6,7,7,2,9,1,1,9,2,1,1,7,6,6,7,8,3,6
"77",5,9,3,7,7,7,1,6,2,1,1,6,7,6,2,7,3,1,4
"78",6,7,1,6,7,7,9,6,7,3,4,6,1,6,4,5,7,9,2
"79",9,6,1,6,9,1,6,3,7,7,4,2,7,6,9,8,7,1,2
"80",9,9,8,8,8,7,2,5,9,9,2,8,6,1,7,8,2,2,9
"81",8,9,3,5,7,7,5,5,8,8,8,7,3,8,1,9,1,6,8
"82",8,1,5,1,3,8,3,7,1,7,6,6,8,5,7,7,8,8,8
"83",8,6,7,3,8,6,5,2,7,2,6,5,7,6,3,2,5,6,7
"84",2,8,7,4,4,6,9,9,8,9,6,6,1,5,5,7,3,9,8
"85",5,6,8,6,3,8,2,7,7,9,8,9,7,1,6,7,8,5,9
"86",5,3,6,5,8,9,9,2,8,4,9,2,8,4,8,7,4,9,8
"87",8,9,2,6,9,2,6,4,4,1,2,3,7,8,6,1,8,3,6
"88",6,2,8,8,7,6,3,8,5,7,9,8,7,1,7,7,7,4,2
"89",6,7,7,6,9,8,9,7,7,3,6,6,6,1,2,4,9,8,5
"90",5,3,4,5,7,8,8,7,3,4,4,8,8,7,3,7,6,8,9
