"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",6,3,5,5,5,3,1,2,2,2,2,2,4,2,1,6,1,6,7
"2",2,2,3,1,2,2,2,2,2,1,4,3,2,2,2,2,2,4,1
"3",1,1,1,2,2,2,1,1,2,2,1,5,7,2,1,2,1,4,1
"4",1,1,2,5,7,2,1,1,3,2,2,2,2,1,7,4,5,1,1
"5",1,6,1,2,5,2,7,5,4,3,1,6,5,5,2,1,1,2,2
"6",1,2,1,2,2,3,2,1,2,3,6,8,6,4,2,6,3,1,2
"7",2,2,2,1,6,4,2,4,3,2,3,2,5,1,1,2,6,2,3
"8",3,4,5,4,4,1,2,4,2,5,2,2,1,1,5,2,2,9,7
"9",9,3,4,4,7,6,3,3,5,3,1,5,4,2,2,2,4,1,2
"10",2,5,1,2,5,1,4,2,3,5,5,2,2,6,1,2,1,6,1
"11",5,5,1,1,2,1,2,5,2,2,2,3,3,2,2,2,3,5,2
"12",3,3,2,2,7,6,2,1,3,7,3,1,2,5,1,3,2,2,2
"13",2,5,1,5,5,4,7,3,2,2,3,4,6,2,7,3,1,4,2
"14",4,3,1,2,5,2,2,4,3,2,5,5,8,3,3,5,3,4,5
"15",3,5,2,5,1,2,2,5,3,4,3,5,5,4,5,2,1,4,3
"16",4,5,5,5,2,1,2,3,3,1,1,2,4,5,4,1,2,2,2
"17",4,5,5,5,2,1,3,2,4,1,3,2,2,1,2,2,2,4,3
"18",7,4,7,6,4,2,2,4,8,6,1,2,7,3,6,7,4,7,7
"19",2,5,4,4,1,2,1,2,3,3,5,2,2,2,4,1,2,4,2
"20",5,4,2,3,2,2,2,4,7,3,5,2,2,8,3,6,3,1,5
"21",3,6,4,8,2,8,5,2,6,3,1,4,4,5,6,5,6,3,2
"22",7,5,5,1,7,6,4,3,2,8,8,5,7,5,8,6,5,4,7
"23",6,2,6,8,2,6,4,6,9,7,4,3,7,2,2,1,2,1,4
"24",4,8,5,7,6,2,4,2,6,6,6,6,7,6,2,8,7,5,4
"25",2,2,2,7,9,2,9,9,7,5,5,2,2,5,6,4,3,5,5
"26",6,2,2,6,7,4,4,3,5,2,2,4,6,4,2,5,9,1,2
"27",6,5,7,6,2,6,6,8,6,2,3,8,5,6,3,6,4,6,6
"28",5,7,5,8,9,3,8,5,7,6,5,6,5,4,8,8,2,8,6
"29",5,5,2,3,5,2,6,7,5,2,6,3,2,2,5,7,6,3,5
"30",3,9,8,2,5,6,2,3,1,4,5,5,5,2,7,6,2,7,4
"31",6,3,6,1,4,5,8,6,1,2,7,4,6,2,3,7,5,3,6
