"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",4,6,3,2,5,3,2,4,4,8,1,2,4,6,1,2,5,1,7
"2",2,2,2,6,4,2,2,8,4,2,2,2,2,3,6,4,5,3,1
"3",2,1,2,2,2,5,2,2,1,7,5,3,1,1,3,1,5,6,6
"4",6,2,1,6,1,1,2,2,2,1,3,3,2,7,8,2,5,1,3
"5",2,7,9,5,6,3,6,7,7,4,2,8,6,6,5,4,4,6,5
"6",2,4,1,2,2,3,2,2,6,1,3,2,1,1,2,2,1,2,4
"7",2,2,2,6,3,1,2,5,2,2,4,4,3,5,2,5,6,5,2
"8",5,7,2,7,8,3,7,2,2,2,7,6,6,2,7,2,2,2,2
"9",5,4,5,5,8,6,9,8,8,8,5,7,9,5,6,4,6,9,9
"10",5,6,2,7,7,6,7,3,4,2,7,6,7,9,7,6,6,9,6
"11",2,5,5,2,4,4,4,7,9,1,7,1,6,1,2,2,6,1,7
"12",6,5,4,6,3,2,2,1,6,1,2,1,5,3,5,4,5,6,3
"13",3,2,1,2,4,2,4,2,5,4,6,5,4,6,2,6,8,5,5
"14",4,2,4,5,5,5,2,4,6,7,4,3,4,1,3,2,4,2,3
"15",3,4,2,2,3,5,5,2,2,2,4,4,3,4,2,6,2,9,1
"16",2,4,2,2,5,3,4,2,5,4,5,5,1,2,6,2,8,1,2
"17",3,4,2,2,2,3,5,3,4,5,5,1,6,2,6,6,7,2,2
"18",2,5,3,8,4,6,2,8,3,4,8,5,5,7,4,8,2,2,4
"19",7,9,2,3,5,8,7,5,5,1,2,2,2,3,4,6,4,2,5
"20",4,5,5,5,2,3,5,5,6,7,7,3,4,3,7,2,3,5,2
"21",6,3,9,7,3,5,7,6,7,3,9,9,8,9,9,9,9,8,4
"22",4,5,8,7,1,3,4,6,4,1,4,5,7,9,9,8,2,8,7
"23",7,8,7,8,3,8,9,7,7,5,6,6,2,2,6,9,6,2,6
"24",4,9,7,3,7,8,7,8,7,3,8,3,7,9,6,7,8,7,6
"25",7,6,8,7,7,7,9,7,6,8,8,2,2,7,2,8,8,8,2
"26",4,6,7,4,3,5,4,4,4,5,4,2,4,6,5,5,5,2,5
"27",4,5,5,5,7,6,9,2,8,4,4,8,4,8,9,9,9,7,7
"28",6,2,4,7,5,6,7,8,6,7,7,5,5,6,7,6,5,7,5
"29",4,6,7,5,6,4,4,5,5,6,6,4,2,6,2,2,5,4,4
"30",8,2,2,8,8,2,8,9,2,5,9,7,8,1,5,5,6,9,5
"31",4,7,3,6,5,6,6,2,4,5,6,2,8,2,6,5,8,7,4
"32",3,5,4,5,6,3,5,6,4,6,6,6,5,6,6,6,6,7,3
"33",7,8,7,5,3,7,8,8,9,2,3,7,7,4,2,9,6,8,7
"34",3,5,2,7,5,3,9,9,6,7,9,9,9,9,9,9,1,8,9
"35",8,2,4,6,2,4,4,6,4,8,7,5,5,7,3,8,8,8,9
"36",2,3,5,4,6,3,6,7,7,6,3,8,5,2,8,2,8,8,6
"37",2,6,2,5,6,7,2,7,6,5,6,7,2,6,6,6,8,4,2
"38",7,5,8,8,9,8,8,8,6,8,8,6,7,5,5,9,9,8,9
"39",5,7,7,6,3,8,3,5,6,9,9,2,9,9,7,8,7,8,8
"40",6,7,2,6,7,5,6,7,7,8,5,5,7,5,8,5,7,7,7
"41",2,6,2,4,5,6,5,7,5,7,6,5,5,2,9,7,6,5,2
"42",2,4,2,6,5,5,4,4,4,5,8,5,3,7,6,2,2,4,7
"43",2,3,3,5,2,8,3,8,3,6,7,3,7,7,5,5,2,4,2
"44",5,7,6,4,5,7,8,6,7,6,5,5,6,6,5,6,4,7,4
"45",9,7,9,8,5,7,4,7,7,8,7,9,3,6,7,6,2,7,6
"46",3,6,2,3,2,2,4,4,4,7,7,6,4,6,4,2,6,3,6
"47",5,5,6,5,3,2,5,5,5,2,6,2,4,2,2,5,6,5,3
"48",9,9,1,5,9,2,9,9,7,3,6,6,4,3,5,8,4,2,8
"49",7,9,3,5,7,7,8,2,7,9,9,6,6,8,6,8,8,4,9
"50",7,4,7,5,4,6,8,9,8,5,9,7,7,7,3,9,7,3,7
"51",7,8,4,5,6,6,8,4,5,6,5,9,8,7,8,8,9,7,7
"52",4,4,6,5,5,6,3,6,7,6,6,2,7,6,6,7,7,4,4
"53",4,4,5,7,6,3,6,5,4,3,7,3,4,4,6,3,3,2,6
"54",6,8,7,5,5,4,7,6,6,6,6,6,9,8,6,6,7,6,6
"55",7,7,9,8,9,7,9,7,6,5,8,6,5,8,9,7,8,7,7
"56",6,3,4,6,5,1,5,8,6,8,6,5,4,8,4,7,2,7,9
"57",8,3,9,8,7,1,7,4,8,5,8,3,8,4,2,8,1,5,6
"58",3,6,7,5,4,7,2,4,4,4,3,5,4,5,8,7,7,5,5
"59",6,8,7,5,6,8,5,8,8,8,7,7,6,9,8,8,7,7,5
"60",6,8,5,7,6,9,8,6,5,7,8,7,8,8,6,7,7,8,7
"61",9,4,2,6,4,5,3,5,3,6,5,7,3,3,7,8,8,6,7
"62",3,2,3,2,3,5,7,5,7,7,4,3,4,6,3,6,7,7,6
"63",7,7,7,7,6,2,7,7,7,6,7,5,7,7,6,5,5,8,7
"64",7,7,4,7,7,6,5,7,3,7,7,8,7,6,6,4,8,2,2
"65",8,9,8,6,7,6,6,5,8,8,5,9,8,9,7,8,3,7,6
"66",7,7,8,7,7,7,6,4,7,5,8,6,8,5,6,6,8,7,3
"67",5,6,7,3,8,4,8,9,4,8,8,7,4,6,6,7,7,6,8
"68",6,4,8,5,7,6,7,5,9,8,7,8,8,6,5,5,5,6,7
"69",6,7,7,6,7,6,5,8,7,7,7,9,5,6,8,7,7,8,8
"70",5,6,7,6,8,8,3,2,9,2,8,8,7,4,3,8,5,7,8
"71",4,6,4,5,4,5,5,4,7,5,5,7,7,5,8,5,4,7,5
"72",5,2,3,4,2,7,5,6,2,2,2,4,6,4,5,4,4,2,7
"73",8,3,4,6,6,4,7,7,7,3,6,5,5,2,7,8,2,6,6
"74",9,6,8,7,8,7,7,5,9,7,7,9,8,6,9,6,8,6,2
"75",6,6,5,7,6,7,8,8,7,7,7,7,9,7,9,8,9,7,8
"76",6,6,7,7,3,7,6,7,5,7,3,9,7,9,8,4,8,8,6
"77",7,3,7,6,3,4,1,7,2,8,5,7,9,5,7,4,7,6,4
"78",6,6,7,2,5,8,8,2,7,2,4,8,7,6,5,5,8,6,6
"79",6,7,6,7,7,5,6,7,4,7,6,7,7,5,5,5,8,7,8
"80",5,4,3,2,4,6,6,4,4,4,6,5,3,2,5,6,2,5,5
"81",4,3,4,7,7,5,5,4,6,5,6,2,5,3,3,6,5,7,7
"82",6,7,5,7,6,7,4,5,4,2,6,5,6,6,7,7,6,8,6
"83",4,4,3,3,3,5,5,3,4,5,5,4,7,2,4,3,7,5,5
"84",3,4,7,2,4,9,7,3,8,8,6,7,7,9,4,6,4,9,9
"85",7,8,8,7,9,8,8,9,5,5,8,6,7,5,8,5,9,4,9
"86",2,7,7,5,7,7,7,7,6,7,6,7,6,7,7,6,7,6,8
"87",4,7,7,3,4,2,7,6,8,8,3,1,3,7,7,5,7,8,5
"88",5,4,6,2,7,2,2,5,3,7,2,7,3,5,6,7,5,6,3
"89",6,8,8,8,5,5,5,7,9,7,6,8,9,9,2,9,9,8,6
"90",6,7,5,5,9,6,7,7,2,8,7,7,9,6,6,6,4,5,5
"91",6,5,6,6,4,6,7,7,7,5,6,2,3,5,4,5,5,5,5
"92",9,4,5,7,8,7,6,6,6,6,7,8,9,5,2,5,6,9,5
"93",4,6,4,3,5,7,7,6,4,6,4,4,9,7,5,3,4,2,5
"94",7,6,5,6,8,3,4,9,6,8,8,5,8,4,3,6,7,6,8
"95",8,6,7,5,7,7,9,7,7,7,5,9,9,8,8,7,5,9,3
"96",5,4,6,6,8,2,5,9,7,4,5,7,5,7,3,4,5,7,7
"97",3,3,8,5,8,4,2,9,2,6,2,9,9,4,5,8,6,3,5
"98",4,4,5,4,7,2,7,9,5,7,8,7,6,5,7,9,6,2,4
"99",4,2,3,8,7,9,8,2,6,6,8,7,7,2,5,9,4,6,7
"100",5,5,5,5,6,6,5,4,5,2,4,4,7,6,5,5,6,8,2
"101",9,4,5,7,8,7,6,5,6,6,7,6,7,8,7,9,5,2,5
"102",5,7,7,8,3,8,6,8,8,9,7,3,8,7,9,7,8,9,4
"103",7,7,4,8,7,5,7,9,4,5,5,1,7,8,9,8,6,7,5
"104",9,4,8,9,8,6,6,7,8,8,7,7,6,5,6,9,6,7,6
"105",6,6,5,6,7,7,7,5,5,8,6,7,7,7,7,7,6,6,7
"106",7,5,7,9,5,5,7,6,9,9,5,6,7,5,6,9,9,8,7
"107",6,6,3,7,5,7,3,2,6,6,7,5,6,8,3,6,4,5,3
"108",6,6,8,5,5,4,5,6,5,5,5,8,7,5,6,6,6,7,7
"109",5,1,1,9,8,5,5,4,7,8,3,7,4,3,8,8,7,8,8
"110",3,7,4,3,7,8,7,4,7,3,7,2,5,3,4,5,5,5,4
"111",7,5,7,3,4,8,7,8,8,7,8,5,1,1,2,9,7,8,8
"112",5,7,7,7,6,8,9,6,6,8,9,5,9,3,7,9,7,2,8
"113",6,4,8,3,7,5,7,7,6,5,6,5,6,7,7,4,6,3,3
"114",4,2,2,4,6,6,3,4,5,2,4,7,3,6,7,7,8,5,6
"115",6,6,4,5,6,6,7,5,4,4,6,5,7,6,2,7,8,5,6
"116",4,7,6,6,7,4,6,2,4,7,4,8,7,5,6,6,4,7,5
"117",4,6,6,5,7,7,7,7,6,6,5,4,5,4,3,6,6,5,6
"118",6,6,6,6,8,8,7,5,7,6,5,7,7,4,8,8,5,8,5
"119",4,5,8,5,6,6,6,5,3,7,6,9,7,2,8,8,7,6,7
"120",4,6,8,8,2,5,5,5,4,4,8,5,8,2,8,3,7,4,7
"121",5,8,7,3,9,9,6,7,4,8,7,8,6,6,9,6,7,7,8
"122",6,7,7,9,9,7,9,8,5,3,6,7,2,8,8,5,7,3,9
"123",6,2,4,8,5,4,7,2,8,4,6,7,7,5,5,6,8,5,8
"124",4,4,6,5,6,3,6,7,8,5,3,7,6,7,6,6,6,4,4
"125",7,8,1,5,6,7,7,5,1,8,8,6,1,8,9,9,9,2,8
"126",6,7,7,6,6,7,5,8,7,7,7,9,5,6,9,5,7,8,8
"127",9,4,5,7,8,7,6,6,6,7,8,9,5,5,6,9,6,2,9
"128",6,4,4,6,6,6,6,3,7,4,9,9,7,8,8,7,4,8,8
"129",5,5,5,3,6,5,7,6,6,8,8,2,8,3,4,7,5,8,8
"130",7,7,7,4,8,7,5,5,6,5,4,7,6,4,7,8,7,7,5
"131",5,3,7,2,3,7,8,6,4,4,5,6,2,5,7,4,7,5,5
"132",4,3,5,5,6,6,7,3,6,4,7,2,3,6,4,2,6,5,6
"133",6,7,7,7,6,7,7,7,4,5,6,4,2,4,7,8,6,4,5
"134",9,8,6,8,6,7,5,8,6,8,8,5,6,6,6,9,9,9,8
"135",5,6,6,5,7,4,6,6,5,6,6,7,7,3,3,7,4,6,6
"136",3,4,7,4,7,7,3,7,6,8,4,5,5,3,5,4,7,2,7
"137",6,6,6,8,7,7,6,5,2,6,4,5,5,8,5,5,7,5,7
"138",8,6,8,6,8,5,6,4,4,5,8,2,5,8,7,6,8,4,8
"139",4,5,5,8,6,7,7,6,4,6,3,6,3,5,7,8,6,7,7
"140",5,5,5,8,6,3,4,5,3,6,8,8,8,9,6,4,5,6,4
"141",8,7,3,6,7,9,8,6,3,8,7,2,1,6,8,7,2,8,7
"142",6,9,7,6,8,5,8,8,8,9,8,5,7,6,8,8,9,6,6
"143",7,7,8,6,5,7,4,6,5,7,7,8,7,6,8,7,4,3,7
"144",5,3,6,7,2,7,7,3,4,9,8,2,2,8,9,7,9,1,1
"145",5,8,8,8,5,7,4,7,7,6,7,6,6,7,6,6,5,6,6
"146",6,7,7,6,7,4,6,8,7,4,6,9,7,7,8,6,9,7,8
"147",3,5,2,2,3,2,3,8,5,6,2,2,5,2,2,3,2,7,2
"148",3,2,4,9,8,5,5,2,2,5,2,4,3,8,2,4,2,4,7
"149",5,2,4,4,2,2,2,5,1,2,2,4,2,5,1,2,3,8,5
"150",2,2,2,1,2,2,5,6,6,1,2,2,3,2,1,1,2,2,6
"151",6,8,4,4,4,6,5,4,8,3,7,8,6,5,3,7,2,2,7
"152",5,6,2,5,7,9,7,7,6,8,9,7,8,7,5,6,3,9,6
"153",5,2,5,6,2,2,6,4,2,7,6,2,5,2,4,2,1,3,2
"154",7,5,4,2,2,5,4,3,5,4,5,4,5,1,1,9,3,7,7
"155",5,5,4,3,8,7,6,8,8,8,7,5,7,6,8,5,5,2,7
"156",6,5,6,6,2,2,6,7,3,6,6,2,7,3,1,1,4,6,7
"157",6,4,4,5,6,2,7,7,3,2,3,4,4,4,5,4,2,3,7
"158",3,1,6,1,7,4,9,5,2,2,2,4,3,5,2,6,2,3,7
"159",4,4,5,7,2,4,5,5,6,4,4,8,2,7,5,8,7,7,1
"160",7,6,3,5,8,5,8,5,7,7,7,5,7,5,5,7,7,6,3
"161",5,2,4,9,6,8,5,7,8,9,9,4,6,8,7,4,7,3,7
"162",4,6,7,8,4,6,5,3,8,2,2,8,5,3,7,7,9,4,2
"163",2,3,7,3,7,2,2,2,5,3,5,6,3,5,3,2,2,2,2
"164",9,9,6,9,9,7,8,8,8,9,9,9,9,7,8,7,9,8,4
"165",3,4,7,6,4,4,6,4,6,8,3,5,7,7,5,1,3,3,7
"166",2,8,7,7,6,5,4,7,7,8,3,9,5,7,4,5,4,9,8
"167",6,8,7,5,3,7,6,5,8,5,9,7,8,6,8,7,7,6,7
"168",4,8,7,9,8,5,4,7,4,5,2,2,5,2,7,6,6,8,6
"169",3,3,8,4,4,8,5,9,8,6,2,3,7,6,2,5,4,8,6
"170",4,4,4,6,3,5,7,7,2,4,7,5,3,2,4,5,3,2,6
"171",5,4,3,2,5,5,2,5,4,2,4,6,7,6,6,5,6,1,2
"172",5,5,6,2,7,6,5,7,8,7,6,3,6,5,4,7,4,2,7
"173",4,2,2,6,4,6,5,5,4,5,5,4,6,7,6,5,7,5,1
"174",6,6,6,8,6,5,6,6,8,5,7,7,7,6,9,8,5,7,8
"175",8,9,6,6,7,7,6,6,6,9,7,6,9,9,7,6,7,7,5
