"","x"
"1",4
"2",2
"3",2
"4",2
"5",5
"6",3
"7",2
"8",3
"9",4
"10",3
"11",2
"12",3
"13",4
"14",5
"15",4
"16",3
"17",2
"18",4
"19",3
"20",4
"21",5
"22",3
"23",4
"24",6
"25",5
"26",3
"27",4
"28",5
"29",4
"30",3
"31",6
"32",4
"33",6
"34",7
"35",6
"36",4
"37",5
"38",6
"39",4
"40",6
"41",4
"42",5
"43",3
"44",4
"45",6
"46",5
"47",3
"48",4
"49",5
"50",7
"51",6
"52",5
"53",3
"54",6
"55",7
"56",6
"57",5
"58",4
"59",5
"60",6
"61",5
"62",4
"63",5
"64",4
"65",6
"66",5
"67",4
"68",5
"69",6
"70",7
"71",5
"72",3
"73",5
"74",6
"75",7
"76",6
"77",4
"78",5
"79",6
"80",5
"81",4
"82",6
"83",5
"84",4
"85",5
"86",6
"87",4
"88",3
"89",6
"90",7
"91",6
"92",3
"93",4
"94",5
"95",6
"96",7
"97",4
"98",5
"99",6
"100",4
"101",5
"102",6
"103",7
"104",4
"105",6
"106",7
"107",6
"108",5
"109",3
"110",4
"111",5
"112",7
"113",4
"114",5
"115",4
"116",6
"117",5
"118",7
"119",5
"120",4
"121",5
"122",6
"123",7
"124",6
"125",5
"126",6
"127",4
"128",3
"129",6
"130",7
"131",5
"132",4
"133",6
"134",7
"135",5
"136",4
"137",5
"138",6
"139",5
"140",4
"141",6
"142",7
"143",6
"144",5
"145",4
"146",6
"147",6
"148",4
"149",3
"150",2
"151",5
"152",4
"153",5
"154",3
"155",4
"156",6
"157",4
"158",3
"159",2
"160",6
"161",8
"162",6
"163",5
"164",4
"165",3
"166",5
"167",7
"168",6
"169",7
"170",6
"171",5
"172",4
"173",5
"174",6
"175",7
"176",6
"177",4
"178",3
"179",4
"180",6
"181",7
"182",5
"183",4
"184",5
"185",6
"186",5
"187",6
"188",5
"189",6
"190",7
"191",5
"192",6
"193",5
"194",4
"195",7
"196",8
"197",6
"198",5
"199",8
"200",6
"201",5
"202",6
"203",7
"204",6
"205",5
"206",6
"207",7
"208",8
"209",7
"210",5
"211",4
"212",5
"213",7
"214",6
"215",5
"216",4
"217",6
"218",5
"219",8
"220",9
"221",7
"222",5
"223",4
"224",5
"225",7
"226",6
"227",7
"228",6
"229",7
"230",6
"231",4
"232",5
"233",7
"234",5
"235",6
"236",5
"237",7
"238",6
"239",5
"240",4
"241",7
"242",8
"243",9
"244",6
"245",3
"246",5
"247",7
"248",8
"249",6
"250",5
"251",6
"252",5
"253",7
"254",5
"255",6
"256",7
"257",3
"258",4
"259",7
"260",5
"261",6
"262",7
"263",4
"264",5
"265",6
"266",9
"267",7
"268",6
"269",4
"270",2
"271",6
"272",8
"273",6
"274",8
"275",5
"276",4
"277",7
"278",6
"279",7
"280",3
"281",5
"282",8
"283",9
"284",8
"285",7
"286",4
"287",2
"288",6
"289",7
"290",8
"291",6
"292",4
"293",5
"294",6
"295",7
"296",6
"297",3
"298",5
"299",7
"300",8
"301",4
"302",2
"303",8
"304",9
"305",8
"306",6
"307",4
"308",7
"309",6
"310",5
"311",6
"312",5
"313",7
"314",5
"315",4
"316",7
"317",8
"318",6
"319",4
"320",6
"321",8
"322",7
"323",6
"324",5
"325",4
"326",6
"327",7
"328",6
"329",5
"330",6
"331",7
"332",6
"333",7
"334",6
"335",5
"336",4
"337",6
"338",7
"339",8
"340",6
"341",5
"342",4
