"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",3
"14",3
"15",3
"16",3
"17",1
"18",3
"19",3
"20",3
"21",3
"22",8
"23",3
"24",3
"25",6
"26",3
"27",3
"28",3
"29",3
"30",6
"31",3
"32",7
"33",7
"34",9
"35",8
"36",3
"37",7
"38",8
"39",8
"40",8
"41",8
"42",8
"43",8
"44",8
"45",9
"46",8
"47",8
"48",3
"49",9
"50",9
"51",9
"52",8
"53",8
"54",8
"55",9
"56",8
"57",8
"58",8
"59",8
"60",8
"61",8
"62",8
"63",9
"64",8
"65",8
"66",8
"67",8
"68",8
"69",8
"70",9
"71",8
"72",8
"73",9
"74",9
"75",9
"76",9
"77",8
"78",8
"79",8
"80",8
"81",8
"82",8
"83",8
"84",8
"85",9
"86",9
"87",8
"88",8
"89",8
"90",8
"91",8
"92",8
"93",7
"94",8
"95",9
"96",8
"97",9
"98",9
"99",8
"100",8
"101",8
"102",9
"103",9
"104",9
"105",9
"106",8
"107",8
"108",8
"109",8
"110",7
"111",8
"112",9
"113",8
"114",8
"115",9
"116",8
"117",8
"118",9
"119",8
"120",8
"121",8
"122",9
"123",9
"124",8
"125",8
"126",8
"127",8
"128",8
"129",8
"130",9
"131",8
"132",8
"133",8
"134",9
"135",8
"136",8
"137",8
"138",8
"139",8
"140",8
"141",9
"142",9
"143",8
"144",8
"145",8
"146",9
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",3
"155",3
"156",1
"157",1
"158",1
"159",1
"160",3
"161",3
"162",3
"163",3
"164",3
"165",3
"166",3
"167",3
"168",3
"169",5
"170",1
"171",3
"172",3
"173",3
"174",7
"175",7
"176",7
"177",3
"178",3
"179",1
"180",3
"181",8
"182",3
"183",3
"184",3
"185",7
"186",8
"187",8
"188",7
"189",8
"190",8
"191",8
"192",8
"193",8
"194",8
"195",9
"196",8
"197",7
"198",8
"199",9
"200",8
"201",8
"202",8
"203",9
"204",8
"205",8
"206",9
"207",8
"208",8
"209",8
"210",3
"211",8
"212",9
"213",7
"214",7
"215",8
"216",7
"217",3
"218",3
"219",3
"220",9
"221",9
"222",8
"223",8
"224",8
"225",8
"226",7
"227",3
"228",9
"229",9
"230",6
"231",7
"232",3
"233",8
"234",3
"235",9
"236",9
"237",3
"238",8
"239",8
"240",9
"241",9
"242",8
"243",3
"244",9
"245",8
"246",7
"247",9
"248",8
"249",3
"250",7
"251",9
"252",9
"253",8
"254",8
"255",8
"256",9
"257",3
"258",5
"259",9
"260",7
"261",8
"262",9
"263",8
"264",9
"265",9
"266",9
"267",9
"268",9
"269",9
"270",8
"271",8
"272",8
"273",8
"274",8
"275",9
"276",9
"277",9
"278",9
"279",9
"280",8
"281",3
"282",3
"283",9
"284",9
"285",8
"286",8
"287",8
"288",8
"289",8
"290",3
"291",3
"292",8
"293",3
"294",7
"295",7
"296",9
"297",8
"298",7
"299",9
"300",8
"301",8
"302",9
"303",9
"304",9
"305",8
"306",4
"307",3
"308",7
"309",9
"310",8
"311",8
"312",8
"313",9
"314",8
"315",8
"316",9
"317",9
"318",8
"319",9
"320",9
"321",9
"322",9
"323",9
"324",9
"325",8
"326",8
"327",8
"328",9
"329",9
"330",9
"331",8
"332",8
"333",8
"334",9
"335",9
"336",9
"337",8
"338",8
"339",8
"340",8
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",1
"357",3
"358",3
"359",3
"360",3
"361",3
"362",5
"363",3
"364",7
"365",3
"366",3
"367",3
"368",3
"369",3
"370",3
"371",5
"372",7
"373",9
"374",8
"375",8
"376",7
"377",3
"378",8
"379",9
"380",8
"381",7
"382",7
"383",9
"384",8
"385",9
"386",8
"387",9
"388",9
"389",9
"390",3
"391",3
"392",9
"393",3
"394",7
"395",9
"396",9
"397",7
"398",9
"399",8
"400",3
"401",7
"402",9
"403",8
"404",9
"405",9
"406",9
"407",7
"408",9
"409",9
"410",8
"411",8
"412",8
"413",9
"414",8
"415",9
"416",8
"417",8
"418",9
"419",8
"420",8
"421",9
"422",8
"423",8
"424",8
"425",9
"426",8
"427",8
"428",8
"429",8
"430",7
"431",3
"432",9
"433",9
"434",8
"435",9
"436",9
"437",9
"438",8
"439",8
"440",8
"441",8
"442",9
"443",9
"444",9
"445",8
"446",8
"447",9
"448",9
"449",8
"450",9
"451",9
"452",8
"453",8
"454",9
"455",9
"456",8
"457",9
"458",9
"459",9
"460",8
"461",3
"462",3
"463",9
"464",9
"465",9
"466",8
"467",8
"468",8
"469",8
"470",9
"471",9
"472",8
"473",8
"474",9
"475",9
"476",9
"477",9
"478",8
"479",8
"480",8
"481",8
