"","x"
"1",2
"2",1
"3",2
"4",2
"5",5
"6",2
"7",2
"8",3
"9",5
"10",2
"11",1
"12",3
"13",5
"14",4
"15",3
"16",4
"17",4
"18",4
"19",2
"20",2
"21",4
"22",2
"23",6
"24",4
"25",7
"26",4
"27",6
"28",7
"29",4
"30",2
"31",4
"32",3
"33",5
"34",7
"35",2
"36",2
"37",5
"38",6
"39",2
"40",5
"41",3
"42",2
"43",2
"44",4
"45",6
"46",4
"47",2
"48",7
"49",6
"50",5
"51",8
"52",5
"53",4
"54",5
"55",7
"56",5
"57",5
"58",4
"59",6
"60",5
"61",5
"62",5
"63",6
"64",4
"65",6
"66",5
"67",5
"68",6
"69",6
"70",7
"71",4
"72",2
"73",6
"74",6
"75",6
"76",7
"77",4
"78",5
"79",6
"80",5
"81",5
"82",5
"83",3
"84",3
"85",6
"86",7
"87",4
"88",4
"89",5
"90",7
"91",6
"92",4
"93",2
"94",5
"95",6
"96",5
"97",7
"98",6
"99",6
"100",5
"101",3
"102",7
"103",7
"104",4
"105",7
"106",7
"107",6
"108",5
"109",4
"110",4
"111",5
"112",6
"113",5
"114",4
"115",4
"116",7
"117",4
"118",6
"119",5
"120",5
"121",7
"122",6
"123",7
"124",4
"125",4
"126",7
"127",5
"128",5
"129",5
"130",7
"131",5
"132",4
"133",6
"134",7
"135",4
"136",5
"137",7
"138",7
"139",4
"140",4
"141",6
"142",7
"143",5
"144",4
"145",4
"146",7
"147",2
"148",2
"149",2
"150",2
"151",2
"152",3
"153",3
"154",3
"155",6
"156",3
"157",3
"158",2
"159",2
"160",8
"161",7
"162",5
"163",3
"164",5
"165",5
"166",7
"167",8
"168",7
"169",6
"170",3
"171",2
"172",6
"173",5
"174",7
"175",6
"176",7
"177",6
"178",4
"179",6
"180",4
"181",5
"182",2
"183",4
"184",5
"185",7
"186",6
"187",6
"188",5
"189",6
"190",7
"191",4
"192",6
"193",6
"194",5
"195",7
"196",6
"197",4
"198",6
"199",7
"200",6
"201",6
"202",7
"203",7
"204",5
"205",7
"206",6
"207",7
"208",5
"209",2
"210",2
"211",7
"212",4
"213",9
"214",7
"215",7
"216",7
"217",5
"218",6
"219",8
"220",5
"221",4
"222",4
"223",7
"224",6
"225",8
"226",7
"227",5
"228",7
"229",7
"230",7
"231",5
"232",6
"233",7
"234",5
"235",7
"236",7
"237",5
"238",2
"239",2
"240",7
"241",7
"242",8
"243",5
"244",6
"245",5
"246",4
"247",9
"248",8
"249",5
"250",5
"251",5
"252",6
"253",7
"254",4
"255",6
"256",7
"257",2
"258",2
"259",4
"260",6
"261",6
"262",6
"263",5
"264",7
"265",7
"266",7
"267",9
"268",4
"269",5
"270",5
"271",8
"272",8
"273",7
"274",6
"275",2
"276",7
"277",8
"278",6
"279",6
"280",5
"281",6
"282",5
"283",7
"284",6
"285",4
"286",6
"287",6
"288",8
"289",6
"290",6
"291",7
"292",4
"293",6
"294",7
"295",6
"296",7
"297",5
"298",5
"299",7
"300",7
"301",6
"302",7
"303",7
"304",7
"305",6
"306",2
"307",4
"308",5
"309",6
"310",4
"311",6
"312",6
"313",6
"314",5
"315",7
"316",7
"317",6
"318",5
"319",5
"320",7
"321",7
"322",6
"323",7
"324",6
"325",6
"326",4
"327",7
"328",6
"329",7
"330",7
"331",7
"332",4
"333",4
"334",2
"335",7
"336",7
"337",6
"338",8
"339",8
"340",6
"341",2
"342",2
"343",1
"344",2
"345",2
"346",2
"347",2
"348",4
"349",2
"350",1
"351",5
"352",2
"353",2
"354",6
"355",6
"356",2
"357",3
"358",3
"359",3
"360",2
"361",6
"362",7
"363",6
"364",5
"365",5
"366",5
"367",5
"368",7
"369",5
"370",4
"371",4
"372",4
"373",2
"374",5
"375",6
"376",6
"377",5
"378",7
"379",7
"380",7
"381",7
"382",7
"383",6
"384",6
"385",7
"386",7
"387",7
"388",9
"389",8
"390",2
"391",2
"392",7
"393",5
"394",7
"395",6
"396",7
"397",6
"398",6
"399",7
"400",6
"401",7
"402",8
"403",4
"404",6
"405",7
"406",6
"407",5
"408",6
"409",6
"410",6
"411",6
"412",7
"413",7
"414",4
"415",9
"416",5
"417",4
"418",7
"419",8
"420",5
"421",7
"422",4
"423",7
"424",7
"425",9
"426",6
"427",4
"428",4
"429",6
"430",7
"431",6
"432",9
"433",7
"434",6
"435",7
"436",7
"437",6
"438",5
"439",7
"440",8
"441",7
"442",7
"443",6
"444",6
"445",7
"446",4
"447",2
"448",5
"449",5
"450",7
"451",9
"452",5
"453",4
"454",7
"455",6
"456",7
"457",8
"458",9
"459",8
"460",6
"461",2
"462",5
"463",5
"464",9
"465",5
"466",6
"467",7
"468",5
"469",5
"470",8
"471",7
"472",7
"473",4
"474",5
"475",7
"476",4
"477",7
"478",6
"479",8
"480",5
"481",6
"482",4
"483",7
"484",6
"485",6
"486",4
"487",7
"488",6
"489",7
"490",7
"491",6
"492",7
"493",8
"494",5
"495",5
"496",5
"497",4
"498",9
"499",6
"500",7
"501",6
"502",6
"503",5
"504",8
"505",9
"506",6
"507",7
"508",2
"509",7
"510",7
"511",7
"512",7
"513",7
"514",7
"515",6
"516",7
"517",9
"518",6
"519",6
"520",7
"521",7
"522",7
"523",5
"524",6
"525",6
"526",7
"527",7
"528",6
"529",7
"530",8
"531",4
"532",7
"533",6
"534",7
"535",7
"536",6
"537",6
"538",7
"539",6
"540",7
"541",7
"542",7
"543",7
"544",6
"545",4
"546",7
"547",7
"548",6
"549",9
"550",6
"551",4
"552",3
"553",4
"554",7
"555",5
"556",6
"557",6
"558",7
"559",7
"560",5
"561",6
"562",7
"563",9
"564",7
"565",4
"566",7
"567",6
"568",6
"569",7
"570",7
"571",7
"572",7
"573",7
"574",7
"575",7
"576",7
"577",9
"578",8
"579",7
"580",6
"581",8
"582",6
"583",7
"584",8
"585",8
"586",8
"587",7
"588",8
"589",7
"590",7
"591",8
"592",8
"593",7
"594",9
"595",8
"596",9
"597",8
"598",8
"599",9
"600",8
"601",9
"602",8
"603",7
"604",8
"605",9
"606",8
"607",7
"608",8
"609",8
"610",7
"611",8
"612",8
"613",9
"614",8
"615",7
"616",8
"617",8
"618",9
"619",7
"620",8
"621",9
"622",8
"623",8
"624",8
"625",8
"626",9
"627",7
"628",7
"629",9
"630",9
"631",8
"632",7
"633",8
"634",9
"635",7
"636",8
"637",9
"638",9
"639",9
"640",8
"641",7
"642",8
"643",9
"644",9
"645",8
"646",7
"647",9
"648",9
"649",8
"650",9
"651",8
"652",8
"653",9
"654",7
"655",9
"656",9
"657",9
"658",8
"659",8
"660",7
"661",7
"662",9
"663",9
"664",8
"665",8
"666",8
"667",8
"668",9
"669",8
"670",9
"671",9
"672",1
"673",1
"674",1
"675",1
"676",1
"677",1
"678",1
"679",1
"680",1
"681",1
"682",1
"683",1
"684",1
"685",1
"686",1
"687",1
"688",1
"689",1
"690",2
"691",2
"692",1
"693",1
"694",1
"695",1
"696",1
"697",1
"698",1
"699",1
"700",1
"701",1
"702",2
"703",2
"704",2
"705",1
"706",1
"707",1
"708",1
"709",2
"710",1
"711",2
"712",1
"713",1
"714",1
"715",1
"716",2
"717",2
"718",2
"719",2
"720",2
"721",1
"722",1
"723",1
"724",1
"725",2
"726",2
"727",2
"728",2
"729",2
"730",2
"731",2
"732",2
"733",1
"734",2
"735",2
"736",2
"737",2
"738",2
"739",1
"740",1
"741",2
"742",3
"743",2
"744",2
"745",1
"746",2
"747",1
"748",2
"749",2
"750",4
"751",2
"752",2
"753",2
"754",2
"755",2
"756",1
"757",2
"758",3
"759",5
"760",3
"761",1
"762",2
"763",2
"764",2
"765",2
"766",2
"767",2
"768",2
"769",4
"770",7
"771",2
"772",2
"773",2
"774",5
"775",6
"776",4
"777",2
"778",1
"779",5
"780",2
"781",4
"782",2
"783",5
"784",3
"785",2
"786",5
"787",6
"788",7
"789",9
"790",2
"791",2
"792",2
"793",2
"794",2
"795",2
"796",5
"797",7
"798",2
"799",1
"800",2
"801",2
"802",3
"803",3
"804",5
"805",4
"806",2
"807",6
"808",7
"809",3
"810",2
"811",2
"812",2
"813",2
"814",6
"815",6
"816",2
"817",2
"818",2
"819",5
"820",4
"821",2
"822",5
"823",5
"824",2
"825",3
"826",2
"827",2
"828",4
"829",3
"830",6
"831",5
"832",5
"833",2
"834",2
"835",2
"836",2
"837",2
"838",8
"839",9
"840",2
"841",2
"842",2
"843",1
"844",2
"845",2
"846",5
"847",5
"848",5
"849",4
"850",5
"851",5
"852",5
"853",5
"854",2
"855",2
"856",6
"857",2
"858",7
"859",6
"860",7
"861",3
"862",2
"863",2
"864",5
"865",6
"866",9
"867",5
"868",2
"869",2
"870",5
"871",5
"872",2
"873",5
"874",2
"875",5
"876",2
"877",2
"878",5
"879",2
"880",2
"881",2
"882",3
