"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1
"2",1,2,2,3,2,2,2,2,2,1,2,2,1,2,2,2,2,3,2
"3",1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2
"4",2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1
"5",1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2
"6",2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2
"7",2,2,1,2,2,2,3,2,2,2,1,1,2,2,2,1,2,2,2
"8",1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1
"9",1,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2
"10",1,1,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2
"11",1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2
"12",2,1,2,2,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2
"13",2,2,2,3,2,3,2,2,3,2,3,3,2,2,3,3,3,3,3
"14",1,3,2,2,5,2,2,2,2,2,2,3,3,3,2,2,3,3,3
"15",3,3,3,3,3,4,4,2,3,3,4,4,3,3,2,4,2,3,3
"16",2,2,2,2,2,2,2,3,1,2,2,1,2,2,2,1,2,2,2
"17",2,2,2,2,2,1,2,2,3,2,2,1,2,1,2,2,2,1,2
"18",2,2,2,2,2,2,2,2,2,1,2,2,3,1,2,2,2,2,2
"19",2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,1
"20",2,2,3,3,4,3,2,2,2,2,2,2,2,1,3,5,2,3,2
"21",2,3,1,2,3,3,2,3,3,3,2,3,3,2,3,3,3,2,3
"22",2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,2,2,3,2
"23",2,3,2,2,5,3,3,1,3,2,3,2,3,4,3,2,2,2,2
"24",2,3,4,4,3,3,3,8,4,3,3,2,3,3,3,4,4,3,3
"25",4,4,3,4,2,3,3,4,3,4,3,3,2,3,3,2,3,3,3
"26",2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2
"27",2,2,1,2,1,2,2,2,2,2,2,2,3,1,1,1,2,2,2
"28",2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
"29",2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"30",2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,1,2,1,2
"31",1,1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2
"32",2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,1,1
"33",2,2,2,2,2,2,3,2,1,1,2,2,1,2,2,2,1,2,2
"34",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2
"35",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2
"36",1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2
"37",2,2,2,2,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2
"38",3,2,2,3,3,2,2,2,3,2,2,2,2,3,3,2,2,3,3
"39",3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"40",2,2,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2
"41",2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,3
"42",2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3
"43",3,3,1,2,3,2,2,2,3,2,3,2,5,3,3,2,3,3,3
"44",2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,3,2
"45",3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2
"46",2,3,3,2,2,2,3,2,2,2,2,2,3,2,4,2,3,2,2
"47",2,2,2,2,2,1,2,2,3,2,2,2,2,1,1,2,2,2,1
"48",3,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2
"49",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"50",2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1
"51",2,3,2,3,3,4,2,3,2,2,3,1,2,2,5,3,2,2,3
"52",3,3,3,3,3,2,4,4,3,3,3,3,3,4,3,3,3,3,4
"53",2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2
"54",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"55",2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,3,2,2,2
"56",3,3,3,3,3,3,4,4,4,4,4,2,2,2,3,3,3,3,3
"57",3,4,3,2,4,3,3,4,4,4,4,2,3,4,4,2,3,3,3
"58",3,2,2,2,2,3,2,3,3,3,3,2,5,2,3,3,2,3,2
"59",3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,3,5,3
"60",2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2
"61",2,2,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,3,1
"62",2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
"63",2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,3
"64",2,2,3,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,1
"65",4,3,4,2,3,4,3,3,4,3,3,2,3,3,3,4,3,3,2
"66",3,3,4,3,3,3,4,6,3,2,4,3,3,5,4,3,3,3,3
"67",2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1
"68",2,2,3,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2
"69",2,2,1,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2
"70",2,2,2,2,1,2,2,1,1,1,2,2,2,2,3,2,2,2,2
"71",3,2,2,4,2,3,2,3,2,2,3,2,3,2,2,2,3,3,2
"72",2,3,3,2,3,3,5,3,3,3,2,3,2,3,3,2,3,3,2
"73",3,3,2,3,3,3,4,4,4,3,2,4,3,3,4,3,3,6,3
"74",3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
"75",2,2,2,2,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2
"76",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"77",3,2,2,2,3,2,4,2,3,3,2,3,2,2,2,2,2,3,2
"78",3,2,3,2,3,2,3,2,3,3,2,3,3,3,3,4,3,2,2
"79",2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
"80",2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,4,3
"81",3,2,3,4,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2
"82",2,3,3,3,2,3,5,2,3,3,2,2,2,1,2,3,2,4,3
"83",2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2
"84",2,3,2,2,2,3,2,2,1,2,2,2,2,2,1,2,2,2,2
"85",2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
"86",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3
"87",2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,2,2
"88",3,2,2,2,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2
"89",4,4,4,4,2,3,4,3,3,4,2,2,2,3,5,3,3,3,3
"90",3,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2
"91",2,2,2,2,2,2,2,2,3,3,2,2,2,2,4,2,2,2,3
"92",3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,3,3,4,3
"93",3,3,3,3,3,4,4,2,3,3,4,3,3,4,2,2,2,4,3
"94",2,3,3,3,2,3,3,3,2,3,4,4,4,3,3,3,3,4,2
"95",3,4,4,5,5,4,4,3,5,4,5,5,4,6,4,6,6,4,6
"96",4,5,5,6,4,6,5,7,5,4,5,7,3,6,4,4,4,5,5
"97",2,4,3,3,2,3,3,4,4,3,3,3,3,4,4,4,4,4,3
"98",3,3,3,2,3,4,3,3,4,4,3,3,3,3,3,4,3,2,3
"99",2,3,3,3,4,4,3,4,3,4,3,3,4,4,3,4,2,6,4
"100",3,3,3,3,3,4,3,5,5,4,5,4,4,7,4,3,4,3,4
"101",2,3,3,3,4,4,4,3,3,3,4,3,2,3,4,4,4,3,4
"102",2,3,3,4,4,3,3,3,3,4,3,4,3,4,8,6,3,2,3
"103",4,4,4,7,5,4,8,4,5,4,4,6,5,4,4,7,3,4,4
"104",2,2,3,3,2,3,2,3,2,3,3,3,2,3,3,2,3,2,2
"105",6,5,5,4,3,10,3,4,4,4,5,5,5,8,4,7,7,6,4
"106",4,5,3,4,8,5,4,5,7,5,4,3,4,3,4,3,3,4,3
"107",3,4,3,4,4,2,4,3,3,3,3,3,4,3,3,4,3,3,2
"108",3,3,3,5,3,4,3,3,3,4,4,8,4,3,4,3,8,5,4
"109",4,3,3,3,4,3,3,3,3,3,3,4,5,3,4,4,3,3,3
"110",3,4,4,6,3,5,3,4,3,4,4,5,5,4,3,3,5,4,5
"111",6,5,4,5,5,5,7,7,5,5,4,6,5,7,7,6,5,4,5
"112",5,5,6,5,6,4,8,5,7,10,6,9,8,6,6,6,7,6,10
"113",5,5,7,5,4,7,6,6,7,5,7,5,5,4,8,5,4,3,4
"114",6,5,6,4,5,4,4,5,7,7,6,5,7,5,4,6,4,4,4
"115",4,5,4,4,4,5,4,3,5,3,4,7,5,4,4,8,5,4,4
"116",6,4,4,4,5,4,4,3,3,5,5,3,4,5,4,4,5,7,5
"117",4,3,4,4,3,4,3,4,3,2,3,6,3,3,3,3,5,8,5
"118",3,4,3,4,5,4,3,3,3,7,4,3,5,5,4,3,4,5,4
"119",3,3,2,3,3,3,3,3,2,3,3,2,3,3,2,2,3,4,4
"120",3,4,2,4,3,3,3,3,3,4,3,3,6,4,4,6,3,2,4
"121",4,3,4,2,3,3,3,3,3,4,4,3,3,2,4,3,3,3,3
"122",2,2,2,3,2,3,4,2,2,3,3,3,2,3,2,2,2,3,3
"123",2,2,2,3,3,2,3,3,3,3,3,2,3,3,5,2,3,2,3
"124",3,4,3,4,3,2,3,3,2,3,3,3,4,4,6,4,3,4,3
"125",3,3,4,3,4,5,3,3,5,7,3,3,5,4,5,3,4,3,4
"126",3,5,3,5,5,4,4,3,4,4,3,5,4,5,3,7,3,4,3
"127",4,3,3,4,3,2,3,2,3,3,3,3,3,3,2,2,6,4,3
"128",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
"129",3,3,3,3,3,2,3,3,3,2,2,3,3,3,5,3,3,5,4
"130",3,2,3,3,3,3,5,3,3,2,3,4,3,4,2,2,4,4,2
"131",2,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,5,3,1
"132",3,2,3,4,2,4,3,3,3,3,2,3,3,3,3,2,4,3,3
"133",6,3,4,5,6,3,3,2,4,3,3,3,4,5,4,4,3,4,4
"134",6,5,3,6,3,2,3,4,3,3,3,4,3,2,3,3,3,4,3
"135",5,3,5,5,5,7,4,3,4,4,4,3,3,3,8,5,3,4,5
"136",2,3,3,2,4,2,3,2,2,2,3,2,2,3,3,2,2,2,3
"137",2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2
