"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1
"2",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"4",2,2,2,2,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2
"5",1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2
"6",2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2
"7",2,2,2,1,2,2,2,2,1,2,1,2,3,2,2,2,2,1,2
"8",1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2
"9",1,1,1,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2
"10",1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2
"11",1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2
"12",2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
"13",2,2,2,3,3,5,3,2,2,3,3,2,3,2,3,3,3,3,3
"14",1,3,3,2,3,5,2,2,3,2,3,2,3,3,3,3,3,3,2
"15",3,3,2,3,3,4,3,3,4,4,4,3,2,3,4,4,4,3,2
"16",2,2,2,2,2,2,3,2,2,2,1,1,2,2,1,2,2,2,3
"17",2,2,2,2,2,2,2,2,2,3,1,2,2,2,1,2,2,1,1
"18",2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,3,2
"19",2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,1,2,2,2
"20",2,4,2,3,3,2,2,2,2,2,3,3,5,2,2,2,2,2,3
"21",3,3,1,3,2,3,3,3,3,3,3,3,4,3,3,2,3,3,4
"22",2,1,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,3
"23",5,2,2,2,2,3,3,2,3,2,3,2,4,2,2,3,2,2,2
"24",8,3,3,2,2,3,3,3,3,4,3,3,3,3,4,4,3,4,3
"25",4,4,4,2,4,3,2,3,3,2,4,3,3,3,3,5,3,3,3
"26",2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"27",2,2,2,2,1,2,2,1,2,2,2,2,3,2,2,1,2,1,2
"28",2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2
"29",3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2
"30",2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,2,2,1
"31",1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1
"32",2,2,2,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,2
"33",2,2,3,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2
"34",2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2
"35",2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2
"36",1,2,2,1,2,2,2,1,2,1,2,1,2,2,3,2,2,2,2
"37",2,2,2,2,1,2,2,3,2,1,2,2,1,2,2,2,1,2,2
"38",3,2,4,2,3,2,3,3,2,2,3,2,2,2,2,2,2,3,2
"39",3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2
"40",2,2,2,2,3,2,2,3,1,2,2,1,2,2,2,2,2,2,2
"41",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3
"42",2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
"43",3,1,2,2,3,3,2,3,3,3,3,3,2,2,3,2,2,2,3
"44",2,2,3,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,2
"45",2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2
"46",3,2,3,5,3,2,3,2,2,2,2,3,3,2,1,2,4,3,3
"47",2,2,2,1,1,2,2,1,2,2,2,1,2,3,2,2,2,2,2
"48",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
"49",2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1
"50",2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2
"51",2,3,2,2,2,2,2,3,3,5,3,2,2,3,2,3,2,3,2
"52",3,3,3,3,4,3,3,3,3,3,4,3,3,6,2,5,6,6,2
"53",2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2
"54",2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"55",2,2,2,2,2,2,2,2,2,3,2,2,3,2,1,2,2,2,1
"56",3,2,3,3,4,3,2,3,4,4,4,4,3,3,3,3,3,3,3
"57",3,4,3,3,3,3,3,4,4,2,3,4,4,4,2,2,6,3,6
"58",3,3,3,2,2,3,2,2,2,5,3,2,2,1,4,3,3,3,2
"59",3,3,3,3,3,3,3,2,3,3,2,1,3,5,3,2,5,3,3
"60",2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2
"61",2,2,1,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,1
"62",2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
"63",2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1
"64",2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2
"65",4,4,3,3,2,4,4,3,3,4,3,3,4,3,3,2,4,2,3
"66",3,3,4,3,3,3,2,3,3,4,4,3,3,6,6,3,3,5,6
"67",1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2
"68",1,2,2,2,2,2,2,1,2,1,1,2,3,2,2,2,2,2,2
"69",2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2
"70",2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2
"71",3,2,2,2,3,2,2,2,4,2,3,3,2,2,2,2,2,2,3
"72",3,3,3,2,2,2,3,3,3,2,1,2,5,2,3,3,2,3,2
"73",3,3,2,3,4,4,3,4,3,4,3,2,3,3,3,4,3,3,8
"74",2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2
"75",2,2,2,3,4,2,3,2,3,2,2,2,3,2,2,2,3,3,2
"76",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"77",2,2,4,3,2,2,3,2,3,2,3,2,3,2,2,3,2,3,3
"78",3,2,2,3,2,2,3,3,2,3,2,3,2,2,1,2,5,2,4
"79",2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"80",2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2
"81",3,2,3,3,4,2,2,3,3,2,3,2,2,2,2,2,2,2,2
"82",3,3,5,2,2,2,3,2,3,2,3,1,2,3,3,2,3,3,3
"83",2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2
"84",2,2,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2
"85",2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
"86",2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2
"87",2,2,2,2,3,2,2,2,2,1,2,1,2,2,2,2,2,3,2
"88",3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3
"89",3,2,3,4,4,4,3,4,3,2,4,3,2,3,3,3,3,3,3
"90",2,2,2,4,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2
"91",2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,4
"92",3,3,3,3,3,2,2,3,2,3,3,4,3,2,4,4,3,2,3
"93",3,2,3,4,3,3,2,3,3,4,4,3,4,4,3,3,2,3,3
"94",3,2,3,3,2,3,3,2,4,3,4,3,3,3,2,3,4,3,3
"95",3,6,3,4,4,4,4,5,4,4,4,5,4,4,3,5,6,5,5
"96",4,4,6,5,5,7,6,5,7,4,4,5,5,5,5,6,4,5,5
"97",2,4,3,4,3,3,3,2,4,3,3,3,2,3,4,2,4,4,4
"98",3,2,3,2,3,3,4,4,4,3,4,4,3,3,3,2,3,6,3
"99",2,3,3,3,3,4,2,4,4,4,3,3,3,3,6,4,3,3,2
"100",3,3,8,3,3,4,3,4,3,5,3,5,7,3,4,5,5,4,5
"101",2,3,3,3,3,4,3,4,2,3,4,3,3,4,3,4,3,5,6
"102",2,3,4,3,2,3,3,4,3,3,3,4,4,6,4,5,6,3,3
