"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,2,2
"2",1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,1
"3",1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2
"4",2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
"5",2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,1,2,2
"6",1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1
"7",2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
"8",1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2
"9",2,1,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2
"10",2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2
"11",2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
"12",2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,1,2,2,2
"13",2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2
"14",3,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"15",3,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"16",1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2
"17",2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2
"18",2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2
"19",2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1
"20",2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
"21",2,2,2,3,2,3,2,3,1,2,2,2,2,2,2,2,2,2,2
"22",2,2,2,2,1,3,2,1,2,2,3,2,2,2,2,3,2,2,2
"23",2,2,2,3,2,2,2,3,2,2,2,2,2,3,3,2,2,1,2
"24",2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1
"25",3,3,3,3,3,3,3,4,4,3,3,3,3,3,2,2,2,2,3
"26",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,3
"27",2,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2
"28",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"29",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2
"30",1,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,2,2
"31",2,1,2,1,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2
"32",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"33",2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2
"34",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2
"35",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"36",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"37",2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,1
"38",2,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2
"39",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1
"40",2,2,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,2,2
"41",2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2
"42",2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
"43",3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,3
"44",2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
"45",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"46",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
"47",2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2
"48",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"49",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"50",1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1
"51",1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
"52",2,2,3,3,3,3,3,3,3,4,3,3,2,2,4,4,3,3,3
"53",1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
"54",2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"55",2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2
"56",2,3,2,2,2,2,1,2,2,3,2,2,3,2,2,2,2,2,2
"57",3,3,3,3,3,2,3,3,3,3,4,3,2,4,4,3,3,3,2
"58",3,3,2,3,3,2,3,3,2,3,3,3,3,4,3,3,3,2,3
"59",2,2,2,3,2,3,3,3,3,3,4,3,3,3,4,3,4,3,3
"60",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"61",2,2,2,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,1
"62",2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2
"63",2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,3
"64",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
"65",3,2,3,3,3,2,2,3,4,3,3,2,3,3,4,3,4,3,4
"66",3,2,3,3,4,4,3,2,3,3,4,3,2,2,3,4,2,3,3
"67",2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,3,2
"68",2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1
"69",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2
"70",2,2,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2
"71",3,3,2,3,3,2,4,2,2,3,3,3,4,3,3,3,2,4,3
"72",2,3,3,3,2,3,3,2,3,2,3,4,4,3,4,4,3,3,4
"73",3,2,2,2,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2
"74",2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2
"75",2,2,3,2,3,3,3,2,2,3,2,2,2,2,2,3,3,3,2
"76",2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,3,2
"77",3,2,2,2,2,3,2,2,3,3,3,2,3,2,2,2,2,2,2
"78",2,3,4,3,5,3,3,3,4,4,3,3,3,2,3,3,4,3,3
"79",2,2,2,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2
"80",2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,3,2
"81",2,2,2,2,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3
"82",2,2,2,2,2,3,3,2,3,3,2,2,2,2,2,2,3,3,3
"83",2,3,2,3,2,3,2,3,2,3,3,3,3,2,3,2,2,2,2
"84",2,3,2,2,3,2,2,3,3,2,3,3,2,3,2,2,2,2,2
"85",2,2,2,2,3,3,3,3,2,2,1,1,1,2,1,2,2,2,2
"86",2,2,2,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,3
"87",2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
"88",3,2,2,2,3,3,2,3,2,2,3,3,3,2,2,2,2,2,2
"89",4,6,3,2,3,4,3,3,5,3,7,5,3,3,5,3,3,2,3
"90",3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,3
"91",3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,3,2
"92",3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"93",3,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"94",3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"95",4,4,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,3,2
"96",3,3,4,4,3,3,4,3,3,3,2,3,3,3,3,4,4,3,3
"97",3,3,2,3,3,3,3,3,3,4,3,2,2,3,2,4,3,4,3
"98",3,3,3,3,2,3,4,3,3,4,3,3,3,4,3,3,3,2,4
"99",3,2,3,3,4,4,3,3,3,3,3,4,3,3,2,2,4,3,2
"100",3,3,4,3,3,4,3,3,2,3,4,4,3,3,4,3,3,3,3
"101",3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,2,4,4
"102",3,3,4,3,4,3,3,4,3,4,3,3,3,2,3,3,3,4,3
"103",3,4,5,4,5,4,5,6,5,4,5,3,4,3,4,2,3,3,3
"104",2,2,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2
"105",4,5,6,5,4,6,5,3,5,4,4,6,6,6,3,4,5,6,4
"106",4,3,3,4,5,4,5,4,5,6,5,4,6,6,5,3,6,5,5
"107",3,4,3,2,3,3,3,3,3,2,3,3,2,4,3,3,2,3,2
"108",3,3,3,2,3,3,4,3,3,3,2,2,4,4,4,3,3,4,4
"109",3,3,2,3,3,4,3,3,3,3,3,2,3,3,3,3,2,3,3
"110",3,4,3,3,3,3,3,3,3,3,3,3,2,4,2,3,4,4,4
"111",6,6,7,7,7,7,5,7,6,7,6,3,3,5,4,6,4,5,5
"112",4,5,6,4,5,6,7,5,3,5,4,4,6,6,6,3,4,6,5
"113",4,5,4,5,5,5,5,5,5,5,6,3,3,4,3,3,4,3,3
"114",5,5,6,4,5,4,3,3,5,5,6,3,5,4,6,5,6,6,5
"115",3,4,4,3,5,5,6,3,4,6,5,5,4,6,5,4,6,4,5
"116",3,4,5,5,5,5,6,5,3,5,4,4,6,6,3,4,5,6,4
"117",4,3,3,3,3,3,3,2,4,4,3,2,4,3,3,3,3,3,4
"118",3,3,3,4,3,3,2,4,4,4,3,2,4,3,3,4,3,2,3
"119",2,3,3,3,3,3,2,3,3,4,4,3,4,3,3,4,3,3,2
"120",3,3,2,4,3,3,3,3,4,3,3,3,3,4,3,4,2,3,3
"121",3,3,4,2,2,3,4,3,4,3,3,3,4,4,3,3,4,3,2
