"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",3
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",3
"53",1
"54",1
"55",1
"56",1
"57",3
"58",3
"59",3
"60",1
"61",1
"62",1
"63",1
"64",1
"65",3
"66",3
"67",1
"68",1
"69",1
"70",1
"71",3
"72",3
"73",2
"74",1
"75",2
"76",1
"77",1
"78",3
"79",1
"80",1
"81",2
"82",2
"83",1
"84",2
"85",1
"86",1
"87",1
"88",1
"89",3
"90",2
"91",2
"92",1
"93",2
"94",2
"95",4
"96",3
"97",3
"98",3
"99",3
"100",3
"101",3
"102",3
"103",5
"104",1
"105",4
"106",5
"107",3
"108",3
"109",3
"110",3
"111",6
"112",5
"113",6
"114",5
"115",4
"116",4
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",4
"127",3
"128",1
"129",3
"130",3
"131",3
"132",3
"133",4
"134",5
"135",4
"136",2
"137",3
"138",3
"139",3
"140",3
"141",3
"142",2
"143",2
"144",3
"145",4
"146",3
"147",3
"148",3
"149",2
"150",3
"151",2
"152",2
"153",3
"154",4
"155",3
"156",2
"157",2
"158",2
"159",1
"160",3
"161",2
"162",3
"163",4
"164",3
"165",6
"166",3
"167",4
"168",6
"169",4
"170",6
"171",6
"172",7
"173",6
"174",6
"175",6
"176",5
"177",6
"178",6
"179",4
"180",7
"181",6
"182",4
"183",6
"184",5
"185",6
"186",5
"187",3
"188",5
"189",7
"190",4
"191",6
"192",7
"193",5
"194",4
"195",3
"196",3
"197",3
"198",3
"199",3
"200",4
"201",5
"202",4
"203",3
"204",3
"205",3
"206",4
"207",7
"208",5
"209",5
"210",7
"211",4
"212",5
"213",3
"214",5
"215",3
"216",2
"217",3
"218",5
"219",3
"220",3
"221",5
"222",3
"223",7
"224",6
"225",6
"226",6
"227",5
"228",7
"229",6
"230",6
"231",6
"232",6
"233",6
"234",6
"235",7
"236",6
"237",6
"238",6
"239",6
"240",6
"241",6
"242",6
"243",6
"244",4
"245",7
"246",7
"247",6
"248",7
"249",6
"250",6
"251",5
"252",5
"253",7
"254",4
"255",4
"256",5
"257",7
"258",6
"259",3
"260",6
"261",3
"262",7
"263",5
"264",6
"265",5
"266",5
"267",4
"268",4
"269",3
"270",7
"271",5
"272",3
"273",5
"274",5
"275",6
"276",5
"277",6
"278",6
"279",7
"280",6
"281",6
"282",6
"283",7
"284",9
"285",6
"286",7
"287",6
"288",6
"289",7
"290",6
"291",7
"292",7
"293",9
"294",9
"295",9
"296",9
"297",6
"298",7
"299",9
"300",9
"301",6
"302",10
"303",6
"304",9
"305",9
"306",5
"307",3
"308",5
"309",7
"310",6
"311",5
"312",5
"313",9
"314",6
"315",6
"316",5
"317",5
"318",7
"319",6
"320",7
"321",9
"322",6
"323",7
"324",6
"325",6
"326",9
"327",9
"328",9
"329",9
"330",7
"331",6
"332",9
"333",9
"334",9
"335",6
"336",8
"337",9
"338",5
"339",9
"340",9
"341",9
"342",9
"343",3
"344",7
"345",7
"346",9
"347",9
"348",9
"349",8
"350",9
"351",7
"352",9
"353",7
"354",7
"355",7
"356",6
"357",9
"358",8
"359",5
"360",7
"361",9
"362",7
"363",9
"364",7
"365",7
"366",9
"367",9
"368",7
"369",5
"370",7
"371",9
"372",9
"373",9
"374",10
"375",7
"376",10
"377",7
"378",9
"379",9
"380",9
"381",3
"382",6
"383",10
"384",7
"385",9
"386",8
"387",10
"388",9
"389",10
"390",10
"391",7
"392",10
