"","x"
"1",1
"2",2
"3",2
"4",1
"5",1
"6",2
"7",2
"8",1
"9",1
"10",2
"11",2
"12",2
"13",2
"14",2
"15",2
"16",2
"17",1
"18",2
"19",1
"20",2
"21",2
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",1
"31",1
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",1
"51",2
"52",3
"53",2
"54",2
"55",2
"56",2
"57",3
"58",2
"59",3
"60",2
"61",2
"62",2
"63",2
"64",2
"65",3
"66",4
"67",2
"68",2
"69",2
"70",2
"71",3
"72",3
"73",3
"74",2
"75",2
"76",2
"77",2
"78",3
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",3
"90",3
"91",3
"92",2
"93",2
"94",2
"95",3
"96",3
"97",3
"98",3
"99",3
"100",3
"101",3
"102",3
"103",4
"104",2
"105",4
"106",3
"107",3
"108",3
"109",3
"110",3
"111",5
"112",5
"113",4
"114",4
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",2
"123",3
"124",3
"125",4
"126",3
"127",3
"128",2
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",4
"136",2
"137",3
"138",3
"139",3
"140",3
"141",3
"142",3
"143",3
"144",3
"145",4
"146",4
"147",3
"148",3
"149",3
"150",3
"151",3
"152",2
"153",3
"154",5
"155",4
"156",3
"157",3
"158",3
"159",2
"160",3
"161",3
"162",4
"163",5
"164",4
"165",4
"166",3
"167",3
"168",4
"169",3
"170",4
"171",4
"172",4
"173",5
"174",5
"175",4
"176",3
"177",4
"178",4
"179",3
"180",4
"181",4
"182",4
"183",5
"184",3
"185",5
"186",5
"187",3
"188",4
"189",4
"190",4
"191",5
"192",4
"193",4
"194",3
"195",3
"196",3
"197",4
"198",4
"199",3
"200",4
"201",5
"202",4
"203",4
"204",3
"205",3
"206",4
"207",6
"208",4
"209",4
"210",6
"211",4
"212",4
"213",4
"214",5
"215",3
"216",3
"217",3
"218",6
"219",5
"220",4
"221",5
"222",5
"223",4
"224",6
"225",3
"226",4
"227",3
"228",5
"229",4
"230",6
"231",5
"232",4
"233",5
"234",5
"235",6
"236",5
"237",4
"238",4
"239",6
"240",5
"241",5
"242",5
"243",6
"244",4
"245",6
"246",4
"247",5
"248",6
"249",6
"250",5
"251",5
"252",4
"253",6
"254",4
"255",5
"256",5
"257",6
"258",5
"259",4
"260",4
"261",5
"262",5
"263",4
"264",6
"265",6
"266",6
"267",5
"268",5
"269",3
"270",6
"271",6
"272",5
"273",6
"274",5
"275",5
"276",4
"277",4
"278",5
"279",5
"280",6
"281",5
"282",5
"283",6
"284",6
"285",5
"286",7
"287",5
"288",6
"289",6
"290",6
"291",5
"292",6
"293",6
"294",7
"295",6
"296",6
"297",6
"298",7
"299",6
"300",7
"301",6
"302",6
"303",6
"304",7
"305",7
"306",5
"307",5
"308",5
"309",5
"310",6
"311",5
"312",4
"313",8
"314",6
"315",7
"316",4
"317",4
"318",6
"319",6
"320",6
"321",8
"322",6
"323",6
"324",6
"325",6
"326",6
"327",7
"328",7
"329",6
"330",7
"331",6
"332",7
"333",7
"334",7
"335",6
"336",7
"337",7
"338",5
"339",7
"340",7
"341",7
"342",7
"343",4
"344",6
"345",7
"346",10
"347",8
"348",8
"349",7
"350",7
"351",7
"352",7
"353",7
"354",6
"355",6
"356",6
"357",7
"358",8
"359",6
"360",7
"361",7
"362",7
"363",8
"364",7
"365",7
"366",8
"367",8
"368",6
"369",5
"370",8
"371",8
"372",8
"373",8
"374",8
"375",7
"376",7
"377",7
"378",7
"379",8
"380",8
"381",5
"382",7
"383",7
"384",7
"385",7
"386",10
"387",7
"388",7
"389",7
"390",6
"391",8
"392",8
