"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",2
"7",2
"8",1
"9",2
"10",2
"11",2
"12",2
"13",2
"14",2
"15",3
"16",2
"17",2
"18",2
"19",2
"20",2
"21",2
"22",2
"23",2
"24",2
"25",3
"26",2
"27",2
"28",2
"29",2
"30",2
"31",1
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",2
"48",2
"49",2
"50",1
"51",2
"52",3
"53",2
"54",2
"55",2
"56",2
"57",3
"58",2
"59",3
"60",2
"61",2
"62",2
"63",2
"64",2
"65",3
"66",3
"67",2
"68",2
"69",2
"70",2
"71",3
"72",3
"73",3
"74",2
"75",2
"76",2
"77",2
"78",3
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",3
"90",3
"91",2
"92",3
"93",2
"94",3
"95",4
"96",3
"97",3
"98",3
"99",3
"100",3
"101",3
"102",3
"103",4
"104",2
"105",4
"106",3
"107",3
"108",3
"109",3
"110",3
"111",6
"112",5
"113",4
"114",4
"115",4
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",2
"123",2
"124",3
"125",3
"126",4
"127",3
"128",2
"129",3
"130",3
"131",3
"132",3
"133",3
"134",4
"135",4
"136",2
"137",2
"138",3
"139",3
"140",3
"141",3
"142",3
"143",3
"144",3
"145",4
"146",3
"147",3
"148",3
"149",3
"150",3
"151",3
"152",2
"153",3
"154",3
"155",3
"156",2
"157",3
"158",2
"159",2
"160",3
"161",2
"162",3
"163",3
"164",3
"165",4
"166",4
"167",4
"168",4
"169",4
"170",4
"171",4
"172",4
"173",5
"174",4
"175",4
"176",4
"177",4
"178",4
"179",3
"180",4
"181",5
"182",3
"183",4
"184",4
"185",6
"186",4
"187",3
"188",4
"189",4
"190",4
"191",4
"192",4
"193",4
"194",4
"195",3
"196",3
"197",4
"198",3
"199",4
"200",4
"201",4
"202",4
"203",3
"204",3
"205",3
"206",3
"207",4
"208",4
"209",4
"210",4
"211",4
"212",4
"213",3
"214",5
"215",3
"216",3
"217",3
"218",8
"219",5
"220",3
"221",5
"222",3
"223",5
"224",5
"225",4
"226",4
"227",4
"228",5
"229",4
"230",5
"231",5
"232",6
"233",6
"234",5
"235",5
"236",5
"237",4
"238",4
"239",6
"240",6
"241",4
"242",4
"243",6
"244",4
"245",4
"246",4
"247",5
"248",6
"249",6
"250",5
"251",4
"252",5
"253",6
"254",4
"255",5
"256",4
"257",4
"258",4
"259",3
"260",6
"261",6
"262",4
"263",3
"264",5
"265",6
"266",4
"267",7
"268",3
"269",3
"270",6
"271",5
"272",4
"273",5
"274",5
"275",4
"276",4
"277",4
"278",6
"279",6
"280",7
"281",5
"282",5
"283",6
"284",7
"285",5
"286",7
"287",4
"288",5
"289",6
"290",6
"291",4
"292",5
"293",6
"294",6
"295",6
"296",6
"297",6
"298",6
"299",6
"300",6
"301",6
"302",6
"303",7
"304",6
"305",6
"306",5
"307",5
"308",5
"309",5
"310",7
"311",5
"312",6
"313",8
"314",5
"315",6
"316",5
"317",5
"318",6
"319",6
"320",5
"321",8
"322",6
"323",6
"324",6
"325",6
"326",6
"327",7
"328",7
"329",7
"330",7
"331",6
"332",6
"333",6
"334",8
"335",7
"336",7
"337",8
"338",5
"339",7
"340",6
"341",7
"342",7
"343",5
"344",6
"345",7
"346",9
"347",7
"348",8
"349",7
"350",7
"351",7
"352",7
"353",7
"354",4
"355",7
"356",5
"357",7
"358",8
"359",5
"360",6
"361",6
"362",6
"363",6
"364",7
"365",7
"366",8
"367",7
"368",6
"369",6
"370",6
"371",7
"372",7
"373",8
"374",6
"375",7
"376",7
"377",7
"378",7
"379",7
"380",7
"381",3
"382",6
"383",6
"384",7
"385",7
"386",7
"387",6
"388",7
"389",10
"390",10
"391",7
"392",10
