"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,3,3,1,6,6,5,5,3,1,3,3,5,5,2,6,3,5
"2",4,6,6,3,5,3,6,2,3,3,4,1,5,5,6,3,2,2,3
"3",5,3,6,5,3,4,1,2,3,6,3,2,2,5,3,3,1,6,6
"4",2,2,6,2,2,3,3,6,3,2,2,2,5,1,4,6,3,4,5
"5",3,2,2,1,6,3,5,5,6,2,3,4,6,6,3,3,3,4,1
"6",5,2,5,2,6,4,1,6,6,5,2,5,3,4,1,5,3,6,3
"7",3,2,6,2,2,5,3,3,6,3,4,5,4,5,6,2,3,3,6
"8",3,2,2,6,6,2,2,2,5,1,4,3,4,3,6,3,4,5,6
"9",4,4,4,5,4,5,4,4,4,4,5,4,3,4,4,5,4,4,4
"10",4,4,4,3,4,5,4,4,4,4,4,4,5,4,4,5,4,3,5
"11",5,4,4,4,4,4,4,4,5,4,4,4,4,3,4,3,4,3,3
"12",4,5,4,5,4,4,5,4,4,4,5,4,3,4,4,5,4,4,5
"13",4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3
"14",4,5,4,4,3,5,4,4,5,4,4,5,4,4,3,3,4,4,4
"15",4,5,4,4,3,5,4,4,4,4,4,4,4,4,4,5,4,5,5
"16",4,3,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,3,5
"17",4,4,4,4,4,4,4,3,5,4,3,5,4,5,3,5,3,3,4
"18",5,3,5,5,3,6,4,4,3,5,4,2,2,3,3,3,2,4,4
"19",2,4,3,6,5,3,5,4,3,4,4,5,5,2,5,3,3,3,4
"20",1,2,5,3,3,6,5,3,5,3,3,3,5,2,2,4,5,3,4
"21",4,4,4,4,4,4,3,4,4,3,5,4,4,4,4,5,5,3,4
"22",3,3,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,3,4
"23",5,4,4,4,5,5,4,5,4,4,4,4,3,4,4,5,5,4,4
"24",5,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4
"25",3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4
"26",3,4,5,4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,4
"27",3,4,5,4,3,4,4,4,4,4,5,4,4,4,4,3,4,4,5
"28",4,4,4,4,4,5,5,4,4,3,3,4,5,4,3,5,6,5,4
"29",3,2,3,4,4,2,2,4,6,6,5,6,3,3,5,5,5,3,4
"30",3,4,4,2,5,2,6,5,4,3,3,4,4,3,4,3,3,5,3
"31",5,6,6,3,3,4,2,5,4,5,4,2,5,3,3,3,3,2,2
"32",6,5,3,3,5,6,3,3,5,3,3,3,3,5,6,2,4,2,2
"33",5,3,6,6,3,4,5,5,2,2,5,3,3,2,4,2,3,5,4
"34",2,6,2,2,4,2,6,2,3,2,5,3,3,6,3,4,5,5,6
"35",5,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,4
"36",4,5,4,4,4,4,4,3,4,4,4,5,4,4,4,4,5,3,4
"37",4,4,4,3,4,5,3,3,4,4,4,5,4,4,4,4,4,4,4
"38",4,4,4,5,3,4,3,4,4,4,5,4,3,3,4,4,4,4,4
"39",3,4,3,3,4,3,5,4,4,4,4,4,3,4,4,5,5,4,5
"40",2,2,3,3,6,3,5,3,3,2,4,4,3,4,5,5,5,4,2
"41",5,6,4,4,5,3,2,4,5,5,3,3,5,5,4,4,2,3,3
"42",2,3,3,5,3,2,3,4,3,2,5,6,5,3,3,3,5,6,3
"43",4,3,3,2,2,4,5,6,6,3,5,2,5,3,3,3,3,3,2
"44",5,5,3,2,4,2,3,3,5,3,5,2,5,6,6,5,6,1,3
"45",1,6,4,5,5,4,2,2,5,3,6,2,3,6,2,5,6,1,2
"46",4,3,2,3,3,6,2,3,5,1,4,3,3,6,5,4,6,3,3
"47",3,3,4,2,6,3,3,6,2,5,1,4,3,3,6,5,4,6,3
"48",2,2,2,4,2,6,2,6,3,2,5,3,3,6,3,5,4,5,6
"49",3,3,6,4,2,3,3,6,2,5,1,4,3,3,6,5,4,6,3
"50",3,2,2,3,2,4,2,2,6,2,3,6,2,2,5,1,4,3,3
"51",4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,4,4,4,4
