"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,5,4,4,5,5,3,4,3,6,3,3,4,6,3,3,3,5,4
"2",5,3,6,6,2,5,4,3,3,5,3,3,5,3,3,2,5,5,3
"3",3,3,3,2,6,1,6,5,1,2,5,3,5,3,2,3,2,2,3
"4",3,3,3,1,6,6,2,5,2,2,3,3,1,5,5,3,2,2,4
"5",3,6,5,4,4,6,5,5,3,5,3,3,3,2,3,4,4,4,4
"6",5,6,5,5,5,3,2,3,4,4,4,4,5,6,6,3,5,4,1
"7",3,5,5,6,3,5,5,5,5,3,6,4,3,4,5,3,4,5,3
"8",3,5,5,6,3,6,5,5,6,4,3,3,3,4,6,4,3,5,3
"9",5,4,3,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,4
"10",3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
"11",4,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,4,5,4
"12",4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4
"13",4,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,4
"14",4,4,4,4,2,3,4,4,6,4,4,4,4,5,4,4,5,4,4
"15",4,4,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4
"16",4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4
"17",4,4,5,4,4,4,5,4,5,4,4,4,4,4,4,4,5,4,4
"18",4,4,6,4,4,4,4,5,4,3,3,6,4,4,4,4,3,4,4
"19",2,3,3,3,5,5,3,3,3,5,4,5,6,2,3,5,1,2,2
"20",5,5,5,5,5,5,6,6,6,6,6,5,3,4,3,6,4,6,4
"21",5,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,4,5,4
"22",4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,3,5,3
"23",4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4
"24",4,3,4,4,4,4,4,4,4,3,3,5,5,4,4,4,4,4,4
"25",4,3,4,5,4,4,4,4,4,3,4,4,5,5,4,4,4,4,4
"26",4,4,3,3,3,3,4,4,4,4,4,4,3,4,5,5,5,4,4
"27",3,4,5,3,3,4,4,5,4,4,4,4,4,4,3,3,4,4,4
"28",3,4,5,3,3,3,5,5,5,4,2,4,4,4,4,4,4,4,4
"29",3,3,4,5,3,3,3,3,5,4,2,4,4,4,4,4,4,4,4
"30",3,3,5,3,5,5,4,5,3,4,4,4,2,4,4,4,4,4,4
"31",3,3,3,5,3,3,3,4,4,5,4,4,4,4,4,4,2,4,4
"32",3,5,3,3,3,4,3,3,5,5,5,3,4,3,3,4,3,4,6
"33",4,2,3,3,4,4,6,3,3,4,4,3,3,6,5,4,5,5,5
"34",6,2,3,2,2,2,6,3,3,4,3,1,6,2,2,5,3,3,3
"35",4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,5,5,4,5
"36",4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,5,4,4
"37",4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3
"38",4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,5,4
"39",4,4,4,4,4,4,4,4,3,3,4,3,3,4,5,4,4,5,3
"40",4,3,3,3,4,3,3,5,5,5,5,5,5,2,4,2,2,4,6
"41",3,3,4,3,3,5,5,5,4,4,2,2,2,2,5,5,5,5,2
"42",4,3,3,4,4,3,3,5,5,5,5,5,5,5,5,5,6,2,2
"43",3,3,4,4,3,3,5,5,5,4,4,5,2,2,2,5,5,2,5
"44",3,3,4,4,5,5,5,4,5,4,2,2,2,2,5,5,5,5,5
"45",1,1,5,5,5,1,2,6,2,5,5,5,2,2,6,5,3,5,3
"46",2,2,2,3,3,2,2,2,2,2,3,3,2,3,2,1,1,4,4
"47",2,3,2,3,3,3,2,2,2,2,2,2,1,3,3,2,4,1,3
"48",2,2,2,3,3,2,2,2,2,3,5,3,2,1,3,4,3,2,1
"49",2,2,3,2,3,3,2,3,2,2,2,4,4,2,2,1,2,1,3
"50",6,6,4,6,6,2,3,3,3,2,4,3,3,2,5,2,5,3,3
"51",5,5,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4
"52",5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4
"53",5,4,4,4,4,5,4,5,4,4,4,4,4,4,5,4,4,4,4
"54",4,4,6,2,5,4,4,4,4,5,4,4,4,5,4,4,4,3,4
"55",2,4,6,4,4,4,4,4,4,4,5,3,3,5,5,5,5,4,5
"56",4,6,2,4,4,5,5,4,5,4,4,4,3,3,4,4,5,4,5
"57",4,4,3,3,4,4,2,5,5,5,3,3,5,3,6,3,4,3,3
"58",4,6,4,4,3,3,4,5,5,5,5,5,3,3,3,6,3,3,5
"59",4,6,4,3,3,4,3,3,6,5,3,4,5,4,4,5,5,3,5
"60",6,4,4,3,3,6,5,4,4,3,3,3,5,4,4,5,5,5,5
"61",4,4,4,4,4,4,4,4,4,4,5,4,3,5,4,3,4,4,3
"62",5,5,5,3,3,4,5,4,4,4,4,4,4,5,4,4,4,4,4
"63",4,4,4,4,4,4,4,4,4,4,5,4,5,3,3,4,4,3,3
"64",4,4,4,4,4,4,4,4,4,4,5,4,5,3,4,3,5,5,4
"65",4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,4,4
"66",4,4,4,4,4,4,4,4,4,4,5,5,4,3,3,4,5,4,4
"67",4,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,3
"68",4,4,4,4,4,4,4,4,4,5,4,3,3,5,4,3,3,4,5
"69",4,4,4,4,4,4,4,4,3,3,3,3,4,5,5,5,4,5,3
"70",4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4
"71",5,5,5,5,3,3,4,4,4,4,3,4,4,4,3,4,2,3,4
"72",5,5,5,5,3,3,4,4,4,4,3,4,3,4,4,4,2,3,4
"73",3,3,2,6,6,5,6,3,3,1,5,5,6,5,1,2,2,5,5
"74",3,3,2,1,2,5,1,1,5,2,2,3,3,5,2,6,6,2,2
"75",3,3,2,1,5,1,6,5,2,3,5,2,2,6,5,5,3,5,5
"76",6,4,6,6,6,6,3,5,5,5,5,3,5,6,3,3,6,3,2
"77",6,4,6,6,6,3,6,6,5,3,5,5,3,3,5,2,5,5,5
"78",6,6,6,6,6,5,3,3,3,5,5,5,3,3,6,5,5,5,3
"79",3,6,4,1,1,5,2,3,1,5,2,2,2,3,3,5,3,3,4
"80",3,3,2,2,2,3,3,5,1,3,3,5,3,4,5,6,5,3,3
"81",3,3,6,2,5,5,3,1,3,2,6,3,3,1,3,2,2,5,2
"82",3,3,2,3,2,2,2,3,5,3,2,1,2,1,3,3,3,5,5
"83",3,4,6,2,1,1,2,5,3,1,5,4,2,2,3,2,2,5,3
"84",3,3,2,3,2,2,1,2,1,3,5,5,3,2,2,3,4,6,3
"85",3,2,1,6,3,2,2,1,4,5,4,3,3,2,6,5,3,3,6
