"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,4,4,4,5,4,4,5,4,6,4,4,4,4,3,4,4,3,4
"2",5,2,6,6,4,3,4,3,3,3,4,4,5,5,3,3,4,4,4
"3",4,3,2,6,6,2,2,1,1,2,2,2,3,3,5,6,4,3,3
"4",4,3,3,6,6,3,2,1,1,2,3,3,5,6,5,2,3,5,3
"5",3,6,4,4,4,3,6,3,3,4,4,5,4,4,4,4,4,5,4
"6",6,4,4,4,3,3,3,4,5,4,4,4,4,4,4,4,5,6,5
"7",5,5,5,3,3,5,5,4,3,6,6,3,3,4,5,6,4,4,4
"8",5,5,5,3,3,5,5,4,3,6,6,3,3,4,6,5,4,4,5
"9",3,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4
"10",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"11",4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
"12",4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,4,4
"13",4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5,5
"14",4,4,4,3,3,4,4,4,4,5,4,4,4,5,4,4,6,6,5
"15",4,4,5,5,4,4,5,4,5,4,3,3,4,4,4,4,4,4,4
"16",4,4,5,5,4,4,5,4,5,4,3,3,4,4,4,4,4,4,4
"17",4,4,5,4,4,4,5,4,5,4,3,3,4,4,4,4,4,4,4
"18",4,4,4,3,5,4,5,4,4,4,4,4,5,4,4,2,4,4,4
"19",2,3,3,3,6,5,5,2,2,1,5,5,5,3,3,3,3,3,3
"20",5,5,5,5,5,5,6,4,4,3,5,6,6,6,3,3,3,3,3
"21",3,4,5,3,4,3,4,5,4,4,5,4,4,4,4,4,4,4,4
"22",4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4
"23",4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
"24",4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,3,5,4,5
"25",4,4,4,4,4,3,4,4,4,5,3,4,3,3,4,5,4,5,5
"26",3,3,3,5,4,2,4,3,4,5,5,5,5,5,4,4,4,4,4
"27",5,5,5,3,3,4,3,4,4,3,4,4,4,4,2,4,4,3,3
"28",3,3,2,4,5,4,5,5,4,4,4,4,4,3,4,3,4,4,4
"29",3,3,2,4,4,5,4,5,5,4,4,4,3,4,4,4,4,4,4
"30",3,3,5,3,3,5,5,3,4,3,4,4,4,4,4,2,4,4,4
"31",4,4,4,3,3,3,3,3,2,5,5,5,4,4,4,4,4,4,4
"32",5,3,3,3,4,5,5,5,3,4,3,4,4,4,4,4,4,4,2
"33",4,2,3,4,4,4,4,4,4,4,4,4,4,4,6,6,4,4,4
"34",2,6,4,3,3,3,3,3,6,2,2,2,3,3,3,6,5,5,5
"35",3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,3,3
"36",4,4,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4
"37",4,4,3,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4
"38",4,4,4,4,4,4,3,3,4,4,4,4,5,5,5,5,4,3,3
"39",4,4,4,4,4,4,3,3,3,4,4,4,4,5,5,5,4,3,3
"40",4,3,3,3,5,5,5,5,5,5,5,5,6,4,3,3,3,3,4
"41",3,3,4,3,5,5,6,5,4,5,3,3,3,4,4,4,4,4,4
"42",4,3,3,3,4,4,5,5,5,5,5,5,5,6,5,5,3,3,3
"43",3,4,3,3,5,5,6,4,3,3,3,5,4,3,4,4,4,4,4
"44",3,4,3,3,5,5,6,5,4,3,3,3,4,3,4,4,4,4,4
"45",6,5,5,1,1,3,3,5,5,5,3,5,6,3,3,2,1,3,3
"46",3,2,2,3,2,5,3,2,2,2,1,6,5,5,5,5,5,5,6
"47",2,2,3,3,3,2,5,2,1,5,6,5,5,5,5,5,5,6,6
"48",2,2,2,3,5,2,2,2,2,2,1,6,5,6,5,5,5,5,5
"49",2,2,3,2,3,3,5,2,2,2,1,2,3,6,6,2,1,5,3
"50",2,6,6,4,3,3,5,6,2,2,3,2,6,2,5,6,1,3,4
"51",5,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4
"52",5,4,4,4,5,5,4,4,4,4,4,4,4,4,6,4,4,4,4
"53",5,4,4,4,4,4,5,5,4,4,4,4,4,5,6,4,4,4,4
"54",5,4,4,4,5,4,5,4,4,4,4,5,4,2,4,4,4,4,4
"55",2,4,4,4,4,4,5,4,4,4,4,4,6,5,5,5,5,5,5
"56",4,4,2,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5
"57",4,6,4,5,5,5,5,5,6,4,4,4,4,4,4,5,4,4,4
"58",4,6,4,5,5,5,5,5,6,4,4,4,4,4,4,5,4,4,4
"59",2,6,3,3,6,4,4,3,5,4,4,4,3,3,5,3,4,4,3
"60",4,4,6,3,3,6,3,4,4,3,3,5,3,3,3,4,3,3,4
"61",4,4,4,4,4,4,4,4,3,3,4,5,5,5,3,3,3,5,4
"62",5,5,5,3,3,4,4,3,5,4,4,4,4,4,4,4,4,4,5
"63",4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,3,3,3,3
"64",4,4,4,4,4,4,4,4,5,5,3,3,3,3,3,4,4,4,5
"65",4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,5,5
"66",4,4,4,4,4,4,4,4,5,3,3,5,5,5,3,3,4,4,4
"67",4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,5,5,5
"68",4,4,4,4,4,4,4,4,5,5,5,3,3,3,3,4,4,5,4
"69",4,4,4,4,4,3,3,3,3,4,4,5,5,5,4,4,4,4,4
"70",4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5
"71",3,5,5,5,4,3,3,4,4,4,4,4,4,4,5,5,5,5,5
"72",3,5,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,5,5
"73",3,2,1,1,3,5,5,2,2,3,2,2,2,2,2,6,6,5,5
"74",3,2,2,2,1,1,3,3,2,1,2,2,2,2,5,5,5,5,6
"75",3,3,2,5,2,1,1,5,5,5,5,5,3,5,2,5,6,5,5
"76",6,4,5,5,5,5,5,5,6,5,6,6,6,2,4,4,4,5,3
"77",6,4,6,6,3,3,3,3,6,3,5,5,5,5,6,2,4,5,4
"78",6,6,6,6,6,3,3,6,6,6,5,5,3,6,4,2,4,5,5
"79",3,3,3,4,5,1,5,5,4,3,4,3,3,3,3,5,2,2,2
"80",3,3,2,3,3,2,5,5,5,2,4,5,5,3,4,2,2,2,2
