"","x"
"1",5
"2",5
"3",4
"4",4
"5",5
"6",3
"7",3
"8",3
"9",5
"10",4
"11",3
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",4
"19",2
"20",6
"21",5
"22",5
"23",4
"24",4
"25",4
"26",3
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",4
"34",3
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",3
"42",4
"43",3
"44",3
"45",3
"46",2
"47",2
"48",3
"49",2
"50",6
"51",5
"52",5
"53",5
"54",4
"55",6
"56",6
"57",4
"58",4
"59",4
"60",2
"61",4
"62",4
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",5
"71",3
"72",3
"73",3
"74",3
"75",3
"76",6
"77",6
"78",4
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",3
"86",4
"87",4
"88",4
"89",4
"90",4
"91",2
"92",6
"93",6
"94",5
"95",6
"96",5
"97",6
"98",5
"99",5
"100",5
"101",5
"102",3
"103",3
"104",3
"105",3
"106",3
"107",3
"108",3
"109",3
"110",3
"111",4
"112",4
"113",4
"114",3
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",4
"125",4
"126",4
"127",4
"128",5
"129",5
"130",5
"131",5
"132",5
"133",5
"134",2
"135",2
"136",2
"137",2
"138",2
"139",6
"140",6
"141",2
"142",5
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",6
"150",1
"151",2
"152",1
"153",2
"154",1
"155",2
"156",2
"157",2
"158",2
"159",2
"160",2
