"","x"
"1",4
"2",6
"3",6
"4",6
"5",3
"6",6
"7",3
"8",3
"9",4
"10",4
"11",4
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",4
"19",3
"20",6
"21",5
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",3
"33",4
"34",6
"35",4
"36",4
"37",4
"38",4
"39",4
"40",5
"41",3
"42",3
"43",3
"44",3
"45",6
"46",2
"47",2
"48",2
"49",2
"50",6
"51",4
"52",4
"53",4
"54",4
"55",4
"56",4
"57",5
"58",4
"59",4
"60",5
"61",4
"62",5
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",5
"73",6
"74",6
"75",6
"76",6
"77",6
"78",6
"79",3
"80",3
"81",3
"82",2
"83",6
"84",3
"85",6
"86",4
"87",4
"88",4
"89",4
"90",4
"91",2
"92",6
"93",3
"94",3
"95",3
"96",2
"97",6
"98",6
"99",3
"100",3
"101",3
"102",5
"103",5
"104",5
"105",3
"106",3
"107",3
"108",3
"109",3
"110",3
"111",4
"112",4
"113",4
"114",4
"115",4
"116",3
"117",4
"118",4
"119",5
"120",5
"121",4
"122",4
"123",4
"124",4
"125",4
"126",4
"127",4
"128",3
"129",3
"130",3
"131",3
"132",3
"133",3
"134",3
"135",3
"136",3
"137",3
"138",3
"139",6
"140",6
"141",2
"142",5
"143",4
"144",5
"145",4
"146",4
"147",5
"148",4
"149",4
"150",1
"151",1
"152",2
"153",1
"154",2
"155",1
"156",2
"157",1
"158",6
"159",2
"160",2
