"","x"
"1",5
"2",3
"3",4
"4",4
"5",3
"6",5
"7",3
"8",3
"9",4
"10",4
"11",4
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",4
"19",3
"20",6
"21",5
"22",4
"23",5
"24",4
"25",4
"26",4
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",6
"34",2
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",3
"42",3
"43",3
"44",3
"45",3
"46",2
"47",2
"48",3
"49",2
"50",4
"51",5
"52",5
"53",5
"54",4
"55",2
"56",4
"57",4
"58",4
"59",2
"60",4
"61",4
"62",5
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",3
"72",3
"73",3
"74",3
"75",3
"76",6
"77",6
"78",6
"79",3
"80",3
"81",3
"82",3
"83",3
"84",3
"85",3
"86",4
"87",4
"88",4
"89",4
"90",4
"91",2
"92",6
"93",5
"94",6
"95",5
"96",6
"97",5
"98",6
"99",4
"100",4
"101",4
"102",3
"103",3
"104",3
"105",3
"106",3
"107",3
"108",3
"109",3
"110",3
"111",4
"112",4
"113",4
"114",3
"115",3
"116",3
"117",3
"118",3
"119",5
"120",5
"121",3
"122",3
"123",3
"124",4
"125",4
"126",4
"127",4
"128",5
"129",5
"130",5
"131",5
"132",5
"133",5
"134",3
"135",3
"136",2
"137",3
"138",2
"139",6
"140",6
"141",3
"142",5
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",4
"150",1
"151",1
"152",1
"153",1
"154",3
"155",3
"156",1
"157",3
"158",3
"159",3
"160",2
