"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,2,4,3,4,5,4,3,3,4,5,3,2,2,3,3,3,4,2
"2",2,6,2,3,5,3,2,2,1,3,5,5,3,4,1,3,6,3,6
"3",5,3,4,3,3,2,3,6,3,2,2,5,4,5,3,6,3,2,2
"4",2,2,6,3,3,3,5,3,2,3,2,2,3,3,2,6,3,5,6
"5",5,2,5,2,2,3,2,3,5,3,4,6,6,3,2,3,6,5,4
"6",6,2,5,2,2,5,4,3,6,3,3,6,3,5,3,4,3,2,3
"7",4,2,3,3,2,3,3,3,2,4,5,4,3,3,2,4,4,3,6
"8",1,2,2,3,1,2,2,2,2,5,4,2,4,5,2,4,1,6,4
"9",1,5,2,1,3,2,1,2,1,2,2,2,3,2,5,2,4,2,4
"10",1,2,2,2,5,2,2,3,2,5,2,4,2,4,2,6,6,5,2
"11",5,2,2,2,3,2,1,2,2,2,2,2,3,1,4,2,3,5,6
"12",2,1,5,5,4,4,3,5,3,5,2,2,4,2,1,4,3,2,3
"13",4,5,4,3,3,3,2,5,3,3,3,4,5,4,3,4,3,4,4
"14",3,4,3,5,3,3,4,2,4,6,5,4,5,4,3,4,3,4,5
"15",3,2,2,6,5,5,6,6,2,4,5,2,2,3,6,6,2,4,1
"16",3,3,4,4,5,3,4,4,4,5,4,3,3,3,4,6,2,5,3
"17",5,5,3,6,3,5,4,4,4,4,4,4,4,3,3,3,3,4,5
"18",2,2,5,2,4,5,2,4,6,2,6,2,2,5,6,2,2,3,4
"19",1,2,1,1,4,5,2,2,3,6,1,4,1,4,5,5,3,5,4
"20",4,5,3,2,6,3,3,2,5,5,3,4,4,4,2,5,6,3,4
"21",1,2,3,1,2,1,1,2,2,2,3,2,1,2,1,5,2,6,6
"22",2,2,1,2,4,5,2,2,3,3,1,3,5,4,5,2,3,4,4
"23",2,3,2,2,1,2,4,2,5,4,1,2,5,4,4,2,5,6,2
"24",2,1,3,2,2,2,5,2,4,1,2,2,3,2,3,2,4,6,2
"25",1,2,1,4,5,4,2,3,5,1,3,5,2,6,2,2,2,2,1
"26",1,1,1,1,5,2,5,1,2,1,5,1,2,2,3,4,6,3,2
"27",3,2,1,2,2,6,2,2,5,6,2,2,1,1,6,4,3,5,2
"28",1,1,3,1,5,5,2,5,2,1,1,5,3,2,1,4,6,3,2
"29",2,5,3,1,1,4,2,1,2,2,6,3,1,6,4,1,2,5,5
"30",2,2,2,6,2,6,5,1,2,5,6,5,1,4,5,2,4,2,6
"31",1,1,2,1,2,5,2,5,6,2,2,2,4,2,6,1,5,6,1
"32",1,2,2,3,2,2,1,1,6,6,2,2,5,1,3,2,2,2,3
"33",1,1,3,1,4,1,2,4,1,2,5,3,4,5,2,2,1,2,5
"34",1,1,2,1,3,5,2,5,2,5,2,2,2,2,4,6,5,6,2
"35",1,1,1,3,4,2,4,2,4,1,1,5,2,2,5,1,5,3,1
"36",3,5,3,6,3,5,2,3,3,3,1,4,4,3,3,3,4,4,5
"37",4,3,3,4,3,4,2,2,5,5,5,4,3,5,4,3,3,3,4
"38",4,3,3,4,3,4,5,5,5,4,4,3,5,5,3,5,4,2,5
"39",5,3,4,5,3,4,4,3,5,3,4,4,4,5,4,5,4,4,4
"40",6,6,5,6,6,5,4,6,6,5,5,5,5,5,4,4,3,3,4
