"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,4,6,2,3,2,4,3,3,5,5,4,2,3,3,3,5,3,2
"2",2,2,2,5,4,2,3,5,6,6,4,5,6,5,6,6,5,6,3
"3",5,3,2,2,2,2,2,3,5,6,5,6,4,3,3,6,4,5,3
"4",2,2,3,3,2,3,2,5,2,2,5,6,3,6,3,6,4,6,3
"5",2,5,2,2,2,2,3,3,5,6,3,6,3,6,4,2,3,3,6
"6",6,2,2,5,2,5,3,3,6,6,6,4,3,3,3,3,3,6,3
"7",5,4,3,3,5,3,3,6,2,4,6,3,4,3,4,4,3,6,2
"8",1,2,2,2,4,2,3,1,2,2,2,2,3,2,4,6,4,4,5
"9",1,5,3,1,1,1,2,2,4,2,2,1,2,3,2,2,5,3,4
"10",5,2,4,2,2,3,4,2,3,3,5,5,1,2,3,1,6,4,6
"11",5,2,2,4,2,3,1,2,5,1,3,3,4,2,1,6,4,1,6
"12",2,4,2,5,6,3,4,2,3,3,5,3,5,1,6,2,6,4,5
"13",4,4,3,4,3,5,4,4,3,4,5,5,3,5,3,5,3,5,6
"14",3,3,4,3,5,3,3,6,4,4,4,3,5,2,6,6,5,3,4
"15",3,2,6,6,5,4,2,5,2,6,5,5,3,1,6,3,4,1,1
"16",3,3,3,4,4,3,2,6,6,4,4,3,3,4,3,4,4,3,4
"17",5,5,3,3,4,4,3,5,4,4,3,4,3,5,4,5,4,6,4
"18",2,5,4,3,3,5,4,3,2,3,2,2,5,3,1,4,6,4,4
"19",1,1,1,4,1,2,5,1,1,2,2,5,3,5,4,5,2,4,3
"20",4,3,5,4,3,5,2,6,6,3,4,3,6,4,3,4,3,6,2
"21",2,3,2,2,2,2,2,5,1,2,1,2,3,2,1,6,1,5,3
"22",2,5,4,1,2,2,3,3,4,6,6,1,6,4,5,2,3,3,5
"23",2,3,2,2,1,2,2,4,2,3,4,4,5,2,2,2,1,5,4
"24",2,2,1,2,2,5,4,2,5,1,4,2,3,2,6,2,4,2,1
"25",1,2,3,1,2,5,4,2,4,3,4,6,5,6,2,3,6,5,2
"26",1,2,3,5,2,2,4,2,3,3,1,3,5,1,1,4,2,6,3
"27",3,2,1,1,2,6,5,6,6,2,5,5,4,2,5,1,2,5,3
"28",1,2,5,3,1,1,5,1,5,2,3,4,3,3,1,5,1,4,2
"29",5,2,1,3,3,1,6,4,4,2,1,1,6,3,4,5,2,2,1
"30",2,2,2,6,2,6,5,5,2,4,1,2,2,1,1,5,3,2,1
"31",1,1,2,5,2,6,3,2,6,2,2,2,2,6,5,2,4,2,5
"32",2,2,3,6,2,5,2,1,2,1,2,2,3,2,1,1,2,3,4
"33",1,3,1,1,1,4,2,2,4,2,4,2,3,5,3,2,2,2,2
"34",1,1,5,2,2,3,2,6,6,2,2,2,2,5,6,2,4,2,3
"35",1,1,3,1,4,2,2,2,5,4,2,3,2,2,4,2,2,4,2
"36",3,3,6,2,3,3,3,3,3,1,4,3,4,4,4,5,4,5,5
"37",3,3,2,3,3,4,5,3,4,4,5,4,2,3,5,3,6,3,4
"38",4,6,3,3,3,5,5,4,5,4,4,4,3,5,4,3,3,5,4
"39",5,3,4,4,5,3,3,3,4,4,5,4,6,3,4,4,4,4,5
"40",6,6,5,6,5,5,5,6,6,5,5,5,3,4,4,6,5,4,4
"41",5,5,5,5,6,6,5,5,4,6,5,5,5,5,5,5,3,4,4
"42",4,4,4,4,4,6,3,2,3,3,3,3,6,3,5,5,5,3,3
"43",5,4,3,2,3,6,3,3,3,6,4,3,2,3,5,5,5,5,5
"44",5,4,4,4,4,3,6,3,3,3,3,6,3,4,2,5,5,5,5
"45",2,3,3,2,3,2,4,3,5,3,2,5,2,6,3,4,4,4,3
"46",3,3,3,3,3,2,5,2,6,3,6,6,4,6,6,4,4,5,3
"47",3,3,3,3,3,2,5,2,6,3,6,6,4,6,6,4,4,5,3
"48",3,1,3,2,3,6,5,4,5,6,6,4,5,6,6,5,6,6,6
"49",2,6,5,6,6,5,6,5,6,6,5,3,4,5,2,2,5,5,4
"50",2,2,5,6,6,5,3,4,5,2,3,3,3,6,3,6,6,3,3
"51",3,5,5,5,5,3,3,4,2,5,2,2,3,3,5,3,3,6,5
"52",3,3,3,6,4,5,2,5,2,2,3,5,4,3,5,3,6,6,2
"53",5,5,5,4,5,3,4,2,3,3,3,3,6,5,3,2,3,5,2
"54",5,5,5,4,5,3,4,2,3,3,3,3,6,5,3,2,3,5,2
"55",5,5,2,2,2,2,3,6,6,1,2,3,4,2,3,2,6,2,2
"56",6,5,5,6,6,5,5,5,5,5,5,5,5,4,3,5,5,6,5
"57",3,5,3,3,4,2,5,3,3,4,4,6,4,5,3,4,5,4,5
"58",6,6,5,4,6,5,5,6,5,5,3,3,3,3,3,5,5,5,5
"59",4,4,4,4,2,4,6,3,4,3,3,4,5,3,5,4,3,4,3
"60",4,4,4,4,3,6,4,5,4,3,5,3,3,4,3,4,3,4,3
"61",3,2,6,4,5,3,6,4,4,2,3,2,4,5,3,3,4,5,2
"62",5,6,5,6,3,6,4,1,4,3,2,3,3,5,3,2,1,5,1
"63",5,4,5,4,6,3,6,4,5,4,3,2,3,3,3,5,3,2,1
"64",2,4,5,5,4,4,4,4,4,3,4,6,2,3,4,2,3,6,3
"65",6,3,5,6,3,2,2,2,5,6,5,3,3,3,3,6,6,6,6
"66",4,3,3,4,3,4,3,4,4,5,5,2,2,3,4,3,3,4,3
"67",4,3,4,3,4,3,4,3,4,5,5,2,2,3,4,3,3,4,3
"68",5,6,5,4,2,3,5,5,2,4,4,2,3,3,4,6,3,3,4
"69",3,2,3,3,5,5,4,5,4,2,3,6,5,5,4,3,5,4,3
"70",2,2,3,5,5,4,6,5,4,3,2,6,5,4,3,4,4,3,2
"71",4,3,5,4,4,4,5,5,6,4,4,4,5,5,3,4,3,2,4
"72",6,5,4,4,4,4,5,4,4,5,3,3,4,5,5,4,4,4,4
"73",6,4,3,4,4,4,5,4,6,5,4,4,5,5,4,4,6,4,4
"74",3,4,5,4,4,4,5,5,6,4,4,4,5,5,3,4,4,2,3
"75",4,3,2,3,3,4,3,5,6,5,6,2,2,3,3,2,2,4,5
"76",3,3,3,3,4,3,2,5,3,2,3,2,3,3,2,3,2,4,4
"77",2,3,2,3,3,5,1,3,6,2,5,2,2,3,3,3,2,2,1
"78",3,3,3,4,3,4,3,2,2,5,3,2,3,2,3,3,2,2,3
"79",3,3,4,3,3,2,3,5,3,2,3,2,4,2,5,3,2,3,2
"80",4,4,3,3,3,3,3,2,3,4,2,2,5,3,2,5,4,6,6
"81",4,4,4,4,2,6,3,4,4,3,3,4,5,3,5,4,3,4,3
"82",3,6,6,2,5,3,4,4,2,3,2,4,5,3,3,4,4,3,5
"83",4,4,2,4,3,4,4,4,3,3,4,5,3,5,3,5,3,4,4
"84",4,2,4,4,3,6,3,4,2,3,5,3,3,4,5,5,3,5,3
"85",5,3,3,2,6,4,3,5,3,2,2,2,3,3,3,3,3,6,4
"86",6,4,3,2,3,6,4,6,3,3,2,3,3,5,3,2,3,3,3
"87",5,3,3,2,4,3,6,5,3,2,2,2,3,3,3,4,3,4,6
"88",6,4,3,2,3,6,4,6,3,3,3,5,3,2,2,3,3,3,3
"89",4,1,3,6,4,3,3,3,2,3,2,2,5,6,6,5,6,5,6
"90",3,3,3,3,4,3,3,6,3,4,2,4,4,1,3,5,3,3,6
"91",5,5,2,3,6,4,3,3,1,3,2,4,5,3,6,4,5,5,6
"92",6,3,3,1,3,3,2,3,5,5,5,3,2,2,4,4,3,4,3
"93",4,6,2,4,2,5,3,5,5,5,5,3,4,3,4,4,5,4,3
"94",4,4,5,4,6,3,4,4,4,3,5,5,3,4,4,3,3,4,3
"95",4,5,6,4,6,5,6,4,5,3,3,2,1,3,3,2,6,3,4
"96",3,4,6,5,5,2,3,4,6,5,4,6,4,6,4,5,2,2,3
