"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",4,6,2,5,5,5,3,3,4,4,6,5,4,6,4,6,5,4,3
"2",3,4,6,5,3,2,4,5,4,4,4,5,2,4,3,4,6,5,5
"3",5,3,6,5,5,6,5,5,4,5,6,5,4,4,6,5,6,6,3
"4",5,6,4,6,5,3,6,5,5,3,3,6,5,6,3,6,5,3,4
"5",5,6,6,5,5,4,6,5,5,3,4,3,6,5,6,4,3,3,4
"6",6,5,5,3,5,4,3,3,3,6,4,4,3,3,2,4,3,5,6
"7",2,2,5,1,3,3,4,4,3,3,3,2,4,4,2,2,4,3,2
"8",1,2,4,3,2,1,2,3,1,3,3,2,2,2,4,3,2,2,2
"9",1,2,1,4,3,1,1,2,2,3,3,1,2,2,2,2,2,1,3
"10",2,1,4,3,2,3,3,3,3,3,2,2,2,4,2,2,2,2,2
"11",5,2,2,2,4,3,2,2,1,3,2,2,4,1,2,4,3,2,5
"12",2,4,5,1,3,2,3,3,3,3,2,4,2,2,4,2,3,2,3
"13",2,2,5,1,3,3,3,3,4,3,3,2,3,2,4,2,3,3,3
"14",3,2,4,2,2,3,2,2,2,2,4,2,4,1,2,3,2,2,3
"15",2,2,1,3,2,2,2,2,3,1,1,2,1,3,1,3,2,4,3
"16",3,2,4,2,3,2,2,2,2,4,3,3,2,3,3,1,2,3,3
"17",3,3,4,3,2,4,4,2,2,3,3,3,4,2,2,4,2,3,2
"18",2,2,2,2,1,1,2,3,1,1,3,2,3,2,1,2,3,3,2
"19",2,4,3,2,2,1,4,3,2,3,3,1,3,1,3,2,3,2,2
"20",3,3,2,2,2,2,2,1,2,1,3,2,3,3,1,4,1,3,4
"21",1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,3,2
"22",2,2,1,1,2,2,1,2,3,1,1,2,3,1,1,1,3,2,3
"23",1,2,2,1,1,2,1,1,2,2,1,2,1,3,2,3,3,3,3
"24",1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,3,2,3,2
"25",2,2,2,1,1,2,1,2,1,1,1,2,2,3,3,3,1,3,2
"26",2,1,2,2,1,1,2,1,1,1,2,3,1,2,3,3,2,2,2
