"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,4,4,5,6,4,5,6,3,3,5,5,4,2,4,6,6,5,6
"2",4,4,4,4,3,5,2,4,5,5,3,5,3,4,4,3,3,3,3
"3",5,5,5,5,6,5,4,5,5,5,5,6,4,5,6,6,2,5,4
"4",6,6,5,4,4,4,4,4,3,4,3,5,5,4,3,4,5,4,4
"5",5,6,5,5,4,4,5,4,3,4,5,4,3,5,4,3,4,3,4
"6",4,3,2,3,3,4,4,3,4,3,5,2,3,3,3,2,4,4,6
"7",2,2,3,3,3,4,2,3,3,3,4,3,5,4,4,5,4,5,1
"8",1,2,2,4,4,2,2,5,5,3,3,5,3,2,4,2,3,3,5
"9",1,1,2,3,2,2,2,3,2,3,2,3,2,5,4,3,2,2,2
"10",5,4,3,3,3,2,3,5,4,4,4,3,3,3,4,2,3,2,3
"11",5,2,4,3,2,2,4,3,2,4,3,3,3,1,3,2,3,2,3
"12",2,4,5,3,3,3,5,3,4,4,2,2,3,4,3,5,3,4,3
"13",3,3,3,3,3,2,4,2,3,4,4,4,4,2,5,4,3,3,5
"14",3,2,2,2,2,2,4,2,4,2,3,2,3,3,3,2,3,2,3
"15",2,1,2,2,2,2,3,3,2,2,1,2,5,2,2,2,3,3,3
"16",3,2,2,2,3,3,2,3,4,3,3,3,2,4,2,3,4,2,4
"17",2,4,4,3,3,4,4,3,3,3,3,3,3,2,3,3,3,5,4
"18",2,2,2,1,1,2,2,1,2,1,2,2,3,2,2,2,3,3,3
"19",3,4,3,3,3,3,4,4,4,3,4,2,4,3,3,2,3,3,3
"20",3,2,2,2,3,3,2,3,2,2,3,2,3,2,2,2,3,2,2
"21",2,2,1,1,2,1,2,2,2,3,2,2,3,2,2,3,3,3,2
"22",2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,1,3,2,3
"23",2,1,2,2,1,1,2,2,1,1,2,2,2,3,2,3,3,3,3
"24",1,2,2,2,2,2,2,2,3,2,2,3,1,2,3,3,2,2,2
"25",2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,2,3,3
"26",1,1,1,1,3,2,2,2,2,3,2,2,1,2,2,3,2,2,1
"27",2,2,2,1,1,1,2,2,1,2,2,2,1,3,2,2,3,2,3
"28",1,1,1,1,2,3,2,2,2,2,2,3,1,3,3,2,3,2,1
"29",3,2,2,5,2,5,2,1,1,2,1,2,2,3,3,2,3,2,3
"30",2,5,2,2,2,3,1,3,3,3,1,1,2,3,3,1,4,3,2
"31",1,1,3,1,2,2,2,2,2,2,3,2,2,2,3,1,2,2,3
"32",2,2,2,2,2,1,2,1,1,1,2,3,3,3,2,5,2,2,3
"33",1,1,1,2,3,3,2,2,2,2,2,2,2,3,1,1,2,2,2
"34",2,2,2,1,1,1,2,2,2,3,2,3,2,2,3,2,2,2,3
"35",1,1,1,3,1,1,3,2,3,2,3,2,2,2,3,2,3,2,2
"36",3,3,3,3,3,4,2,6,5,3,3,4,3,2,4,4,3,2,2
"37",3,3,3,3,3,3,3,2,6,5,4,2,4,3,3,2,4,2,2
"38",3,4,2,3,3,2,3,2,4,3,4,3,6,3,4,5,4,4,4
"39",3,3,3,2,3,2,4,4,2,3,4,5,4,3,4,4,4,4,3
"40",5,6,6,4,3,4,5,6,4,5,5,3,5,4,6,6,5,6,5
"41",6,5,5,4,3,5,6,6,4,5,5,3,5,4,6,6,5,6,5
"42",4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,3,4,3,3
"43",4,3,4,4,3,4,3,5,4,4,4,4,3,4,4,4,5,5,4
