"","x"
"1",4
"2",3
"3",6
"4",5
"5",6
"6",5
"7",4
"8",5
"9",2
"10",2
"11",1
"12",2
"13",3
"14",3
"15",2
"16",3
"17",4
"18",2
"19",3
"20",2
"21",1
"22",2
"23",1
"24",1
"25",2
"26",1
"27",2
"28",1
"29",2
"30",3
"31",1
"32",1
"33",1
"34",1
"35",1
"36",2
"37",3
"38",3
"39",4
"40",5
"41",6
"42",5
"43",4
"44",4
"45",3
"46",2
"47",3
"48",2
"49",1
"50",2
"51",3
"52",3
"53",4
"54",4
"55",2
"56",6
"57",4
"58",5
"59",4
"60",2
"61",2
"62",2
"63",3
"64",4
"65",5
"66",4
"67",2
"68",3
"69",2
"70",3
"71",4
"72",3
"73",4
"74",4
"75",4
"76",3
"77",3
"78",3
"79",3
"80",3
"81",5
"82",4
"83",4
"84",4
"85",4
"86",5
"87",3
"88",3
"89",4
"90",5
"91",3
"92",3
"93",4
"94",4
"95",3
"96",5
"97",3
"98",6
"99",6
"100",5
"101",5
"102",5
"103",2
"104",2
"105",3
"106",2
"107",2
"108",3
"109",3
"110",2
"111",3
"112",4
"113",2
"114",2
"115",2
"116",2
"117",3
"118",2
"119",3
"120",2
"121",3
"122",3
"123",3
"124",2
"125",2
"126",3
"127",2
"128",2
"129",2
"130",1
"131",2
"132",2
"133",4
"134",2
"135",2
"136",2
"137",2
"138",2
"139",1
"140",2
"141",1
"142",1
"143",1
"144",2
"145",1
"146",1
"147",2
"148",1
"149",2
"150",2
"151",3
"152",2
"153",2
"154",2
"155",2
"156",2
"157",1
"158",6
"159",4
"160",4
"161",5
"162",6
"163",6
"164",6
"165",3
"166",4
"167",6
"168",4
"169",4
"170",3
"171",2
"172",2
"173",4
"174",4
"175",3
"176",5
"177",4
"178",4
"179",5
"180",6
"181",6
"182",6
"183",6
"184",5
"185",5
"186",5
"187",6
"188",5
"189",5
"190",6
"191",6
"192",5
"193",6
"194",5
"195",5
"196",6
"197",5
"198",5
"199",6
"200",6
"201",5
"202",4
"203",6
"204",6
"205",6
"206",3
"207",4
"208",3
"209",4
"210",3
"211",3
"212",2
"213",3
"214",5
"215",4
"216",4
"217",4
"218",5
"219",3
"220",4
"221",5
"222",3
"223",5
"224",5
"225",6
"226",6
"227",6
"228",5
"229",6
"230",5
"231",4
"232",5
"233",6
"234",6
"235",5
"236",4
"237",4
"238",5
"239",4
"240",4
"241",3
"242",3
"243",3
"244",4
"245",2
"246",2
"247",4
"248",3
"249",4
"250",5
"251",4
"252",4
"253",5
"254",6
"255",3
"256",3
"257",6
"258",6
"259",6
"260",5
"261",5
"262",6
"263",6
"264",5
"265",6
"266",4
"267",5
"268",6
"269",6
"270",3
"271",3
"272",4
"273",4
"274",6
"275",5
"276",5
"277",5
"278",5
"279",5
"280",6
"281",6
"282",6
"283",6
"284",6
"285",5
"286",3
"287",3
"288",4
"289",3
"290",4
"291",5
"292",6
"293",5
"294",4
"295",3
"296",5
"297",5
"298",3
"299",3
"300",5
"301",4
"302",3
"303",5
"304",5
"305",6
"306",5
"307",5
"308",5
"309",4
"310",3
"311",2
"312",3
"313",2
"314",3
"315",4
"316",2
"317",2
"318",3
"319",4
"320",3
"321",4
"322",4
"323",3
"324",2
"325",4
"326",4
"327",4
"328",3
"329",2
"330",3
"331",3
"332",2
"333",2
"334",3
"335",3
"336",3
"337",2
"338",2
"339",3
"340",2
"341",2
"342",5
"343",2
"344",4
"345",5
"346",2
"347",2
"348",4
"349",4
"350",5
"351",4
"352",4
"353",2
"354",5
"355",2
"356",3
"357",2
"358",3
"359",3
"360",3
"361",4
"362",3
"363",3
"364",2
"365",3
"366",5
"367",3
"368",4
"369",6
"370",6
"371",6
"372",6
"373",6
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",4
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",5
"409",2
"410",5
"411",1
"412",2
"413",2
"414",2
"415",1
"416",1
"417",1
"418",1
"419",1
"420",1
"421",2
"422",1
"423",3
"424",1
"425",1
"426",1
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",2
"434",1
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",2
"443",2
"444",2
"445",1
"446",1
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",2
"454",2
"455",1
"456",1
"457",1
"458",1
"459",1
"460",3
"461",2
"462",2
"463",2
"464",3
"465",3
"466",3
"467",2
"468",2
"469",2
"470",3
"471",3
"472",2
"473",4
"474",5
"475",1
"476",1
"477",2
"478",1
"479",1
"480",3
"481",4
"482",4
"483",4
"484",3
"485",3
"486",3
"487",2
"488",3
"489",1
"490",1
"491",1
"492",1
"493",3
"494",3
"495",4
"496",4
"497",3
"498",2
"499",3
"500",2
"501",2
"502",3
"503",3
"504",4
"505",3
"506",1
