"","x"
"1",5
"2",5
"3",5
"4",5
"5",5
"6",4
"7",4
"8",2
"9",2
"10",4
"11",2
"12",3
"13",4
"14",3
"15",3
"16",3
"17",4
"18",3
"19",4
"20",3
"21",2
"22",3
"23",2
"24",1
"25",3
"26",2
"27",3
"28",2
"29",4
"30",3
"31",2
"32",3
"33",1
"34",1
"35",2
"36",3
"37",3
"38",4
"39",3
"40",5
"41",5
"42",5
"43",4
"44",4
"45",4
"46",4
"47",4
"48",3
"49",2
"50",3
"51",4
"52",4
"53",5
"54",4
"55",4
"56",5
"57",5
"58",5
"59",4
"60",4
"61",4
"62",3
"63",4
"64",5
"65",5
"66",5
"67",5
"68",4
"69",3
"70",4
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",3
"79",3
"80",3
"81",4
"82",4
"83",5
"84",4
"85",4
"86",5
"87",3
"88",4
"89",5
"90",6
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",3
"98",6
"99",6
"100",6
"101",3
"102",3
"103",2
"104",1
"105",3
"106",1
"107",3
"108",3
"109",1
"110",1
"111",3
"112",3
"113",3
"114",2
"115",3
"116",2
"117",3
"118",3
"119",2
"120",3
"121",3
"122",1
"123",2
"124",2
"125",3
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",2
"144",1
"145",1
"146",1
"147",1
"148",2
"149",1
"150",1
"151",1
"152",2
"153",2
"154",1
"155",2
"156",2
"157",2
"158",6
"159",2
"160",2
"161",2
"162",6
"163",6
"164",6
"165",1
"166",1
"167",6
"168",2
"169",2
"170",2
"171",2
"172",2
"173",3
"174",5
"175",4
"176",5
"177",3
"178",5
"179",5
"180",5
"181",6
"182",4
"183",6
"184",6
"185",3
"186",4
"187",6
"188",5
"189",5
"190",5
"191",5
"192",5
"193",6
"194",5
"195",5
"196",6
"197",6
"198",5
"199",5
"200",5
"201",5
"202",5
"203",5
"204",6
"205",6
"206",4
"207",4
"208",3
"209",3
"210",2
"211",3
"212",3
"213",3
"214",4
"215",2
"216",4
"217",3
"218",3
"219",2
"220",5
"221",5
"222",3
"223",5
"224",4
"225",6
"226",6
"227",6
"228",5
"229",6
"230",4
"231",3
"232",6
"233",6
"234",6
"235",5
"236",3
"237",5
"238",6
"239",5
"240",4
"241",5
"242",4
"243",4
"244",5
"245",3
"246",3
"247",4
"248",4
"249",4
"250",4
"251",4
"252",5
"253",5
"254",6
"255",5
"256",4
"257",6
"258",6
"259",6
"260",6
"261",6
"262",6
"263",6
"264",5
"265",6
"266",4
"267",4
"268",6
"269",6
"270",3
"271",3
"272",4
"273",4
"274",6
"275",6
"276",5
"277",6
"278",5
"279",5
"280",6
"281",6
"282",5
"283",6
"284",6
"285",5
"286",5
"287",5
"288",4
"289",5
"290",5
"291",5
"292",6
"293",5
"294",4
"295",4
"296",4
"297",4
"298",3
"299",5
"300",5
"301",5
"302",5
"303",5
"304",5
"305",5
"306",5
"307",6
"308",5
"309",5
"310",3
"311",3
"312",4
"313",3
"314",3
"315",3
"316",3
"317",3
"318",3
"319",3
"320",4
"321",4
"322",4
"323",4
"324",3
"325",4
"326",4
"327",4
"328",3
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",3
"338",3
"339",3
"340",3
"341",3
"342",6
"343",5
"344",5
"345",5
"346",4
"347",4
"348",5
"349",5
"350",5
"351",5
"352",5
"353",4
"354",5
"355",5
"356",5
"357",2
"358",1
"359",2
"360",1
"361",1
"362",1
"363",1
"364",3
"365",6
"366",1
"367",1
"368",1
"369",1
"370",3
"371",3
"372",1
"373",2
"374",1
"375",1
"376",1
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
"415",1
"416",1
"417",1
"418",1
"419",1
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",1
"427",2
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",1
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",1
"445",1
"446",1
"447",1
"448",1
"449",1
"450",1
"451",1
"452",1
"453",1
"454",1
"455",1
"456",1
"457",1
"458",1
"459",1
"460",1
"461",1
"462",1
"463",1
"464",1
"465",1
"466",2
"467",1
"468",1
"469",1
"470",2
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
"481",3
"482",3
"483",1
"484",3
"485",3
"486",3
"487",1
"488",3
"489",1
"490",1
"491",1
"492",1
"493",1
"494",3
"495",3
"496",3
"497",2
"498",3
"499",3
"500",3
"501",1
"502",3
"503",3
"504",6
"505",4
"506",3
