"","x"
"1",5
"2",4
"3",5
"4",5
"5",5
"6",4
"7",3
"8",2
"9",1
"10",2
"11",2
"12",3
"13",3
"14",3
"15",2
"16",3
"17",3
"18",2
"19",2
"20",2
"21",1
"22",2
"23",2
"24",1
"25",2
"26",1
"27",2
"28",1
"29",2
"30",2
"31",1
"32",2
"33",1
"34",1
"35",1
"36",3
"37",3
"38",3
"39",3
"40",5
"41",6
"42",5
"43",4
"44",4
"45",3
"46",3
"47",3
"48",2
"49",1
"50",2
"51",3
"52",3
"53",5
"54",4
"55",1
"56",5
"57",4
"58",5
"59",3
"60",3
"61",2
"62",2
"63",4
"64",4
"65",4
"66",5
"67",3
"68",3
"69",2
"70",3
"71",4
"72",3
"73",4
"74",4
"75",4
"76",3
"77",3
"78",3
"79",3
"80",3
"81",5
"82",4
"83",4
"84",4
"85",4
"86",4
"87",3
"88",4
"89",5
"90",5
"91",4
"92",4
"93",5
"94",5
"95",4
"96",4
"97",3
"98",6
"99",6
"100",5
"101",3
"102",4
"103",2
"104",2
"105",3
"106",2
"107",2
"108",2
"109",3
"110",2
"111",3
"112",4
"113",2
"114",2
"115",3
"116",2
"117",3
"118",3
"119",2
"120",3
"121",3
"122",3
"123",2
"124",2
"125",2
"126",3
"127",1
"128",1
"129",2
"130",1
"131",2
"132",2
"133",2
"134",2
"135",1
"136",2
"137",2
"138",2
"139",1
"140",2
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",3
"152",2
"153",3
"154",2
"155",3
"156",2
"157",1
"158",5
"159",4
"160",3
"161",5
"162",6
"163",6
"164",6
"165",3
"166",3
"167",6
"168",3
"169",4
"170",4
"171",3
"172",3
"173",3
"174",4
"175",4
"176",5
"177",4
"178",5
"179",5
"180",5
"181",6
"182",4
"183",5
"184",5
"185",3
"186",3
"187",6
"188",5
"189",5
"190",6
"191",5
"192",5
"193",6
"194",5
"195",5
"196",6
"197",6
"198",5
"199",6
"200",5
"201",5
"202",4
"203",6
"204",6
"205",6
"206",3
"207",3
"208",2
"209",3
"210",1
"211",3
"212",2
"213",3
"214",4
"215",1
"216",4
"217",4
"218",4
"219",3
"220",5
"221",5
"222",3
"223",5
"224",5
"225",6
"226",6
"227",6
"228",5
"229",6
"230",5
"231",3
"232",5
"233",6
"234",6
"235",5
"236",4
"237",5
"238",5
"239",5
"240",5
"241",4
"242",3
"243",3
"244",5
"245",2
"246",1
"247",3
"248",3
"249",3
"250",4
"251",4
"252",4
"253",4
"254",5
"255",3
"256",3
"257",6
"258",6
"259",6
"260",5
"261",5
"262",6
"263",6
"264",5
"265",5
"266",4
"267",4
"268",6
"269",6
"270",4
"271",3
"272",5
"273",4
"274",6
"275",6
"276",6
"277",6
"278",6
"279",5
"280",6
"281",6
"282",6
"283",6
"284",6
"285",5
"286",4
"287",2
"288",4
"289",4
"290",4
"291",6
"292",5
"293",5
"294",4
"295",4
"296",5
"297",5
"298",3
"299",5
"300",5
"301",5
"302",4
"303",5
"304",6
"305",5
"306",5
"307",6
"308",5
"309",5
"310",3
"311",2
"312",4
"313",3
"314",4
"315",4
"316",3
"317",2
"318",2
"319",3
"320",3
"321",4
"322",4
"323",3
"324",3
"325",4
"326",4
"327",4
"328",3
"329",3
"330",4
"331",3
"332",3
"333",3
"334",4
"335",3
"336",3
"337",3
"338",3
"339",3
"340",3
"341",3
"342",5
"343",3
"344",4
"345",5
"346",2
"347",2
"348",4
"349",4
"350",3
"351",3
"352",3
"353",2
"354",4
"355",2
"356",2
"357",2
"358",3
"359",3
"360",2
"361",3
"362",2
"363",2
"364",2
"365",6
"366",1
"367",2
"368",1
"369",3
"370",5
"371",5
"372",3
"373",3
"374",1
"375",1
"376",3
"377",1
"378",2
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",2
"392",2
"393",1
"394",2
"395",2
"396",2
"397",2
"398",1
"399",1
"400",1
"401",1
"402",2
"403",2
"404",1
"405",1
"406",1
"407",1
"408",2
"409",1
"410",1
"411",1
"412",1
"413",1
"414",1
"415",1
"416",1
"417",1
"418",1
"419",1
"420",1
"421",2
"422",2
"423",2
"424",1
"425",1
"426",1
"427",2
"428",1
"429",1
"430",1
"431",2
"432",1
"433",3
"434",2
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",2
"443",2
"444",2
"445",1
"446",1
"447",2
"448",2
"449",2
"450",2
"451",1
"452",2
"453",2
"454",2
"455",1
"456",1
"457",1
"458",1
"459",2
"460",2
"461",2
"462",3
"463",2
"464",3
"465",3
"466",2
"467",1
"468",2
"469",2
"470",2
"471",2
"472",3
"473",3
"474",3
"475",2
"476",1
"477",2
"478",1
"479",2
"480",2
"481",3
"482",4
"483",4
"484",3
"485",3
"486",3
"487",2
"488",3
"489",1
"490",1
"491",1
"492",1
"493",2
"494",3
"495",3
"496",2
"497",1
"498",2
"499",3
"500",2
"501",2
"502",3
"503",3
"504",4
"505",4
"506",3
