"","x"
"1",5
"2",3
"3",5
"4",6
"5",6
"6",5
"7",2
"8",1
"9",1
"10",2
"11",2
"12",4
"13",2
"14",3
"15",2
"16",3
"17",3
"18",2
"19",2
"20",2
"21",1
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",3
"30",2
"31",1
"32",2
"33",1
"34",2
"35",1
"36",3
"37",2
"38",3
"39",3
"40",4
"41",5
"42",5
"43",4
"44",4
"45",3
"46",3
"47",2
"48",3
"49",2
"50",2
"51",3
"52",3
"53",4
"54",3
"55",2
"56",5
"57",4
"58",5
"59",4
"60",2
"61",2
"62",2
"63",4
"64",5
"65",5
"66",4
"67",3
"68",3
"69",2
"70",3
"71",4
"72",3
"73",4
"74",4
"75",4
"76",3
"77",3
"78",3
"79",3
"80",3
"81",4
"82",4
"83",4
"84",4
"85",3
"86",5
"87",3
"88",3
"89",5
"90",4
"91",3
"92",3
"93",4
"94",4
"95",3
"96",5
"97",3
"98",6
"99",6
"100",6
"101",3
"102",5
"103",3
"104",3
"105",3
"106",2
"107",2
"108",3
"109",2
"110",3
"111",3
"112",5
"113",2
"114",2
"115",3
"116",2
"117",3
"118",3
"119",2
"120",3
"121",3
"122",3
"123",2
"124",2
"125",2
"126",3
"127",2
"128",2
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",2
"137",2
"138",2
"139",2
"140",1
"141",1
"142",1
"143",2
"144",1
"145",1
"146",2
"147",2
"148",2
"149",1
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",5
"159",5
"160",2
"161",4
"162",6
"163",6
"164",6
"165",2
"166",3
"167",6
"168",2
"169",3
"170",4
"171",2
"172",2
"173",2
"174",3
"175",4
"176",4
"177",4
"178",4
"179",5
"180",5
"181",6
"182",3
"183",6
"184",5
"185",5
"186",3
"187",6
"188",5
"189",4
"190",5
"191",5
"192",5
"193",6
"194",5
"195",5
"196",6
"197",6
"198",5
"199",5
"200",5
"201",6
"202",3
"203",6
"204",6
"205",6
"206",3
"207",3
"208",3
"209",3
"210",2
"211",3
"212",3
"213",3
"214",4
"215",2
"216",3
"217",3
"218",4
"219",3
"220",3
"221",5
"222",2
"223",5
"224",4
"225",6
"226",6
"227",6
"228",5
"229",6
"230",5
"231",3
"232",5
"233",6
"234",6
"235",5
"236",4
"237",5
"238",5
"239",4
"240",4
"241",5
"242",3
"243",4
"244",4
"245",2
"246",2
"247",3
"248",2
"249",4
"250",4
"251",4
"252",4
"253",5
"254",6
"255",3
"256",2
"257",6
"258",6
"259",6
"260",5
"261",5
"262",6
"263",6
"264",6
"265",5
"266",2
"267",5
"268",6
"269",6
"270",3
"271",3
"272",4
"273",4
"274",5
"275",5
"276",5
"277",5
"278",5
"279",4
"280",5
"281",6
"282",5
"283",6
"284",6
"285",5
"286",4
"287",3
"288",4
"289",4
"290",3
"291",5
"292",5
"293",5
"294",3
"295",3
"296",5
"297",4
"298",3
"299",4
"300",5
"301",5
"302",4
"303",4
"304",5
"305",5
"306",5
"307",5
"308",5
"309",5
"310",3
"311",3
"312",4
"313",3
"314",4
"315",4
"316",2
"317",3
"318",3
"319",3
"320",3
"321",4
"322",4
"323",4
"324",2
"325",4
"326",4
"327",4
"328",3
"329",3
"330",4
"331",3
"332",2
"333",4
"334",3
"335",3
"336",3
"337",2
"338",2
"339",3
"340",3
"341",2
"342",6
"343",3
"344",5
"345",5
"346",2
"347",2
"348",4
"349",5
"350",5
"351",4
"352",5
"353",3
"354",5
"355",3
"356",2
"357",1
"358",3
"359",3
"360",3
"361",3
"362",3
"363",3
"364",3
"365",6
"366",3
"367",2
"368",3
"369",6
"370",6
"371",6
"372",3
"373",3
"374",1
"375",1
"376",5
"377",1
"378",1
"379",1
"380",1
"381",1
"382",1
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",2
"395",1
"396",2
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",2
"409",1
"410",2
"411",2
"412",1
"413",1
"414",1
"415",1
"416",1
"417",1
"418",1
"419",1
"420",1
"421",2
"422",1
"423",3
"424",1
"425",2
"426",1
"427",3
"428",2
"429",1
"430",1
"431",1
"432",1
"433",3
"434",1
"435",2
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",2
"445",1
"446",1
"447",2
"448",2
"449",2
"450",1
"451",1
"452",1
"453",1
"454",2
"455",1
"456",2
"457",2
"458",2
"459",2
"460",3
"461",1
"462",3
"463",3
"464",2
"465",3
"466",3
"467",1
"468",1
"469",2
"470",3
"471",2
"472",3
"473",3
"474",3
"475",1
"476",2
"477",1
"478",1
"479",2
"480",3
"481",3
"482",4
"483",4
"484",3
"485",3
"486",3
"487",3
"488",3
"489",1
"490",1
"491",1
"492",1
"493",3
"494",2
"495",3
"496",3
"497",2
"498",3
"499",3
"500",3
"501",3
"502",5
"503",1
"504",5
"505",5
"506",3
