"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,5,3,4,3
"2",2,2,1,1,3,2,3,1,1,3,2,2,2,3,5,5,2,2,2
"3",1,2,2,2,2,3,2,5,2,2,2,3,2,4,2,3,5,2,2
"4",1,1,2,2,3,2,1,2,2,3,2,1,1,3,2,3,2,2,3
"5",1,2,2,2,3,2,5,2,2,2,4,2,3,5,3,5,2,2,3
"6",1,2,2,3,3,2,3,1,1,3,2,2,1,2,3,2,1,2,2
"7",2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,5
"8",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
"9",2,1,2,2,2,5,5,2,2,2,2,2,2,2,2,3,1,2,2
"10",1,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,3
"11",2,3,1,2,2,2,2,1,1,3,1,2,2,3,2,2,2,2,3
"12",2,2,1,3,3,2,1,1,2,3,2,2,1,2,2,3,2,2,2
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2
"14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"15",1,1,2,1,5,2,2,2,3,3,5,3,2,2,2,5,2,5,1
"16",1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,2,1
"17",1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
"18",1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2
"19",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1
"20",1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1
"21",1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,2,1,2,2
"22",1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,2
"23",2,1,2,1,2,2,2,2,2,1,1,5,2,2,1,2,3,2,2
"24",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2
"25",1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2
