"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,2,2,2,2,2,2,2,3,2,5,2,2,2,1,4,2,3,3
"2",2,3,1,1,1,3,2,2,3,3,2,2,2,1,3,3,2,1,3
"3",1,2,2,3,2,2,5,2,2,5,5,3,2,2,2,4,3,2,3
"4",1,1,2,2,2,2,3,2,1,3,2,3,2,2,2,2,2,2,3
"5",1,3,1,3,2,2,2,2,5,2,3,5,2,2,3,2,2,2,3
"6",1,1,2,2,2,2,2,2,3,2,3,2,2,2,3,1,2,3,2
"7",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"8",1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,5,2,2
"9",2,1,2,2,2,2,2,2,2,3,2,5,5,5,2,2,2,5,3
"10",1,2,2,2,2,2,3,2,2,2,3,2,5,5,2,2,2,2,2
"11",2,3,3,2,2,2,1,1,2,2,2,3,1,2,2,2,2,2,3
"12",2,2,2,3,1,3,1,2,2,2,2,3,1,2,2,2,2,2,3
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
"14",1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,1,2
"15",1,2,1,2,2,1,2,5,3,3,2,2,5,5,2,2,2,2,2
"16",1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2
"17",1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1
"18",1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1
"19",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
"20",1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1
"21",1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2
"22",1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2
"23",2,2,1,2,2,2,2,2,2,1,3,2,1,1,2,1,2,2,3
"24",1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2
"25",1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
"27",1,2,2,2,2,2,2,1,3,2,2,2,1,2,1,2,1,1,2
"28",1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1
"29",1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2
"30",2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,2
"31",2,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,2
"32",2,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1
"33",2,1,1,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2
"34",1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2
"35",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1
"36",2,2,1,2,1,2,2,2,3,2,3,2,2,1,5,2,2,1,1
"37",1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1
"38",1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1
"39",2,2,2,2,2,2,1,2,1,3,2,1,5,1,5,5,3,1,2
"40",1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
"41",3,1,5,1,1,2,2,1,2,5,3,2,2,2,2,2,2,2,1
"42",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1
"43",1,1,2,1,2,5,2,2,3,2,2,2,2,2,5,5,2,1,2
"44",1,2,1,2,1,1,2,1,2,3,2,2,1,1,2,1,1,1,1
"45",2,2,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1
"46",1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2
"47",3,1,1,2,1,3,1,1,2,1,2,1,2,2,1,1,1,2,1
"48",2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2
"49",2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2
"50",1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2
"51",1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2
"52",1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2
"53",1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,2
"54",2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1
"55",2,1,1,1,3,1,1,2,1,1,2,2,1,1,1,2,1,1,3
"56",2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1
"57",1,2,2,2,1,3,1,1,2,1,2,2,1,1,2,1,1,1,1
"58",1,1,2,3,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1
"59",1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1
"60",1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,1
"61",2,2,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1
"62",1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2
"63",1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1
"64",2,2,2,2,3,1,2,2,2,2,2,1,3,2,1,1,3,2,1
"65",2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2
"66",2,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2
"67",1,2,2,2,2,1,2,3,1,5,1,1,2,1,2,2,3,2,1
"68",1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1
"69",2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1
"70",1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1
"71",2,2,1,5,1,3,2,5,1,1,2,5,5,2,1,2,2,3,2
"72",1,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,2,2,3
"73",1,2,2,2,1,5,5,3,3,2,1,1,1,3,5,5,2,2,1
"74",1,5,2,3,2,1,1,2,1,2,1,5,2,2,3,1,2,1,2
"75",1,1,2,2,3,2,2,1,2,3,1,2,2,2,1,1,2,2,2
"76",2,2,2,1,1,5,1,1,1,1,1,2,3,2,2,1,2,2,2
"77",3,2,4,2,2,2,2,2,4,2,2,3,4,5,3,5,2,3,4
"78",2,2,4,2,2,3,3,2,2,4,5,3,5,2,3,4,4,5,5
"79",2,5,2,2,3,2,2,3,3,3,5,2,3,3,2,2,2,2,2
"80",3,1,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,2
"81",2,2,1,2,2,3,2,2,3,2,2,2,5,3,2,2,3,2,2
"82",3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,5
"83",2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,3,3,4
"84",3,3,2,2,2,3,3,2,3,2,2,3,4,2,3,3,2,3,5
"85",2,3,2,2,3,2,2,3,2,3,3,3,2,3,2,5,5,3,3
"86",2,5,5,2,4,3,3,3,2,5,3,2,2,3,2,1,5,2,2
"87",2,2,2,3,2,2,2,5,2,3,2,3,2,3,2,3,2,2,3
"88",3,2,2,2,3,2,3,2,2,2,2,5,2,2,2,3,3,3,3
"89",1,2,1,2,3,1,3,2,2,2,3,2,3,3,2,3,2,3,2
"90",3,2,3,3,2,2,3,2,5,5,2,3,3,5,2,2,3,2,2
"91",2,3,3,2,2,2,2,2,2,3,2,5,4,5,3,3,3,2,2
"92",2,2,2,2,2,3,3,2,2,3,3,3,2,2,2,3,3,2,2
"93",2,2,2,2,3,3,2,2,3,3,2,2,2,3,4,2,5,2,2
"94",2,2,2,2,2,3,2,3,3,2,2,5,2,2,2,3,4,3,2
"95",2,1,2,2,5,3,4,5,3,3,2,3,2,2,2,2,1,5,2
"96",3,2,1,1,3,1,2,2,3,3,2,2,3,3,2,2,1,3,2
"97",2,3,2,2,2,2,2,2,4,3,3,2,2,1,5,2,2,2,2
"98",2,2,2,5,2,3,4,5,3,2,1,3,2,2,2,3,2,5,2
"99",1,2,2,3,2,2,1,2,5,2,2,2,2,3,2,2,2,3,3
"100",4,2,4,2,2,3,2,2,3,3,2,3,3,3,3,2,3,3,3
"101",2,2,2,2,3,3,3,3,3,3,2,2,3,2,4,4,2,2,2
"102",3,5,2,3,2,2,3,3,3,3,2,3,3,2,3,3,2,5,4
"103",2,2,2,2,2,3,2,4,2,3,4,2,2,4,3,4,4,2,4
"104",2,2,2,2,2,2,3,2,4,4,3,4,4,2,2,3,3,4,2
"105",2,2,2,2,2,2,4,2,2,3,2,5,4,3,4,4,3,3,3
"106",2,5,2,2,4,2,2,3,3,2,3,4,4,5,5,4,5,3,5
"107",2,5,3,3,4,4,5,5,2,2,2,4,2,2,3,2,3,3,2
"108",2,4,4,3,3,2,2,4,2,2,2,2,5,5,2,2,2,2,2
"109",2,4,4,3,2,3,2,2,2,2,4,2,3,2,2,2,2,4,4
"110",2,4,4,3,4,3,3,4,2,2,2,2,4,3,2,2,4,4,2
"111",4,3,4,1,2,2,2,2,3,2,2,2,2,2,2,5,2,1,3
"112",2,3,3,2,2,2,2,2,4,3,3,2,3,3,2,2,3,2,2
"113",2,3,2,4,2,2,2,3,2,2,2,2,5,3,2,3,3,2,2
"114",2,4,5,3,5,2,3,2,2,4,3,3,2,2,2,2,2,2,2
"115",2,2,4,2,5,2,2,4,3,2,2,4,3,3,3,2,2,2,2
"116",4,4,3,3,2,5,2,2,3,3,3,2,3,3,2,2,2,3,4
"117",2,3,3,3,3,5,2,3,2,3,2,2,2,3,3,5,2,2,2
"118",2,3,2,3,3,2,3,5,2,2,5,2,2,5,2,3,3,3,5
"119",3,2,3,2,3,3,5,2,3,2,2,2,2,5,2,3,3,3,5
"120",3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,5,3,3
"121",5,3,2,3,3,2,3,3,3,3,3,3,3,3,5,3,3,3,3
"122",2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2
"123",2,5,2,2,2,2,3,2,2,5,3,2,2,2,5,2,2,2,2
"124",2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2
"125",2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2
"126",3,2,2,2,3,2,2,2,3,2,2,2,2,3,3,4,4,4,3
"127",2,4,2,3,2,3,2,2,3,2,2,2,2,5,3,3,3,2,2
"128",3,3,2,2,2,2,2,2,5,2,2,5,2,2,2,2,2,2,3
"129",3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"130",4,2,2,4,3,3,2,2,3,2,2,3,3,2,3,4,3,2,5
"131",4,2,2,2,1,2,2,3,4,3,2,2,2,2,3,2,2,2,3
"132",2,5,5,4,2,2,3,2,4,3,3,3,4,3,2,3,2,3,4
"133",2,2,3,2,3,3,2,4,2,2,3,3,2,2,2,2,3,2,3
"134",2,3,4,4,2,2,3,2,2,3,2,3,3,2,3,3,3,3,2
"135",2,1,1,3,1,3,1,2,2,2,2,3,1,2,2,2,3,2,2
"136",2,2,2,2,3,2,2,2,2,3,2,1,2,5,2,2,5,1,5
"137",2,2,2,2,2,3,2,2,2,3,5,2,5,2,2,5,1,2,2
"138",2,2,2,2,2,2,2,1,2,5,5,1,5,2,2,2,2,3,2
"139",2,2,2,2,3,2,1,2,2,5,2,2,3,5,2,2,5,2,3
"140",2,3,2,2,2,2,2,2,3,2,2,5,2,5,2,2,5,5,1
"141",2,2,2,2,3,1,2,5,2,2,5,2,2,2,3,5,2,3,2
"142",2,2,2,2,3,2,2,1,2,5,2,5,2,2,3,2,5,2,3
"143",2,3,2,2,2,2,3,2,2,2,3,2,2,2,5,2,2,2,2
"144",2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,5,2,5
"145",2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,5,5
