"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2
"2",2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"3",1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2
"4",1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"5",1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
"6",2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"7",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"8",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"9",2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2
"10",2,2,2,2,2,2,1,2,2,2,2,2,3,1,2,2,1,2,1
"11",1,2,2,2,2,1,2,3,3,3,2,2,2,2,1,1,2,2,1
"12",2,2,1,2,3,2,3,2,2,3,2,3,2,2,1,2,3,2,1
"13",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"14",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
"15",1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,3
"16",1,1,1,2,2,2,2,2,1,1,2,1,2,2,3,1,1,2,2
"17",1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1
"18",1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,2
"19",1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,3,1,2,3
"20",1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,1,1,2,1
"21",1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2
"22",1,1,1,1,1,2,1,2,3,2,1,1,1,1,1,1,1,2,2
"23",1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
"24",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"28",1,1,1,1,1,3,1,1,2,1,1,1,2,2,2,2,1,2,3
