"","x"
"1",2
"2",2
"3",2
"4",2
"5",2
"6",2
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",2
"78",4
"79",3
"80",2
"81",2
"82",2
"83",3
"84",3
"85",3
"86",2
"87",3
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",1
"95",2
"96",2
"97",2
"98",3
"99",2
"100",3
"101",3
"102",3
"103",4
"104",3
"105",3
"106",2
"107",2
"108",3
"109",3
"110",4
"111",3
"112",3
"113",3
"114",3
"115",3
"116",3
"117",3
"118",3
"119",3
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",3
"127",4
"128",3
"129",4
"130",4
"131",4
"132",3
"133",3
"134",3
"135",1
"136",1
"137",1
"138",2
"139",1
"140",1
"141",2
"142",1
"143",2
"144",3
"145",1
"146",1
"147",1
"148",1
"149",2
"150",2
"151",2
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",2
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",2
"181",1
"182",2
"183",1
"184",1
"185",1
"186",1
"187",1
"188",3
"189",3
"190",2
"191",2
"192",2
"193",2
"194",2
"195",2
"196",3
"197",2
"198",4
"199",3
"200",3
"201",3
"202",2
"203",3
"204",4
"205",4
"206",3
"207",3
"208",3
"209",4
"210",3
"211",4
"212",3
"213",3
"214",3
"215",3
"216",3
"217",3
"218",3
"219",3
"220",2
"221",3
"222",2
"223",2
"224",2
"225",3
"226",3
"227",3
"228",3
"229",3
"230",3
"231",3
"232",3
"233",3
"234",3
"235",4
"236",4
"237",4
"238",3
"239",3
"240",4
"241",3
"242",3
"243",3
"244",3
"245",3
"246",4
"247",3
"248",3
"249",3
"250",2
"251",2
"252",2
"253",1
"254",1
"255",1
"256",2
"257",5
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",1
"270",1
"271",1
"272",1
"273",1
"274",1
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",1
"284",1
"285",1
"286",1
"287",1
"288",1
"289",1
"290",2
"291",1
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",2
"302",2
"303",2
"304",1
"305",2
"306",1
"307",1
"308",2
"309",1
"310",1
"311",2
"312",2
"313",1
"314",3
"315",2
"316",3
"317",4
"318",4
"319",2
"320",3
"321",3
"322",4
"323",4
"324",3
"325",4
"326",4
"327",4
"328",4
"329",4
"330",3
"331",4
"332",4
"333",3
"334",3
"335",3
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",3
"344",3
"345",3
"346",3
"347",1
"348",1
"349",5
"350",1
"351",1
"352",1
"353",3
"354",4
"355",4
"356",4
"357",4
"358",4
"359",2
"360",3
"361",4
"362",4
"363",4
"364",4
"365",4
"366",3
"367",4
"368",3
"369",2
"370",3
"371",2
"372",3
"373",2
"374",3
"375",4
"376",3
"377",3
"378",3
"379",3
"380",3
"381",3
"382",3
"383",3
"384",5
"385",4
"386",4
"387",4
"388",3
"389",3
"390",3
"391",4
"392",4
"393",3
"394",4
"395",4
"396",3
"397",3
"398",4
"399",4
"400",4
"401",4
"402",4
"403",3
"404",4
"405",4
"406",3
"407",3
"408",3
"409",3
"410",4
"411",3
"412",4
"413",4
"414",3
"415",3
"416",4
"417",3
"418",3
"419",4
"420",4
"421",4
"422",4
"423",4
"424",4
"425",3
"426",4
"427",1
"428",1
"429",1
"430",1
"431",1
"432",1
"433",1
"434",1
"435",1
"436",1
"437",2
"438",2
"439",3
"440",4
"441",4
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",4
"450",3
"451",4
"452",4
"453",4
"454",3
"455",4
"456",4
"457",4
"458",4
"459",4
"460",5
"461",5
"462",3
"463",5
"464",4
"465",4
"466",4
"467",4
"468",4
"469",4
"470",4
"471",4
"472",4
"473",4
"474",4
"475",4
"476",4
"477",5
"478",5
"479",5
"480",5
"481",5
"482",4
"483",4
"484",4
"485",4
"486",4
"487",5
"488",5
"489",3
"490",5
"491",5
"492",4
"493",4
"494",5
"495",4
"496",5
"497",5
"498",4
"499",4
"500",4
"501",4
"502",1
"503",5
"504",2
"505",1
"506",2
