"","x"
"1",2
"2",2
"3",2
"4",1
"5",2
"6",2
"7",2
"8",1
"9",2
"10",2
"11",2
"12",2
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",2
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",2
"31",2
"32",2
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",2
"52",1
"53",2
"54",2
"55",1
"56",1
"57",2
"58",1
"59",2
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",2
"67",2
"68",2
"69",2
"70",2
"71",2
"72",2
"73",2
"74",1
"75",1
"76",2
"77",2
"78",2
"79",2
"80",2
"81",2
"82",2
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",2
"93",2
"94",2
"95",2
"96",2
"97",2
"98",2
"99",2
"100",2
"101",2
"102",2
"103",2
"104",2
"105",2
"106",2
"107",2
"108",2
"109",2
"110",2
"111",2
"112",2
"113",2
"114",2
"115",3
"116",2
"117",2
"118",2
"119",2
"120",2
"121",3
"122",2
"123",2
"124",2
"125",2
"126",2
"127",3
"128",2
"129",2
"130",2
"131",2
"132",3
"133",2
"134",2
"135",2
"136",2
"137",2
"138",2
"139",2
"140",2
"141",2
"142",2
"143",2
"144",3
"145",2
"146",2
"147",2
"148",2
"149",2
"150",2
"151",2
"152",2
"153",2
"154",2
"155",2
"156",2
"157",2
"158",2
"159",2
"160",2
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",1
"173",1
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",2
"196",2
"197",3
"198",3
"199",2
"200",2
"201",2
"202",2
"203",2
"204",3
"205",2
"206",2
"207",2
"208",2
"209",3
"210",2
"211",3
"212",2
"213",2
"214",3
"215",3
"216",3
"217",2
"218",2
"219",3
"220",2
"221",2
"222",2
"223",2
"224",2
"225",2
"226",2
"227",2
"228",3
"229",2
"230",2
"231",3
"232",2
"233",2
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",2
"241",2
"242",2
"243",3
"244",2
"245",2
"246",3
"247",2
"248",2
"249",2
"250",2
"251",2
"252",2
"253",2
"254",2
"255",2
"256",2
"257",3
"258",2
"259",1
"260",2
"261",2
"262",2
"263",2
"264",1
"265",2
"266",2
"267",2
"268",2
"269",2
"270",2
"271",2
"272",2
"273",2
"274",2
"275",2
"276",2
"277",2
"278",2
"279",2
"280",2
"281",2
"282",2
"283",2
"284",2
"285",2
"286",2
"287",2
"288",2
"289",2
"290",2
"291",2
"292",1
"293",2
"294",2
"295",2
"296",2
"297",2
"298",2
"299",2
"300",2
"301",2
"302",2
"303",2
"304",2
"305",2
"306",1
"307",2
"308",2
"309",2
"310",2
"311",2
"312",2
"313",2
"314",2
"315",2
"316",3
"317",3
"318",3
"319",2
"320",2
"321",2
"322",3
"323",3
"324",3
"325",3
"326",3
"327",2
"328",3
"329",3
"330",2
"331",3
"332",3
"333",3
"334",3
"335",3
"336",3
"337",3
"338",3
"339",2
"340",3
"341",3
"342",3
"343",3
"344",3
"345",2
"346",2
"347",3
"348",3
"349",3
"350",2
"351",2
"352",2
"353",2
"354",2
"355",3
"356",2
"357",3
"358",3
"359",2
"360",2
"361",3
"362",3
"363",3
"364",3
"365",3
"366",4
"367",2
"368",2
"369",2
"370",2
"371",2
"372",2
"373",2
"374",3
"375",3
"376",3
"377",3
"378",3
"379",3
"380",2
"381",3
"382",3
"383",2
"384",3
"385",3
"386",3
"387",3
"388",3
"389",2
"390",2
"391",3
"392",3
"393",3
"394",3
"395",3
"396",4
"397",3
"398",3
"399",3
"400",4
"401",3
"402",3
"403",2
"404",3
"405",3
"406",2
"407",3
"408",3
"409",4
"410",3
"411",3
"412",3
"413",4
"414",2
"415",2
"416",3
"417",3
"418",3
"419",3
"420",3
"421",3
"422",3
"423",3
"424",3
"425",3
"426",3
"427",2
"428",2
"429",2
"430",2
"431",2
"432",2
"433",2
"434",2
"435",3
"436",3
"437",2
"438",2
"439",2
"440",4
"441",4
"442",4
"443",3
"444",4
"445",4
"446",5
"447",4
"448",4
"449",4
"450",3
"451",4
"452",3
"453",4
"454",3
"455",4
"456",4
"457",4
"458",4
"459",4
"460",5
"461",4
"462",3
"463",4
"464",4
"465",3
"466",4
"467",3
"468",3
"469",3
"470",3
"471",3
"472",3
"473",4
"474",4
"475",4
"476",4
"477",3
"478",5
"479",5
"480",5
"481",5
"482",4
"483",5
"484",5
"485",5
"486",5
"487",5
"488",5
"489",5
"490",5
"491",5
"492",3
"493",4
"494",5
"495",5
"496",5
"497",5
"498",5
"499",5
"500",5
"501",5
"502",5
"503",5
"504",5
"505",2
"506",2
