"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",2,3,5,5,6,5,6,6,2,6,5,5,1,4,3,2,1,6,5
"2",6,6,3,6,6,4,6,4,6,4,6,3,6,6,6,3,5,4,6
"3",6,6,6,6,6,6,6,6,2,6,6,4,6,6,6,6,6,2,6
"4",3,3,3,4,2,1,1,4,5,1,2,3,2,2,3,2,4,3,5
"5",6,2,4,4,2,4,6,5,4,2,6,6,2,4,3,4,2,5,4
"6",3,1,2,4,3,3,3,3,5,1,3,5,1,1,2,6,1,2,6
"7",3,4,5,6,4,3,1,4,5,6,5,4,4,2,2,4,3,3,3
"8",5,5,5,5,4,6,6,1,4,6,3,2,6,1,3,4,6,5,3
"9",6,2,2,2,2,4,3,5,2,4,2,5,3,5,2,4,3,5,2
"10",2,2,1,1,3,2,3,3,3,3,5,1,3,4,5,2,1,2,4
"11",6,6,5,5,3,2,5,5,2,3,3,2,4,3,6,6,1,3,3
"12",3,6,4,4,2,3,2,3,5,1,5,3,3,2,6,4,3,5,1
"13",2,5,2,5,2,4,4,4,5,3,1,4,2,1,5,5,2,5,1
"14",2,3,5,2,4,4,4,5,3,5,1,1,1,3,2,1,4,2,3
"15",5,3,2,4,3,5,6,5,4,5,3,6,2,2,2,2,2,6,6
"16",3,2,1,2,2,5,3,4,2,1,3,2,4,4,2,1,1,1,2
"17",1,1,2,4,3,2,6,3,4,2,5,4,4,2,6,4,4,4,5
"18",2,2,4,3,2,3,1,2,2,3,1,2,4,1,4,3,2,2,1
"19",4,2,4,2,2,1,3,2,5,2,6,3,4,3,5,1,2,4,5
"20",6,3,4,3,3,5,3,5,1,3,4,1,3,3,2,1,3,2,2
"21",3,4,1,1,4,1,3,1,1,2,3,5,2,2,1,2,1,1,1
"22",2,2,3,1,4,4,2,2,1,4,1,3,4,3,4,2,2,1,1
"23",6,5,4,6,4,1,1,6,4,2,3,2,3,3,2,5,4,6,6
"24",4,3,1,3,1,3,4,3,2,1,2,3,1,2,2,3,1,2,3
"25",3,2,4,2,5,2,2,5,3,1,4,2,1,2,3,6,4,2,2
"26",3,2,1,3,1,1,2,4,2,2,3,3,6,2,3,2,3,2,3
"27",1,1,1,1,2,4,4,1,3,1,3,2,2,2,2,2,1,1,4
"28",3,1,1,2,1,1,2,2,2,4,2,1,3,2,3,2,2,1,1
"29",3,2,6,3,1,3,2,4,2,3,4,3,2,4,3,4,1,3,3
"30",2,3,2,5,5,1,1,1,1,3,4,3,4,3,4,1,1,3,4
"31",1,1,1,3,4,2,2,4,6,2,3,6,6,1,3,1,3,4,4
"32",3,2,1,1,2,1,2,2,1,3,3,3,4,3,5,2,2,4,3
"33",1,2,1,1,3,3,2,2,2,1,2,3,2,1,2,3,1,1,2
"34",1,4,5,2,1,1,4,4,1,2,1,2,3,2,1,3,1,4,2
"35",4,6,6,3,1,6,2,1,5,3,5,2,2,4,3,3,3,2,6
"36",2,2,1,3,3,1,6,3,3,3,3,1,6,2,3,3,5,1,1
"37",2,1,2,3,5,2,3,3,2,3,1,4,1,2,4,2,2,3,2
"38",5,2,4,4,1,3,2,5,3,1,2,1,4,1,2,2,1,3,3
"39",1,2,3,5,1,2,1,2,2,1,2,6,1,2,2,3,4,4,3
"40",5,4,2,2,3,1,3,4,3,1,2,4,5,5,1,3,2,2,2
"41",2,4,4,1,1,1,2,4,3,3,3,4,1,3,1,2,2,2,2
"42",1,3,3,1,2,3,2,1,4,4,1,4,2,1,5,1,2,5,6
"43",1,1,1,2,2,5,4,4,3,4,1,3,1,3,4,1,1,1,2
"44",2,3,1,1,2,2,2,1,2,4,2,4,2,3,1,3,3,1,4
"45",3,2,2,6,4,4,1,1,4,2,1,4,5,1,1,1,4,2,3
"46",6,2,4,4,3,2,3,4,1,3,3,4,3,2,5,4,6,3,6
"47",2,5,1,4,2,4,1,2,4,4,4,1,3,4,3,4,1,3,1
"48",3,1,5,5,3,1,1,3,3,5,3,2,2,4,1,3,2,1,2
"49",3,1,2,3,2,1,3,2,1,3,4,2,2,3,3,1,1,1,2
"50",2,4,3,2,4,3,1,3,3,2,2,4,3,2,2,3,3,2,3
"51",3,2,2,6,2,4,3,2,3,3,2,3,2,3,1,3,3,3,2
"52",2,4,2,4,2,3,3,2,3,1,3,2,5,2,1,3,2,5,2
"53",3,1,1,1,1,3,3,3,3,4,3,4,3,1,3,3,1,3,4
"54",2,1,2,3,2,2,2,3,3,2,3,1,4,4,3,3,1,2,2
"55",2,2,2,2,3,1,2,1,2,2,4,2,3,3,3,3,4,3,3
"56",2,2,3,6,1,1,2,3,5,2,1,3,2,1,3,1,2,2,3
"57",3,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,3,2,4
"58",4,3,5,1,2,3,3,2,3,6,2,1,2,6,3,2,4,2,4
"59",3,3,2,1,1,2,1,2,2,1,1,3,2,2,1,3,3,1,3
"60",1,2,2,1,3,1,1,2,5,1,3,3,6,1,3,1,4,2,3
"61",1,3,4,3,2,3,3,3,2,2,2,3,2,1,2,2,3,5,5
"62",3,2,3,2,1,4,2,2,3,2,2,1,4,3,1,2,4,5,3
"63",1,1,2,3,4,2,2,4,4,1,1,1,2,4,2,1,3,2,1
"64",1,1,2,3,1,1,4,5,4,5,6,6,3,5,1,2,1,3,2
"65",1,3,2,3,1,1,3,2,6,6,2,4,2,2,3,1,4,1,2
"66",1,3,3,2,3,3,1,2,1,3,1,3,3,2,4,3,1,1,2
"67",3,5,1,2,2,2,2,3,1,2,4,1,2,2,2,3,2,2,3
"68",1,1,2,1,2,3,1,2,3,2,2,3,3,3,3,2,2,2,1
"69",2,3,3,2,1,6,2,3,4,2,6,2,1,2,1,5,2,1,4
"70",2,2,3,2,2,3,2,3,3,3,2,2,1,2,2,3,2,3,2
"71",2,1,2,4,2,2,1,1,1,3,4,2,3,3,6,5,4,5,3
"72",2,2,4,2,3,3,1,2,3,2,2,2,2,1,1,2,3,1,3
"73",1,2,4,2,1,2,1,2,2,2,1,1,2,2,1,2,3,3,2
"74",2,2,1,1,2,2,2,6,2,3,5,6,4,4,1,3,2,1,6
"75",2,2,2,2,2,2,4,2,2,6,2,2,1,6,2,1,5,3,1
"76",2,2,2,2,1,3,3,2,6,6,1,2,3,3,4,2,3,5,4
"77",4,3,4,2,2,5,4,4,3,3,2,1,5,1,2,5,1,1,2
"78",1,2,1,2,1,3,3,3,2,2,3,2,1,1,3,4,2,3,2
"79",1,3,1,1,3,1,2,2,2,2,1,2,2,3,1,3,3,4,4
"80",3,5,3,4,4,3,4,3,4,3,3,5,2,2,1,1,1,2,2
"81",1,2,2,3,3,2,2,4,3,1,1,3,3,3,3,2,1,1,3
"82",1,1,3,1,2,2,2,3,2,2,1,1,2,1,3,2,3,1,4
"83",3,3,2,1,1,6,1,2,2,1,1,1,3,1,2,2,2,3,3
"84",2,4,3,3,3,3,2,1,3,1,2,3,2,2,2,3,1,3,2
"85",2,2,1,2,4,2,3,1,2,2,1,2,2,3,3,1,4,2,1
"86",1,4,1,4,6,2,5,3,5,2,2,4,3,1,4,4,2,4,1
"87",6,2,2,4,4,6,2,2,3,2,2,1,2,3,2,4,4,2,3
"88",4,6,4,2,1,2,4,2,4,2,2,4,2,3,1,2,1,4,2
"89",2,3,2,1,2,3,1,2,5,4,3,3,2,2,3,3,2,1,4
"90",3,1,2,4,2,1,1,2,1,2,2,1,1,1,2,2,2,2,3
"91",3,3,1,2,2,3,3,3,1,3,2,1,2,2,3,2,3,1,3
"92",2,2,3,2,2,6,2,2,2,2,3,2,1,2,3,2,3,2,2
"93",2,1,2,2,1,3,2,2,3,1,2,5,2,2,1,2,2,1,1
"94",3,2,2,2,3,2,1,2,2,3,2,1,2,1,1,1,4,4,2
"95",3,2,2,2,3,3,2,3,2,4,2,1,1,3,3,3,3,3,3
"96",3,4,4,3,4,3,4,3,4,3,3,4,3,4,2,2,5,2,3
"97",4,5,4,6,3,4,6,3,5,4,2,5,6,6,2,3,4,4,3
"98",6,3,2,1,3,1,3,1,1,2,1,1,1,1,2,3,2,1,1
"99",4,4,3,3,1,2,6,6,3,4,3,5,3,4,3,2,6,5,4
"100",4,3,4,2,6,4,2,6,2,2,2,4,4,2,4,3,3,5,4
"101",4,3,4,3,3,4,4,5,3,4,4,4,3,2,6,2,3,2,3
"102",3,4,3,4,2,3,4,3,3,2,2,2,4,3,5,4,2,4,2
"103",3,3,5,5,6,3,2,3,5,5,5,4,2,1,5,2,1,1,3
"104",2,3,1,2,2,5,2,6,3,1,5,2,3,2,2,5,1,3,4
"105",3,4,3,3,3,5,4,2,4,3,4,3,3,4,3,6,4,4,2
"106",6,4,6,3,2,2,5,4,4,3,5,4,3,2,4,4,3,3,6
"107",6,6,6,4,6,1,4,5,6,1,4,6,3,6,3,1,2,6,1
