"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",3,2,5,2,2,5,6,5,1,6,5,5,4,1,2,6,3,3,2
"2",6,6,6,4,3,6,4,3,6,6,6,6,3,2,2,6,5,6,6
"3",6,6,6,6,6,5,6,2,6,2,6,4,6,3,6,6,6,2,6
"4",3,3,4,3,1,2,1,4,1,4,3,2,3,3,3,1,4,5,3
"5",2,4,4,6,2,2,5,3,5,4,6,3,4,4,5,1,6,3,5
"6",4,3,3,2,3,1,3,2,3,1,6,1,3,2,2,5,2,1,3
"7",5,3,6,4,3,6,6,5,2,4,1,2,1,4,2,5,4,5,4
"8",6,5,4,5,5,5,1,5,6,3,3,6,4,6,1,6,6,4,3
"9",2,6,2,2,2,2,4,5,5,4,5,3,5,3,2,3,2,3,5
"10",2,3,3,1,3,3,4,5,3,4,1,3,2,4,1,5,4,3,2
"11",5,5,6,3,3,1,1,3,1,2,2,1,2,2,4,1,3,3,3
"12",3,4,6,2,3,2,2,2,1,2,6,3,2,1,2,1,2,5,3
"13",5,5,5,2,4,2,1,4,5,1,4,3,2,5,2,3,4,6,3
"14",2,3,4,3,3,5,3,4,5,1,1,2,3,4,1,2,1,2,3
"15",2,5,2,4,3,5,2,5,4,4,3,5,5,2,3,3,6,2,2
"16",3,1,3,2,3,1,2,1,2,1,2,2,2,2,4,3,3,2,4
"17",2,4,1,1,2,6,4,2,3,2,4,4,5,6,3,4,4,4,2
"18",2,3,2,4,2,3,2,1,6,3,4,3,2,4,2,1,3,3,4
"19",5,4,4,2,3,6,5,2,1,5,2,2,3,2,2,3,5,2,1
"20",4,5,4,5,3,3,3,3,4,3,2,1,3,1,2,2,4,2,3
"21",1,1,3,2,4,1,3,2,4,5,1,1,4,1,2,1,3,3,3
"22",1,2,1,4,1,2,4,2,1,3,4,1,3,4,4,2,3,1,2
"23",4,6,5,6,1,4,3,1,5,2,4,6,3,2,3,6,1,4,1
"24",4,3,3,1,1,4,2,1,2,1,1,2,3,3,1,3,2,3,3
"25",3,2,5,3,4,5,4,1,1,3,2,2,3,3,2,4,2,2,4
"26",4,3,1,3,2,2,1,4,1,2,1,2,6,3,2,3,1,2,2
"27",2,1,1,4,4,2,1,1,3,1,3,1,2,1,1,3,2,2,1
"28",3,2,1,2,1,3,1,4,2,4,1,3,2,2,2,2,2,2,3
"29",3,2,3,1,3,2,3,4,1,2,4,6,2,1,4,3,2,3,3
"30",1,5,1,2,2,1,4,3,1,4,4,1,3,4,3,1,3,4,4
"31",3,2,1,3,3,2,1,4,2,3,3,1,1,4,4,6,4,3,2
"32",2,3,1,3,1,2,1,3,1,5,2,3,3,4,1,2,3,2,4
"33",1,2,1,2,3,2,2,1,2,1,2,1,1,1,2,2,2,2,3
"34",4,3,5,2,2,4,1,4,1,2,2,1,1,3,2,3,2,2,5
"35",4,6,1,2,2,1,6,5,3,3,5,2,3,2,6,3,4,2,1
"36",2,3,3,3,1,2,4,3,3,5,3,1,2,1,1,3,4,2,2
"37",1,2,3,3,1,2,4,3,1,1,3,2,3,3,2,2,1,1,3
"38",5,2,1,1,4,4,1,5,4,4,3,4,1,3,1,2,3,2,3
"39",1,3,5,1,1,1,2,2,1,2,6,1,1,4,6,3,3,4,2
"40",5,2,2,3,4,3,3,1,1,4,5,2,2,2,2,3,2,2,2
"41",4,4,1,4,1,2,1,2,2,3,2,1,3,2,4,2,2,2,3
"42",3,1,3,3,2,1,4,4,4,2,5,5,2,2,2,1,2,1,2
"43",1,2,1,3,2,5,4,1,4,1,1,2,1,2,1,4,1,3,5
"44",2,1,3,1,4,2,2,4,2,4,2,2,2,3,1,2,3,2,1
"45",3,4,6,3,2,1,1,5,4,1,5,2,1,1,4,4,3,1,2
"46",4,2,1,4,3,5,6,3,4,2,3,3,2,2,4,1,2,4,4
"47",2,5,2,4,2,1,2,1,1,4,5,4,1,2,1,5,4,1,2
"48",1,3,3,3,5,3,5,1,4,2,3,5,2,3,3,2,1,1,2
"49",3,1,3,2,1,2,3,1,2,2,4,1,2,3,1,1,4,1,1
"50",2,4,3,2,3,2,4,1,3,2,2,3,2,2,5,2,3,2,5
"51",2,2,4,2,6,2,2,3,4,3,3,2,3,2,3,3,2,4,3
"52",1,4,2,3,3,2,2,1,2,2,2,3,1,5,3,4,2,2,5
"53",2,3,1,1,3,1,3,1,3,3,1,4,3,4,3,1,3,4,1
"54",1,1,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,3,2
"55",2,2,2,1,3,2,2,2,2,3,2,4,3,2,3,1,1,1,1
"56",2,2,3,1,1,3,1,5,2,3,1,3,1,3,6,3,2,2,1
"57",3,3,2,1,1,2,1,1,1,2,3,2,1,3,1,3,2,1,4
