"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",6,5,6,5,4,6,5,5,6,5,4,6,3,5,6,4,6,4,5
"2",6,6,5,5,4,5,4,4,5,5,4,5,6,5,6,5,4,4,5
"3",6,6,6,6,6,5,5,6,5,6,5,6,6,4,4,5,6,6,3
"4",4,6,6,4,4,4,4,5,6,5,4,4,4,2,4,6,6,4,4
"5",3,4,3,3,4,3,6,3,3,3,4,3,4,4,3,4,6,4,2
"6",3,3,3,3,3,3,1,2,1,2,4,2,3,4,3,3,1,3,5
"7",4,3,4,4,4,3,3,3,4,4,5,5,4,5,5,5,4,6,3
"8",6,3,3,6,5,3,6,2,4,5,5,5,5,5,5,4,4,5,6
"9",4,2,4,2,4,2,4,2,2,2,3,3,3,1,5,4,2,2,3
"10",4,3,6,3,4,6,6,5,5,6,6,4,5,2,4,5,5,5,4
"11",3,3,2,3,2,3,4,3,2,3,3,4,3,2,4,5,4,4,6
"12",4,4,3,4,3,6,6,6,3,5,5,4,5,5,4,3,4,6,6
"13",3,3,3,3,4,2,4,3,4,4,2,2,3,3,6,3,4,2,2
"14",1,2,2,3,2,3,2,3,1,3,4,3,1,2,2,3,2,2,3
"15",5,4,2,4,2,2,5,2,5,5,2,3,6,2,2,3,3,4,2
"16",2,2,2,1,3,2,4,2,2,1,2,3,2,1,5,2,1,3,2
"17",2,2,4,3,2,3,3,3,1,2,3,3,4,3,3,2,4,2,2
"18",3,2,2,2,2,2,2,1,4,2,5,4,3,2,3,3,3,3,2
"19",2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"20",3,3,2,3,2,3,2,4,3,3,5,3,2,6,2,3,6,1,3
"21",2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,2,3,1
"22",1,1,1,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,2
"23",3,2,2,2,2,2,2,3,4,2,2,2,2,2,6,2,2,3,3
"24",2,2,2,2,2,3,2,2,2,2,4,2,3,2,2,3,3,3,2
"25",2,3,4,2,1,3,2,2,3,3,2,3,3,4,3,3,2,2,2
"26",1,3,2,1,3,1,1,4,3,2,3,1,2,2,3,1,1,2,2
"27",2,3,2,6,3,2,2,5,3,1,2,1,2,3,3,2,2,3,2
"28",2,2,2,4,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2
"29",2,2,2,2,2,2,2,2,3,4,2,3,2,2,3,2,2,2,2
"30",3,1,3,2,1,1,2,1,1,3,2,1,2,1,1,2,6,2,1
"31",2,2,2,2,2,2,2,4,2,2,1,2,1,2,2,2,2,2,2
"32",2,2,2,2,3,2,2,2,2,2,3,4,6,4,2,3,2,3,2
"33",2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2
"34",1,2,2,2,2,2,2,1,1,2,2,3,2,3,1,6,2,2,2
"35",2,4,3,5,5,5,6,5,2,3,4,4,3,6,5,4,2,3,3
"36",1,2,2,2,1,1,2,1,2,1,2,3,3,1,1,2,4,1,2
"37",1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,4,2,2,6
"38",2,2,2,2,2,2,6,1,1,2,2,2,2,2,4,1,2,2,3
"39",3,3,3,3,3,4,3,4,5,3,3,6,3,6,3,3,4,3,2
"40",3,5,5,2,2,5,6,5,6,6,5,3,4,2,2,4,2,5,5
"41",2,2,2,2,2,4,2,2,2,3,2,2,3,3,2,1,3,2,3
"42",1,1,2,1,1,1,2,4,2,2,2,2,1,2,1,3,3,2,4
"43",1,1,1,2,1,2,2,2,3,2,1,2,2,1,2,3,1,2,1
"44",4,3,3,3,2,1,3,5,3,2,3,3,1,3,3,4,3,4,1
"45",3,2,3,3,4,3,3,2,2,3,2,3,3,2,3,2,4,6,2
"46",3,2,3,3,3,2,2,4,4,2,3,4,4,2,3,3,3,3,2
"47",2,2,2,3,2,2,3,1,1,4,1,3,5,2,2,2,1,4,3
"48",2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,2,3,2,2
"49",1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,3
"50",2,2,2,2,1,1,1,1,1,3,2,2,2,2,2,2,2,2,3
"51",3,5,1,2,2,2,2,6,2,2,4,2,2,1,1,3,2,1,2
"52",1,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
"53",1,2,3,2,3,2,3,1,4,2,2,4,2,5,1,5,3,1,3
"54",2,4,2,4,1,2,2,2,6,2,3,2,2,2,2,1,2,2,2
"55",1,1,2,2,1,2,4,1,3,2,2,2,1,2,2,2,1,2,2
"56",1,1,2,1,1,2,2,2,1,1,2,4,4,4,2,2,2,6,3
"57",2,1,1,2,2,4,2,3,2,2,2,2,1,2,2,1,2,4,1
"58",1,1,1,2,1,2,1,1,1,4,2,2,2,1,2,1,1,3,2
"59",1,2,2,1,2,2,2,2,2,1,2,2,3,2,2,3,2,2,2
"60",6,1,2,2,3,1,2,6,2,3,3,2,2,3,6,1,2,6,1
"61",2,3,3,3,2,2,3,3,3,3,3,3,4,3,4,3,4,3,3
"62",6,5,6,4,5,2,5,2,4,4,3,4,4,5,3,4,6,4,6
"63",2,2,1,2,1,3,2,3,1,1,2,3,1,1,2,1,2,2,2
"64",1,1,1,1,2,2,2,2,3,1,1,2,2,1,4,1,1,2,2
"65",2,2,3,2,1,1,2,1,2,3,3,6,1,1,2,1,2,1,2
"66",1,1,1,2,2,1,1,1,1,2,2,3,1,2,2,3,1,1,4
"67",2,1,1,1,1,2,2,1,2,3,2,3,2,1,3,1,2,2,2
"68",3,3,2,2,1,3,3,3,6,3,6,3,2,1,3,2,3,5,3
"69",2,2,3,2,2,2,1,6,1,2,3,6,2,2,2,2,2,4,2
"70",2,2,1,3,1,2,2,2,3,2,3,4,1,2,3,3,3,2,4
"71",2,2,2,1,5,4,1,1,1,1,1,5,2,5,2,2,1,2,3
"72",1,2,1,2,1,2,3,2,1,1,1,1,1,1,2,2,1,2,2
"73",1,2,2,1,3,2,1,1,1,1,1,1,2,2,2,2,3,1,2
"74",2,4,2,2,2,6,2,2,6,1,1,3,2,1,3,1,3,2,1
"75",2,1,2,5,2,2,2,4,2,1,2,1,2,2,5,2,2,1,3
"76",2,5,2,2,1,2,2,2,2,1,2,1,2,2,4,1,3,2,2
"77",2,2,3,2,2,2,2,2,4,2,3,1,1,2,3,2,4,2,1
"78",2,2,2,1,1,2,3,3,2,3,2,1,2,2,3,1,1,1,1
"79",1,3,1,2,1,3,2,2,1,2,1,3,2,1,1,2,1,1,1
"80",2,2,2,3,1,2,1,3,1,3,1,1,1,2,2,2,2,1,2
"81",2,2,2,3,2,3,2,2,1,1,2,1,2,2,1,1,1,1,3
"82",2,6,2,2,2,2,2,2,1,3,1,2,2,2,2,4,3,1,1
"83",2,6,2,2,2,1,1,3,2,2,1,4,2,2,6,2,2,2,1
"84",1,6,1,2,2,2,1,2,2,2,3,1,1,3,2,1,6,2,1
"85",1,1,2,1,1,1,2,3,2,2,1,2,2,3,2,2,2,1,1
"86",1,1,3,2,2,3,2,3,1,2,1,1,2,1,3,2,2,4,3
"87",2,2,1,1,2,1,1,3,3,1,1,1,1,2,1,2,2,2,2
"88",2,2,1,3,2,2,1,2,2,2,3,1,2,2,2,2,3,1,3
"89",2,3,1,1,1,2,1,2,1,3,2,6,6,1,4,2,2,1,2
"90",2,6,2,2,1,1,2,2,2,2,2,2,2,2,3,4,4,1,1
"91",1,1,2,1,2,2,3,3,2,1,2,2,2,2,2,2,2,3,1
"92",6,2,2,2,1,2,1,2,6,2,1,1,1,1,1,1,2,2,1
"93",2,2,6,6,1,2,1,2,1,2,1,3,1,2,2,1,1,1,1
"94",3,2,3,2,2,1,2,3,3,2,1,3,4,2,5,3,4,2,3
"95",1,1,2,2,1,2,2,2,2,2,2,4,3,2,2,3,2,4,2
"96",4,3,3,4,3,3,3,4,3,4,4,4,3,1,3,2,4,3,5
"97",4,6,3,3,6,3,5,2,5,3,4,2,2,2,3,3,4,5,5
"98",5,2,1,1,1,1,2,2,2,2,2,2,1,3,3,2,1,2,1
"99",3,6,3,4,4,3,2,2,1,3,3,2,1,4,4,2,3,4,2
"100",5,3,3,4,4,4,2,4,3,5,3,6,3,2,3,2,3,2,3
"101",3,6,2,6,4,3,4,3,3,5,2,4,3,3,5,2,2,2,2
"102",5,3,4,6,2,4,5,5,3,3,3,6,3,4,3,3,4,4,3
"103",3,2,1,5,3,2,3,3,1,2,3,3,3,3,3,2,2,1,2
"104",5,6,2,4,3,5,5,6,5,5,3,5,6,2,4,6,4,2,5
"105",3,3,4,6,4,3,2,3,4,2,4,5,5,4,3,5,4,3,3
"106",4,3,4,4,6,5,4,6,4,4,3,4,5,6,4,4,4,5,4
"107",3,4,5,6,3,6,6,3,3,4,3,6,5,3,2,5,4,3,6
"108",6,4,4,6,3,5,3,4,3,6,3,3,3,3,4,3,3,5,3
"109",4,6,3,6,4,6,4,3,4,4,5,3,5,6,3,6,5,5,6
"110",4,4,3,4,4,4,2,6,4,5,3,3,4,4,4,3,2,4,3
"111",4,4,4,6,4,6,5,6,5,4,6,4,4,4,6,5,4,4,5
"112",4,2,4,3,5,3,4,3,3,3,3,3,4,3,4,3,3,2,3
"113",3,3,3,4,3,4,4,4,2,2,2,6,2,2,3,4,3,4,3
"114",3,4,5,3,3,5,2,6,3,6,4,3,6,5,4,4,3,5,3
"115",6,2,4,3,3,2,4,2,2,2,2,3,3,3,4,5,3,3,2
"116",3,2,6,3,3,3,3,6,2,5,4,3,5,6,4,2,3,1,3
"117",3,4,3,5,5,4,4,4,4,4,6,2,2,3,3,5,2,3,4
"118",5,6,5,6,5,6,3,6,3,5,6,6,6,6,6,5,3,6,3
"119",5,6,5,5,4,5,6,6,5,5,3,3,6,4,5,4,6,6,5
"120",6,4,3,4,4,5,4,4,2,5,5,4,4,5,5,5,6,4,6
"121",6,4,5,4,6,5,3,5,4,4,4,6,5,5,5,5,5,4,6
"122",4,3,5,4,2,2,4,3,6,2,4,2,3,6,3,2,2,2,2
"123",5,5,5,6,6,6,5,5,5,5,5,6,5,6,5,4,4,6,5
"124",5,6,4,6,5,6,6,4,5,4,5,5,6,5,5,5,6,3,6
"125",5,4,5,5,6,6,6,5,6,6,6,6,5,3,5,6,6,6,6
"126",6,5,4,4,6,5,3,4,6,3,6,6,5,4,3,5,3,3,2
"127",5,5,6,6,4,5,6,5,6,4,6,5,6,6,5,5,6,5,4
"128",5,5,5,6,5,4,5,4,5,6,5,4,5,5,4,6,5,5,5
"129",6,6,4,6,6,6,5,6,5,6,6,5,6,3,5,6,6,5,5
"130",4,5,6,3,5,3,6,5,4,5,3,4,4,3,3,5,4,3,4
"131",4,6,5,4,5,5,5,6,5,5,5,5,3,6,6,6,6,6,4
"132",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"133",5,6,4,6,6,6,6,5,5,6,6,6,6,6,5,4,5,4,5
"134",5,6,6,5,6,5,5,6,5,5,6,5,6,6,5,4,4,5,5
"135",5,6,6,6,6,4,6,6,6,5,6,6,6,6,5,3,6,6,6
"136",4,5,6,6,6,6,6,6,6,6,4,6,5,6,5,6,6,6,5
"137",3,4,6,3,5,4,6,3,5,3,5,4,5,6,6,5,6,4,5
"138",6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,5,5,5,3
"139",6,5,6,5,3,3,4,6,4,3,6,3,5,6,5,6,6,4,5
"140",4,6,5,5,6,5,5,5,5,5,4,6,5,4,4,5,6,6,5
"141",4,4,3,4,6,6,3,4,6,2,3,5,6,5,5,4,5,3,5
"142",5,5,5,5,5,6,5,6,4,6,6,6,5,6,6,6,3,6,5
"143",5,6,6,5,6,5,4,5,5,4,6,5,5,5,5,6,4,6,5
"144",5,5,4,3,6,2,5,3,2,6,5,5,2,6,5,4,4,4,6
"145",3,2,3,2,4,2,2,3,4,2,2,2,3,2,3,2,2,2,2
"146",6,4,5,2,4,4,4,4,4,4,4,6,4,4,4,4,4,3,6
"147",6,6,5,4,6,6,5,6,5,4,6,4,5,6,6,4,5,5,4
"148",2,2,4,3,2,3,4,4,4,6,5,4,3,2,2,3,3,4,4
"149",3,2,3,2,2,3,2,2,4,4,2,3,4,6,4,3,3,4,4
"150",3,4,5,5,4,4,6,4,4,6,4,4,3,5,6,4,4,3,4
"151",4,4,4,3,4,3,4,5,4,4,4,3,6,3,4,4,6,3,4
"152",4,4,6,6,6,5,3,5,5,5,4,5,5,4,5,6,3,6,6
"153",3,5,4,3,3,3,3,6,6,6,4,6,3,3,3,4,2,4,5
"154",4,4,3,6,4,5,6,6,5,3,4,3,4,4,4,4,4,4,4
"155",6,6,6,6,6,6,6,5,4,5,6,6,6,5,4,6,5,5,5
"156",6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,4
"157",4,5,5,5,5,6,4,6,5,6,6,5,6,6,6,5,6,6,6
"158",6,6,5,5,6,4,4,6,4,4,5,6,5,6,6,5,4,4,5
"159",5,6,6,4,6,6,5,5,6,6,4,6,6,6,6,5,5,5,6
"160",4,3,6,3,3,3,3,6,2,4,3,2,5,4,3,4,2,3,3
"161",2,3,2,2,1,2,2,1,1,2,3,3,1,3,3,2,4,2,2
"162",3,6,3,3,3,2,5,6,3,5,5,3,4,5,3,3,2,4,5
"163",4,3,6,4,5,3,4,5,2,4,4,4,5,5,4,4,6,3,5
"164",4,3,6,4,6,6,3,4,3,6,2,2,6,6,5,5,4,5,5
"165",5,3,3,4,3,5,6,4,4,5,2,5,6,6,3,4,3,2,5
"166",2,2,2,3,2,2,4,4,2,2,4,5,3,3,5,4,4,5,2
"167",1,2,3,2,1,2,1,1,3,1,2,2,1,1,2,1,2,2,2
"168",1,6,2,2,5,1,3,6,2,3,3,1,3,4,3,3,2,1,3
"169",1,2,2,1,2,2,2,2,1,1,2,2,2,3,3,6,3,2,1
"170",2,2,2,1,2,2,2,2,1,2,3,2,2,3,2,1,2,4,2
"171",2,1,2,3,2,2,6,2,2,1,2,1,1,1,3,2,3,3,2
"172",2,2,2,2,3,1,2,1,2,2,3,2,3,1,2,3,2,3,2
"173",2,3,3,1,2,3,2,2,2,4,1,2,2,1,2,3,2,2,1
"174",3,3,4,1,1,1,3,2,1,2,2,4,2,2,1,2,2,2,3
"175",2,2,2,4,1,6,1,2,2,2,1,2,3,2,3,2,2,3,3
"176",2,2,2,2,2,3,1,2,2,3,1,2,2,2,3,3,3,4,2
"177",2,2,2,2,2,2,2,1,3,3,2,3,1,2,3,3,2,1,2
"178",5,2,3,2,2,2,4,3,4,2,5,5,2,2,1,4,2,2,3
"179",2,2,3,3,2,3,2,5,3,4,6,2,2,3,1,2,1,3,6
"180",2,3,4,3,3,4,3,2,3,2,2,3,4,2,4,2,2,2,3
"181",6,5,3,2,2,3,5,5,2,2,5,2,6,5,2,5,5,5,2
"182",1,3,3,1,1,1,3,1,2,4,2,2,2,1,2,2,3,4,2
