"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",6,5,6,4,6,6,6,6,6,4,6,6,6,6,6,5,4,6,6
"2",6,5,5,5,6,5,5,5,6,5,4,5,6,5,3,5,5,4,4
"3",6,6,6,5,6,4,5,6,6,5,4,5,6,5,6,6,4,6,5
"4",6,4,5,4,4,4,4,6,2,5,6,4,4,5,4,4,3,6,4
"5",3,4,6,6,3,4,4,3,2,3,4,3,3,3,4,4,4,4,3
"6",3,3,3,3,1,3,3,3,4,1,2,3,2,3,2,4,3,3,3
"7",4,3,4,5,5,4,6,2,4,3,5,3,5,3,4,4,3,5,2
"8",5,5,5,3,3,6,5,6,6,4,6,5,6,3,3,2,5,5,3
"9",3,2,2,2,1,2,3,2,1,2,1,2,2,1,2,2,3,1,1
"10",4,6,6,3,4,6,5,4,3,6,4,3,4,5,3,4,6,6,5
"11",2,5,3,3,3,4,2,4,3,2,4,3,5,3,4,3,3,3,6
"12",3,5,6,3,4,5,6,4,5,6,6,6,5,6,6,5,3,3,6
"13",3,2,3,6,4,2,4,5,2,3,3,3,5,3,3,3,2,6,3
"14",1,2,1,2,2,3,3,2,2,2,3,4,3,3,2,2,6,4,1
"15",5,3,4,5,2,4,2,4,2,2,2,2,5,3,2,2,2,1,2
"16",2,2,2,2,2,2,4,3,4,2,2,5,3,3,1,1,1,2,3
"17",3,2,2,2,3,3,4,3,3,3,1,3,4,4,3,3,2,2,3
"18",2,3,5,2,2,2,3,4,2,4,2,2,3,3,2,2,1,2,2
"19",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6,2,2
"20",3,2,2,3,2,3,5,2,3,2,3,3,3,3,2,3,2,3,2
"21",1,2,2,3,1,1,1,2,2,2,1,1,1,1,1,2,2,1,2
"22",1,2,1,1,1,2,2,2,1,1,3,1,1,2,3,2,1,2,2
"23",2,2,3,2,2,2,4,2,2,3,2,2,2,2,6,2,2,2,2
"24",2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,1,2,2,3
"25",2,4,2,6,3,1,3,3,4,3,2,3,3,2,3,2,2,2,3
"26",1,3,3,3,3,1,3,2,3,2,2,1,1,4,3,3,3,3,1
"27",2,2,2,2,3,2,2,1,2,2,3,3,5,3,3,3,4,2,6
"28",2,2,2,2,2,2,4,2,2,2,2,3,2,2,1,2,2,3,2
"29",2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,2,2
"30",2,2,3,1,1,2,1,1,2,6,1,3,1,1,3,6,4,1,2
"31",2,2,2,2,1,2,2,2,2,2,2,4,2,6,2,2,2,2,2
"32",2,2,2,2,2,4,2,4,2,2,4,1,2,3,2,2,3,2,2
"33",1,2,2,2,2,3,2,2,1,1,3,2,2,1,1,2,1,2,2
"34",2,1,1,2,1,3,2,2,2,2,1,2,6,2,2,1,2,2,1
"35",3,2,5,2,4,4,5,5,5,2,6,6,5,6,3,5,3,2,2
"36",2,1,2,2,1,1,1,1,2,2,2,1,2,2,3,1,4,1,3
"37",1,2,2,2,2,4,6,2,2,1,1,3,1,4,1,2,2,2,2
"38",4,2,2,6,2,1,4,1,2,2,2,2,2,2,2,3,2,1,2
"39",3,6,4,4,4,3,3,2,6,3,3,3,3,5,3,2,5,3,3
"40",5,5,5,2,2,5,5,6,6,6,3,3,2,4,2,5,2,5,3
"41",2,2,2,2,2,2,4,2,3,1,2,3,4,2,3,2,3,2,2
"42",1,2,1,1,1,2,1,1,1,1,1,2,2,4,2,3,3,2,1
"43",1,1,1,1,1,2,1,1,2,2,2,2,4,6,2,1,2,3,3
"44",4,3,3,1,3,3,2,2,3,5,3,1,4,3,3,2,3,2,4
"45",4,2,2,2,3,3,3,3,6,2,3,2,3,3,2,3,4,3,3
"46",3,2,4,4,5,3,3,2,3,3,3,4,4,6,2,2,3,3,2
"47",2,2,2,3,4,2,1,2,4,2,2,5,2,3,2,2,3,2,1
"48",2,1,2,2,1,1,1,2,2,1,3,1,1,2,2,3,1,2,2
"49",1,2,2,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,3
"50",3,3,1,1,3,2,2,2,3,2,1,2,2,2,2,3,2,2,1
"51",5,1,3,2,2,2,2,2,2,1,1,1,2,2,1,2,1,1,2
"52",1,2,2,3,1,1,2,2,1,1,2,1,1,3,3,2,2,1,3
"53",1,1,1,1,2,2,1,3,2,1,1,1,1,5,3,2,1,2,2
"54",2,4,2,2,4,1,2,1,2,2,2,1,1,2,4,2,2,2,2
"55",1,1,2,2,1,1,2,4,1,3,2,1,1,1,2,3,2,2,3
"56",1,1,1,2,2,2,2,2,1,1,2,3,1,1,2,3,2,2,4
"57",1,1,2,2,1,2,2,1,2,2,1,2,1,3,2,1,2,2,4
"58",1,2,1,4,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2
"59",2,3,2,2,2,1,1,2,2,1,1,2,1,6,4,2,2,2,2
"60",6,2,5,1,2,1,1,1,2,3,2,6,2,2,1,2,2,3,4
"61",5,3,3,3,4,5,2,4,2,6,2,3,3,2,3,2,3,4,5
"62",6,4,4,6,4,3,6,2,4,5,4,4,4,4,4,3,3,4,6
"63",2,2,1,1,1,2,6,1,4,1,2,2,2,2,1,2,1,2,1
"64",1,1,1,1,2,2,1,2,1,2,1,4,2,3,2,2,1,2,2
"65",2,2,3,1,2,4,3,1,3,2,2,2,2,3,2,3,1,2,3
"66",1,1,1,1,2,2,1,2,2,3,2,1,1,2,4,1,2,2,6
"67",2,1,1,2,2,2,1,1,4,2,1,2,1,2,2,1,1,3,1
"68",1,2,2,3,2,4,3,3,2,4,1,2,2,2,2,1,3,3,2
"69",2,3,1,2,3,3,1,2,2,1,3,1,2,2,2,1,6,2,2
"70",2,2,2,1,1,1,2,2,2,1,1,2,3,2,1,1,1,2,3
"71",2,2,2,3,2,2,2,3,1,3,1,2,1,2,3,1,2,2,1
"72",1,2,1,1,1,2,1,3,3,1,2,2,1,1,2,1,1,1,1
"73",1,1,1,1,2,2,3,1,2,1,2,2,1,2,1,1,4,2,2
"74",1,1,1,2,2,2,2,2,1,2,6,2,3,1,2,1,1,1,1
"75",3,6,2,4,3,2,1,3,4,2,3,2,3,6,2,2,3,1,2
"76",5,2,2,1,2,1,2,2,3,1,2,2,1,4,2,1,1,1,3
"77",2,2,2,2,3,3,2,1,1,2,2,3,3,2,3,3,3,4,3
"78",2,2,2,2,4,1,1,1,1,2,2,3,1,1,1,1,2,1,4
"79",1,2,5,1,2,3,1,1,1,2,1,2,2,2,3,2,2,3,1
"80",3,3,1,1,1,2,1,2,3,2,3,1,2,2,2,1,2,1,2
"81",2,2,3,2,3,2,1,1,3,2,2,1,4,2,1,1,2,1,1
"82",6,1,2,2,2,2,2,1,2,1,2,1,3,4,3,2,1,2,1
"83",2,6,2,3,1,3,2,2,2,2,1,2,1,2,1,1,3,1,3
"84",1,6,2,1,2,2,4,1,2,2,2,2,1,1,1,2,1,3,1
"85",1,1,3,1,1,1,1,2,3,2,2,1,3,1,2,2,3,2,1
"86",1,3,3,2,4,2,2,1,4,6,1,1,2,3,2,3,2,2,2
"87",1,3,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,1,1
"88",1,2,1,1,1,2,1,1,2,3,2,2,3,1,1,3,1,2,1
"89",1,1,1,2,1,2,1,1,2,2,2,3,1,2,2,2,1,2,2
"90",2,2,1,1,2,2,2,2,6,2,2,2,2,2,2,1,2,1,3
"91",1,1,2,1,2,2,3,3,2,3,4,2,2,2,3,1,3,2,3
"92",1,1,1,2,1,1,6,2,2,1,2,2,4,1,1,2,2,2,1
"93",2,2,6,2,2,1,6,2,1,2,3,1,1,1,1,2,2,1,1
"94",2,3,2,3,3,2,3,1,5,4,2,2,2,3,3,3,4,3,3
"95",2,1,2,2,2,1,2,1,3,4,1,2,2,1,4,4,2,2,1
"96",4,2,3,4,4,3,4,4,2,3,4,3,2,3,3,2,2,3,3
"97",4,3,1,5,3,2,6,6,2,2,3,4,4,4,3,2,4,3,5
"98",2,1,2,5,3,2,1,5,5,3,2,2,1,2,2,2,2,1,1
"99",3,2,1,1,2,2,4,2,1,2,4,6,2,2,3,1,3,6,2
"100",3,5,3,3,5,2,4,3,2,1,5,1,5,4,3,1,4,2,2
"101",3,6,2,4,2,4,3,6,1,3,5,2,1,4,2,4,5,2,2
"102",3,5,4,5,3,6,2,2,3,2,4,4,4,2,2,3,3,4,6
"103",2,2,2,2,1,2,4,1,1,3,3,3,3,2,3,4,2,3,2
"104",6,4,5,2,5,5,2,3,3,3,5,4,2,3,2,5,4,3,6
"105",3,4,6,4,5,5,4,5,3,3,4,2,4,1,4,4,2,2,3
"106",4,4,4,4,4,6,6,4,5,4,4,6,5,4,2,4,4,4,5
"107",4,5,4,3,3,6,3,4,5,4,3,6,6,3,2,6,3,3,6
"108",6,5,3,4,3,4,3,6,5,3,4,5,3,3,4,3,6,3,6
"109",4,6,6,6,6,6,5,4,5,3,6,6,6,5,4,5,4,6,6
"110",4,3,4,3,2,4,4,4,4,3,3,3,5,3,3,3,4,4,2
"111",6,4,6,4,4,4,5,3,4,4,6,4,4,5,5,5,6,2,4
"112",4,3,3,4,3,3,2,2,1,4,3,3,4,3,5,6,3,4,4
"113",3,3,2,2,2,2,3,4,4,3,4,3,1,6,2,3,3,2,3
"114",5,5,5,3,4,4,6,3,6,6,4,3,4,6,3,3,5,3,4
"115",2,4,2,3,3,2,3,2,3,2,4,4,3,3,2,4,6,2,2
"116",2,2,3,6,3,3,3,3,3,4,2,3,3,2,4,2,4,2,2
"117",4,5,5,6,3,4,4,3,2,2,3,2,5,2,3,4,2,3,3
"118",6,5,5,6,6,5,6,3,6,6,4,6,1,5,6,6,6,4,2
"119",5,5,6,5,6,5,4,5,5,6,5,6,4,5,5,4,6,6,6
"120",6,5,4,6,5,5,4,6,5,4,6,6,6,3,5,6,5,3,5
"121",6,4,6,4,5,5,6,4,5,4,5,6,5,4,4,5,5,3,5
"122",3,5,2,2,3,3,6,4,5,5,5,5,3,3,4,4,1,3,4
"123",6,6,6,5,4,5,5,4,5,4,6,6,6,6,6,3,4,6,6
"124",5,6,4,4,4,5,4,4,6,5,5,6,6,4,6,6,5,3,3
"125",5,5,5,5,6,6,5,4,6,6,6,5,4,6,6,5,5,4,5
"126",6,5,4,6,4,4,4,6,3,2,3,4,3,5,5,3,5,3,4
"127",6,6,6,5,5,5,4,5,6,3,5,4,5,6,5,6,5,5,6
"128",4,4,6,6,5,6,5,5,4,5,5,6,4,5,5,5,5,6,5
"129",6,6,6,6,4,6,6,5,6,5,5,5,6,6,6,6,6,5,6
"130",3,4,5,4,5,4,3,6,3,6,4,5,4,4,5,6,4,4,5
"131",6,6,4,6,5,6,5,5,5,6,6,6,6,5,5,5,6,4,6
"132",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"133",5,6,4,6,6,6,6,6,5,6,6,5,6,6,6,6,5,5,6
"134",5,6,6,5,6,6,5,5,6,4,6,4,6,5,5,6,5,5,5
"135",5,6,6,4,5,6,5,6,6,4,6,5,5,6,6,6,4,6,6
"136",4,6,6,6,6,6,6,6,6,5,4,6,5,5,6,5,4,6,5
"137",5,5,5,4,5,6,4,4,5,5,6,5,4,3,5,4,5,3,6
"138",6,6,6,5,6,6,6,6,6,6,6,4,6,6,6,6,5,6,6
