"","x"
"1",6
"2",5
"3",6
"4",4
"5",1
"6",2
"7",2
"8",1
"9",1
"10",2
"11",1
"12",2
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",2
"45",1
"46",1
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",5
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",3
"97",2
"98",1
"99",2
"100",2
"101",2
"102",3
"103",1
"104",1
"105",4
"106",3
"107",1
"108",1
"109",2
"110",2
"111",4
"112",2
"113",2
"114",1
"115",1
"116",1
"117",4
"118",2
"119",4
"120",4
"121",4
"122",3
"123",6
"124",4
"125",6
"126",4
"127",6
"128",4
"129",6
"130",4
"131",6
"132",6
"133",6
"134",4
"135",6
"136",6
"137",6
"138",6
"139",6
"140",4
"141",4
"142",6
"143",6
"144",1
"145",1
"146",4
"147",6
"148",1
"149",1
"150",3
"151",2
"152",4
"153",1
"154",3
"155",6
"156",6
"157",6
"158",6
"159",6
"160",1
"161",1
"162",1
"163",1
"164",2
"165",2
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",2
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",2
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",1
"221",1
"222",1
"223",3
"224",3
"225",2
"226",3
"227",2
"228",3
"229",2
"230",1
"231",2
"232",1
"233",2
"234",3
"235",1
"236",1
"237",1
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",1
"246",1
"247",1
"248",1
"249",1
"250",1
"251",1
"252",1
"253",2
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
"264",1
"265",1
"266",1
"267",1
"268",1
"269",2
"270",1
"271",2
"272",4
"273",1
"274",3
"275",3
"276",6
"277",1
"278",1
"279",1
"280",4
"281",4
"282",4
"283",6
"284",4
"285",1
"286",1
"287",1
"288",1
"289",2
"290",2
"291",2
"292",3
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",1
"300",1
"301",1
"302",2
"303",1
"304",1
"305",1
"306",1
"307",1
"308",1
"309",1
"310",1
"311",1
"312",1
"313",1
"314",1
"315",1
"316",1
"317",1
"318",1
"319",1
"320",1
"321",1
"322",1
"323",1
"324",1
"325",1
"326",1
"327",1
"328",1
"329",1
"330",1
"331",2
"332",1
"333",1
"334",1
"335",1
"336",1
"337",1
"338",1
"339",1
"340",2
"341",1
"342",1
"343",1
"344",1
"345",1
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",1
"354",1
"355",1
"356",2
"357",1
"358",4
"359",3
"360",4
"361",4
"362",6
"363",6
"364",2
"365",6
"366",3
"367",3
"368",3
"369",1
"370",1
"371",1
"372",1
"373",1
"374",1
"375",1
"376",1
"377",1
"378",2
"379",1
"380",1
"381",2
"382",1
"383",2
"384",1
"385",1
"386",1
"387",4
"388",1
"389",1
"390",1
"391",1
"392",3
"393",1
"394",2
"395",3
"396",2
"397",2
"398",1
"399",4
"400",4
"401",2
"402",4
"403",4
"404",6
"405",6
"406",6
"407",6
"408",6
"409",6
"410",6
"411",4
"412",4
"413",2
"414",4
"415",2
"416",6
"417",4
"418",6
"419",4
"420",6
"421",6
"422",6
"423",6
"424",6
"425",6
"426",3
"427",1
"428",1
"429",2
"430",2
"431",2
"432",1
"433",1
"434",1
"435",1
"436",1
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",1
"445",1
"446",1
"447",2
"448",1
"449",1
"450",1
"451",2
"452",1
"453",1
"454",2
"455",1
"456",1
"457",3
"458",1
"459",1
"460",1
"461",1
"462",2
"463",2
"464",1
"465",1
"466",2
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
"481",1
"482",1
"483",1
