"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,5,5,5,5,4,3,4,4,3,5,2,3,3,3,2,2,1
"2",5,5,5,5,5,4,3,3,2,5,3,3,3,2,5,5,4,3,3
"3",3,3,3,4,4,3,3,4,3,4,4,4,4,4,3,3,3,4,4
"4",3,3,4,3,4,3,3,4,4,4,3,3,4,4,4,3,3,4,3
"5",3,2,2,3,3,4,3,4,3,3,4,3,3,4,4,2,3,3,4
"6",4,4,4,4,3,4,2,2,4,3,3,4,4,4,3,3,4,1,1
"7",3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,4,3,3,4
"8",2,3,3,2,3,3,3,4,4,4,3,3,4,4,3,4,4,3,4
"9",4,3,2,2,4,1,1,4,3,3,3,4,3,4,4,2,3,3,2
"10",3,3,3,3,3,2,5,3,3,2,2,4,5,4,4,2,5,5,4
"11",3,2,2,2,3,2,1,1,1,4,3,2,1,2,2,1,2,3,2
"12",2,1,1,2,1,2,1,1,3,2,2,2,2,3,2,2,1,3,3
"13",3,3,3,3,4,3,3,4,3,4,4,4,4,4,3,3,4,4,3
"14",3,4,2,2,3,4,3,4,4,4,2,1,2,1,1,2,4,2,2
"15",4,4,4,2,2,4,4,3,3,2,3,3,3,4,3,3,3,3,1
"16",4,4,4,3,4,4,4,2,3,3,3,4,2,3,1,3,3,2,2
"17",2,1,1,1,3,2,2,2,2,2,3,2,1,1,2,2,3,3,2
"18",4,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,2
"19",3,2,3,3,2,2,3,4,3,4,4,3,4,4,4,4,4,3,4
"20",3,3,3,4,4,4,3,3,3,4,3,3,3,3,4,5,3,3,4
"21",3,3,3,3,4,3,4,4,4,3,3,3,3,4,4,3,2,3,4
"22",1,1,1,3,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2
"23",1,1,1,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2,2
"24",3,3,2,3,2,3,3,2,4,1,3,2,2,2,2,2,4,2,1
"25",4,4,4,4,3,3,3,4,3,3,4,3,3,3,3,4,4,4,3
"26",4,4,3,4,3,3,4,4,3,3,3,3,4,3,2,4,4,4,3
"27",3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,3,3,4,4
"28",4,4,4,4,3,4,4,4,4,3,2,3,3,3,4,4,2,3,3
"29",3,3,3,3,2,3,3,3,4,2,2,3,3,2,4,3,2,3,5
"30",3,3,3,3,3,5,3,3,4,4,5,4,4,3,2,3,2,5,4
"31",4,4,4,4,4,4,3,3,4,3,3,3,4,3,3,3,4,3,3
"32",4,4,3,4,4,4,3,4,4,3,4,3,3,3,3,4,4,3,4
"33",3,3,2,2,3,3,4,4,4,2,3,2,3,2,2,2,3,5,3
"34",3,3,3,3,4,4,3,3,4,4,3,5,5,4,4,3,4,3,5
"35",4,3,4,3,4,4,3,3,4,4,3,3,4,4,3,4,3,4,3
"36",3,4,3,4,4,3,3,4,4,2,4,4,4,3,3,4,4,4,5
"37",2,3,3,1,3,4,4,3,5,5,2,1,2,1,1,3,3,2,2
"38",2,2,4,3,3,4,4,2,3,2,4,4,1,2,4,4,4,4,3
"39",3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,4,5,4
"40",2,3,4,4,3,4,3,4,2,3,4,3,4,4,4,5,5,3,3
"41",4,4,4,4,4,4,4,3,2,4,3,2,3,3,3,2,3,3,3
"42",3,3,3,4,3,3,3,4,4,4,3,4,3,4,3,3,4,4,4
"43",4,3,4,4,3,3,4,3,4,4,3,4,4,3,3,3,2,3,4
"44",4,4,4,4,3,3,4,3,4,3,4,2,2,3,3,4,3,4,3
"45",3,3,3,3,4,2,3,3,4,4,2,4,3,2,4,3,3,3,5
"46",3,3,3,3,3,3,4,2,3,3,5,3,3,2,4,4,5,4,3
"47",1,1,1,2,2,1,1,1,2,3,2,2,1,1,1,2,2,2,2
"48",3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,3,3,3,4
"49",2,2,1,1,2,1,3,3,4,4,4,2,5,3,1,1,2,1,1
"50",3,2,3,3,3,3,4,3,4,2,1,3,4,4,4,3,3,4,2
"51",3,3,3,4,3,3,4,3,3,4,4,4,4,2,4,4,3,3,3
"52",4,3,4,3,4,2,3,3,4,3,4,4,4,4,4,3,4,3,2
"53",2,3,4,4,3,3,3,3,1,5,3,4,3,4,5,4,2,4,2
"54",4,4,4,4,4,3,4,3,2,2,4,4,3,3,3,3,3,4,4
"55",1,2,1,1,2,2,2,2,2,1,3,2,1,1,1,1,1,2,2
"56",1,1,2,1,2,1,2,1,2,2,1,2,3,2,2,3,2,3,3
"57",3,3,4,3,4,4,3,4,3,3,3,4,4,4,5,3,5,3,4
"58",1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,1,2,3,2
"59",4,4,4,4,4,3,4,3,3,4,4,3,2,3,3,2,4,4,4
"60",2,3,3,3,2,1,3,4,4,4,4,3,3,2,3,2,2,2,3
"61",4,4,4,4,4,4,3,4,3,3,3,3,4,3,4,3,3,3,4
"62",4,4,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,3
"63",2,1,1,2,1,1,2,2,1,1,2,1,2,2,2,2,3,2,3
"64",4,4,3,4,3,3,4,4,3,3,4,3,3,4,3,4,3,3,3
"65",4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,3,4,4,4
"66",4,4,4,4,4,4,4,3,3,3,4,4,3,3,2,3,3,3,3
"67",3,3,4,3,4,2,4,4,3,2,4,3,3,3,2,3,3,4,3
"68",2,2,3,3,3,4,4,4,4,4,3,3,2,4,4,2,3,3,3
"69",3,2,3,1,1,1,1,2,2,3,2,4,2,1,1,1,1,2,2
"70",5,2,1,1,4,2,3,2,3,3,3,3,2,2,2,2,3,2,5
"71",4,3,4,2,5,3,5,2,3,5,4,5,5,5,4,5,5,5,4
"72",3,5,5,5,3,4,2,2,3,5,5,2,4,1,2,1,3,3,3
"73",4,5,5,2,4,5,5,5,3,4,5,5,5,3,4,2,4,3,5
"74",4,5,5,5,5,3,5,3,4,5,5,3,4,5,3,4,5,5,3
"75",4,4,5,2,3,4,5,4,2,4,5,5,5,5,2,2,4,1,1
"76",4,5,5,3,4,5,5,5,3,5,5,5,5,5,2,4,5,4,5
"77",4,5,4,5,3,5,5,5,5,3,4,5,5,5,5,3,4,2,5
"78",3,4,4,2,4,5,5,2,4,4,5,5,5,3,4,3,5,5,5
"79",4,4,5,4,5,5,4,3,3,5,3,4,5,2,4,5,5,5,5
"80",2,5,4,4,5,4,4,5,3,3,2,5,5,4,4,5,3,5,5
"81",5,5,4,5,5,2,5,4,5,5,3,4,2,3,3,2,3,4,3
"82",2,3,5,5,3,5,4,5,5,5,4,4,4,5,5,1,2,5,5
"83",4,5,5,2,3,1,2,2,1,2,2,3,2,3,3,3,2,2,2
"84",4,4,4,4,5,3,5,2,3,5,5,4,3,3,5,5,2,2,1
"85",5,3,3,3,3,2,3,3,4,1,2,2,2,1,3,4,5,2,2
"86",5,5,5,4,3,5,5,4,5,5,5,5,3,4,2,5,5,5,5
"87",5,3,4,2,3,4,5,5,5,2,3,5,5,4,5,5,5,5,4
"88",4,2,5,3,5,5,4,3,5,5,1,2,4,4,3,5,5,2,4
"89",3,5,2,5,5,3,5,4,5,5,4,5,5,5,5,4,4,5,4
"90",2,5,5,5,2,1,3,4,4,2,5,2,2,4,2,1,1,3,3
"91",2,5,3,2,4,4,3,5,4,5,5,5,4,3,5,4,3,5,4
"92",3,5,5,4,3,5,5,5,5,3,4,3,5,4,5,5,4,5,5
"93",2,4,5,3,2,4,4,5,4,2,5,4,3,5,2,2,4,1,1
"94",3,5,5,4,5,5,4,3,4,3,5,5,5,5,4,5,5,4,5
"95",3,5,5,4,2,5,4,3,5,5,5,5,4,3,5,5,5,4,3
"96",2,4,5,5,4,2,5,5,5,5,4,3,4,5,5,5,2,5,4
"97",3,4,5,4,5,5,5,4,3,3,5,3,5,5,4,2,5,5,5
"98",2,4,5,5,3,3,4,4,5,5,4,4,5,5,3,3,3,2,5
"99",5,5,4,5,5,5,4,2,5,5,4,3,3,2,3,4,3,3,2
"100",2,5,3,5,4,5,3,5,5,5,4,4,4,5,5,5,5,2,1
"101",2,5,5,2,3,3,2,2,2,1,3,3,3,3,5,2,4,2,2
"102",2,4,5,3,5,2,5,5,4,3,3,5,4,5,2,4,2,2,3
"103",5,3,3,3,3,3,2,3,4,1,2,2,2,5,1,2,4,3,2
