"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,5,5,3,3,4,3,2,2,5,4,1,2,3,5,5,4,5
"2",5,5,5,5,3,3,4,3,2,2,5,4,1,2,3,5,3,4,5
"3",3,4,4,4,3,3,3,4,3,3,3,3,4,4,3,4,4,3,4
"4",3,4,4,3,3,3,3,4,4,3,4,3,4,3,4,4,4,3,3
"5",2,3,3,3,3,4,4,4,4,4,4,2,3,2,4,2,2,3,2
"6",4,4,3,4,4,2,3,3,3,3,4,2,4,3,2,2,2,2,2
"7",3,4,4,3,4,3,3,3,4,3,3,4,3,3,4,4,4,3,3
"8",2,3,3,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,3
"9",4,2,2,1,4,4,4,4,3,3,3,3,3,4,2,2,2,4,3
"10",3,3,3,3,3,4,2,5,5,3,4,4,5,4,2,4,2,3,3
"11",3,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,2,3,2
"12",2,1,1,1,1,2,1,1,2,1,2,2,2,2,3,3,1,1,2
"13",3,4,4,4,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4
"14",3,2,3,3,2,4,2,4,2,2,4,2,2,2,1,1,1,2,1
"15",4,4,4,4,2,2,3,3,4,4,3,2,2,2,3,2,2,2,2
"16",4,4,3,3,4,4,5,3,3,3,3,4,3,1,3,4,3,4,4
"17",2,2,2,2,1,2,2,2,1,1,2,2,3,2,2,2,2,3,2
"18",4,3,4,4,3,3,3,3,4,3,3,3,4,3,4,3,3,4,4
"19",3,3,3,3,4,4,4,3,2,4,3,4,3,3,4,4,3,4,3
"20",3,3,3,3,3,4,4,4,4,4,5,5,5,4,4,4,3,3,3
"21",3,4,4,4,3,3,4,3,3,4,3,3,3,3,4,4,5,5,5
"22",1,2,2,1,1,2,2,2,3,1,2,1,1,1,1,2,1,1,3
"23",1,2,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1
"24",3,3,2,3,4,2,4,4,3,3,4,4,3,4,4,4,4,4,4
"25",4,4,3,3,4,3,3,3,3,3,3,4,3,3,3,4,4,3,2
"26",4,3,4,3,4,4,3,4,3,3,4,3,3,4,3,3,4,4,4
"27",3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,4,4,3,3
"28",4,4,4,3,3,4,4,4,4,4,3,4,3,4,3,4,3,3,3
"29",3,3,3,2,3,3,3,3,4,2,2,5,5,4,4,3,3,3,3
"30",3,3,3,3,4,2,3,5,5,5,5,5,4,2,3,3,5,4,4
"31",4,4,3,3,4,3,4,4,3,4,3,4,3,3,3,3,3,3,3
"32",4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
"33",3,5,4,4,3,3,4,2,2,3,3,2,3,2,3,2,3,4,2
"34",3,4,3,4,3,3,3,4,3,3,3,4,2,4,4,4,4,3,4
"35",3,3,3,3,4,3,4,3,4,3,4,3,3,3,4,3,3,2,3
