"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,5,5,5,5,4,3,5,4,2,3,5,5,3,5,2,3,2,3
"2",5,5,5,4,3,4,4,5,5,4,3,2,3,3,2,3,3,3,5
"3",3,3,3,4,4,3,3,4,3,3,3,4,4,4,4,4,3,4,3
"4",3,3,4,4,3,3,4,3,4,4,4,3,3,3,3,4,4,3,3
"5",3,3,2,3,3,2,3,3,3,4,4,3,2,1,2,2,3,2,3
"6",4,4,3,4,3,4,3,4,3,2,4,4,2,4,4,3,3,4,4
"7",3,3,4,4,4,4,3,3,3,3,4,4,3,4,4,3,3,3,3
"8",2,3,2,3,3,4,3,3,3,4,3,3,3,4,2,3,3,3,3
"9",4,4,3,4,2,2,3,4,3,4,2,2,3,3,2,1,1,3,3
"10",3,3,3,3,3,3,4,2,3,2,3,3,4,3,2,4,2,2,3
"11",3,2,1,2,2,3,1,3,1,2,3,2,1,2,1,2,1,3,1
"12",1,2,1,1,2,3,1,1,2,1,1,2,1,1,2,2,2,2,2
"13",3,3,3,3,4,4,3,3,3,3,3,4,3,4,3,3,3,4,4
"14",4,4,4,4,4,3,3,4,4,2,4,3,4,4,3,4,2,4,2
"15",4,4,4,4,3,2,2,2,4,3,3,4,3,3,4,3,3,2,3
"16",4,4,4,3,3,4,4,4,4,3,3,4,3,3,4,3,3,3,2
"17",2,1,3,3,2,3,3,1,3,1,2,2,2,2,2,2,2,1,2
"18",4,4,4,4,3,3,3,4,3,4,4,3,4,3,3,3,4,4,3
"19",3,3,3,3,4,4,2,3,3,4,4,3,2,3,3,3,4,4,4
"20",3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,4,4,4,4
"21",3,3,3,4,4,3,3,3,3,3,4,3,4,4,4,4,4,3,3
"22",1,3,1,2,2,1,2,2,2,2,2,3,2,1,2,1,1,2,1
"23",1,3,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,2
"24",3,2,3,1,1,3,3,2,3,3,1,3,1,2,3,1,2,2,2
"25",4,4,4,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3
