"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",5,4,3,5,5,5,3,5,4,2,4,4,2,3,3,3,4,2,3
"2",4,3,5,5,5,5,3,5,4,2,4,4,2,3,3,2,3,1,4
"3",3,4,3,3,4,4,3,3,3,3,4,4,3,4,3,4,4,4,3
"4",3,4,4,3,4,4,3,3,4,4,3,4,4,3,3,5,4,5,3
"5",3,3,3,3,4,4,4,4,3,4,2,2,3,3,3,2,3,3,3
"6",4,4,3,3,3,4,2,4,2,2,3,2,2,3,4,2,4,3,3
"7",3,3,4,4,4,4,4,4,3,3,4,3,3,4,4,3,3,3,3
"8",2,2,2,3,4,3,3,4,4,3,4,4,3,1,4,3,1,4,3
"9",4,3,2,2,4,3,4,4,2,3,3,2,2,1,2,3,1,1,4
"10",3,3,3,3,4,3,3,2,2,2,2,2,3,2,3,4,3,4,2
"11",3,2,2,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2
"12",2,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,2,1
"13",3,3,4,4,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3
"14",4,2,3,2,2,2,2,2,3,3,2,4,2,1,2,1,1,2,2
"15",4,3,2,4,3,4,2,2,2,2,1,2,2,3,1,3,1,4,1
"16",4,4,3,3,3,4,3,3,3,2,3,3,2,2,3,2,2,2,2
"17",3,3,4,3,2,2,1,2,2,2,2,2,2,2,1,3,2,2,2
"18",4,4,4,3,3,4,4,4,3,3,4,3,3,4,3,3,3,3,3
"19",3,3,3,3,4,4,3,4,4,3,4,3,1,2,2,3,2,1,1
"20",3,4,3,4,4,3,4,3,4,3,3,3,4,4,3,3,3,4,5
"21",3,4,3,4,3,4,4,3,3,4,3,4,4,3,4,4,4,4,4
"22",1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,3,4,3,3
"23",1,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2
"24",3,4,4,2,2,4,3,3,2,3,3,4,4,4,4,4,4,4,4
"25",4,4,3,3,3,4,3,4,4,3,3,3,4,3,3,3,3,4,4
"26",4,4,3,3,3,4,4,3,4,2,3,4,3,3,4,3,3,4,4
"27",3,3,4,4,4,4,3,4,3,3,4,4,4,3,4,3,3,4,4
"28",4,4,3,3,3,2,4,4,3,4,3,4,3,3,4,3,4,4,3
"29",3,3,3,2,4,3,4,3,2,3,2,4,4,3,5,4,2,2,2
"30",3,3,3,3,4,3,2,2,4,2,3,2,2,2,3,4,3,4,2
