"","x"
"1",5
"2",5
"3",3
"4",3
"5",3
"6",4
"7",3
"8",3
"9",4
"10",3
"11",3
"12",2
"13",3
"14",3
"15",4
"16",4
"17",3
"18",4
"19",3
"20",3
"21",3
"22",2
"23",1
"24",3
"25",4
"26",4
"27",3
"28",4
"29",3
"30",3
"31",4
"32",4
"33",3
"34",3
"35",4
"36",3
"37",2
"38",3
"39",3
"40",3
"41",4
"42",3
"43",3
"44",4
"45",3
"46",3
"47",1
"48",3
"49",2
"50",2
"51",3
"52",4
"53",2
"54",4
"55",1
"56",1
"57",3
"58",1
"59",4
"60",2
"61",4
"62",4
"63",1
"64",4
"65",4
"66",4
"67",3
"68",2
"69",3
"70",5
"71",3
"72",2
"73",2
"74",3
"75",2
"76",3
"77",3
"78",2
"79",3
"80",2
"81",3
"82",3
"83",2
"84",2
"85",2
"86",3
"87",3
"88",2
"89",4
"90",3
"91",4
"92",4
"93",4
"94",4
"95",4
"96",3
"97",4
"98",2
"99",4
"100",4
"101",4
"102",4
"103",3
"104",4
"105",5
"106",2
"107",3
"108",5
"109",5
"110",5
"111",5
"112",4
"113",5
"114",5
"115",4
"116",4
"117",4
"118",5
"119",5
"120",5
"121",4
"122",5
"123",5
"124",5
"125",4
"126",5
"127",5
"128",5
"129",5
"130",5
"131",5
"132",5
"133",4
"134",5
"135",5
"136",5
"137",5
"138",5
"139",4
"140",5
"141",5
"142",5
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",5
"150",5
"151",5
"152",5
"153",5
"154",5
"155",5
"156",4
"157",5
"158",5
"159",5
"160",5
"161",1
"162",2
"163",2
"164",2
"165",3
"166",1
"167",2
"168",2
"169",2
"170",3
"171",1
"172",2
"173",2
"174",2
"175",3
"176",1
"177",2
"178",2
"179",3
"180",3
"181",1
"182",2
"183",2
"184",3
"185",3
"186",1
"187",2
"188",2
"189",2
"190",3
"191",1
"192",2
"193",2
"194",3
"195",3
"196",1
"197",2
"198",2
"199",2
"200",2
"201",1
"202",1
"203",2
"204",2
"205",3
"206",1
"207",2
"208",4
"209",4
"210",4
"211",1
"212",1
"213",3
"214",4
"215",4
"216",1
"217",2
"218",2
"219",2
"220",3
"221",1
"222",2
"223",2
"224",3
"225",3
"226",1
"227",2
"228",2
"229",3
"230",3
"231",1
"232",2
"233",2
"234",3
"235",3
"236",1
"237",2
"238",3
"239",3
"240",4
"241",1
"242",2
"243",3
"244",4
"245",4
"246",1
"247",2
"248",2
"249",3
"250",4
"251",1
"252",2
"253",2
"254",3
"255",3
"256",1
"257",2
"258",2
"259",3
"260",3
"261",1
"262",2
"263",2
"264",3
"265",4
"266",1
"267",2
"268",2
"269",3
"270",4
"271",1
"272",2
"273",2
"274",3
"275",4
"276",2
"277",3
"278",3
"279",4
"280",4
"281",2
"282",3
"283",4
"284",4
"285",4
"286",2
"287",3
"288",3
"289",4
"290",4
"291",2
"292",2
"293",2
"294",3
"295",4
"296",1
"297",2
"298",2
"299",3
"300",4
"301",2
"302",3
"303",4
"304",4
"305",5
"306",2
"307",3
"308",4
"309",5
"310",5
"311",2
"312",3
"313",4
"314",4
"315",5
"316",2
"317",3
"318",4
"319",4
"320",4
"321",1
"322",2
"323",3
"324",4
"325",4
"326",1
"327",2
"328",4
"329",4
"330",5
"331",2
"332",4
"333",5
"334",5
"335",5
"336",2
"337",3
"338",4
"339",5
"340",5
"341",1
"342",3
"343",4
"344",4
"345",4
"346",1
"347",2
"348",2
"349",3
"350",4
"351",1
"352",2
"353",2
"354",3
"355",3
"356",5
"357",5
"358",5
"359",5
"360",5
"361",3
"362",5
"363",4
"364",4
"365",4
"366",3
"367",3
"368",4
"369",4
"370",3
"371",4
"372",4
"373",3
"374",2
"375",3
"376",3
"377",5
"378",5
"379",4
"380",5
"381",5
"382",5
"383",1
"384",1
"385",2
"386",1
"387",2
"388",2
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",2
"398",3
"399",2
"400",2
"401",2
"402",2
"403",2
"404",1
"405",2
"406",2
"407",2
"408",2
"409",2
"410",4
"411",3
"412",3
"413",2
"414",3
"415",3
"416",3
"417",2
"418",2
"419",3
"420",3
"421",2
"422",3
"423",4
"424",4
"425",4
"426",3
"427",4
"428",4
"429",4
"430",2
"431",3
"432",4
"433",3
"434",3
"435",3
"436",4
"437",4
"438",4
"439",3
"440",4
"441",4
"442",4
"443",2
"444",3
"445",4
"446",3
"447",3
"448",5
"449",3
"450",4
"451",4
"452",3
"453",2
"454",4
"455",3
"456",5
"457",4
"458",4
"459",4
"460",4
"461",4
"462",2
"463",2
"464",3
"465",3
"466",4
"467",3
"468",4
"469",4
"470",5
"471",3
"472",4
"473",4
"474",5
"475",2
"476",2
"477",5
"478",2
"479",3
"480",5
"481",5
"482",2
"483",5
"484",3
"485",5
"486",2
"487",3
"488",5
"489",2
"490",1
"491",1
"492",2
"493",3
"494",1
"495",2
"496",3
"497",5
"498",2
"499",3
"500",5
"501",2
"502",2
"503",1
"504",1
"505",4
"506",3
"507",3
"508",3
"509",4
"510",2
"511",1
"512",2
"513",1
"514",1
