"","x"
"1",5
"2",5
"3",3
"4",3
"5",3
"6",3
"7",3
"8",3
"9",2
"10",3
"11",2
"12",1
"13",3
"14",3
"15",2
"16",3
"17",2
"18",3
"19",3
"20",3
"21",3
"22",1
"23",1
"24",3
"25",3
"26",3
"27",3
"28",3
"29",3
"30",3
"31",3
"32",3
"33",3
"34",3
"35",3
"36",3
"37",3
"38",3
"39",3
"40",3
"41",3
"42",4
"43",3
"44",3
"45",3
"46",3
"47",1
"48",3
"49",3
"50",3
"51",3
"52",3
"53",3
"54",3
"55",1
"56",1
"57",3
"58",1
"59",3
"60",3
"61",3
"62",3
"63",1
"64",3
"65",3
"66",3
"67",3
"68",3
"69",2
"70",5
"71",5
"72",2
"73",5
"74",5
"75",5
"76",5
"77",5
"78",5
"79",5
"80",5
"81",5
"82",5
"83",2
"84",5
"85",5
"86",5
"87",5
"88",2
"89",5
"90",2
"91",5
"92",5
"93",5
"94",5
"95",5
"96",5
"97",5
"98",5
"99",5
"100",5
"101",2
"102",5
"103",5
"104",5
"105",5
"106",5
"107",2
"108",5
"109",3
"110",5
"111",5
"112",5
"113",5
"114",5
"115",5
"116",5
"117",5
"118",5
"119",5
"120",2
"121",5
"122",5
"123",5
"124",5
"125",2
"126",5
"127",3
"128",5
"129",5
"130",5
"131",5
"132",5
"133",5
"134",5
"135",5
"136",5
"137",5
"138",2
"139",5
"140",5
"141",5
"142",5
"143",2
"144",5
"145",5
"146",5
"147",5
"148",5
"149",5
"150",5
"151",5
"152",5
"153",5
"154",5
"155",5
"156",5
"157",5
"158",5
"159",5
"160",3
"161",1
"162",1
"163",1
"164",2
"165",2
"166",1
"167",1
"168",1
"169",2
"170",2
"171",1
"172",1
"173",2
"174",2
"175",2
"176",1
"177",1
"178",2
"179",2
"180",2
"181",1
"182",1
"183",1
"184",2
"185",2
"186",1
"187",1
"188",1
"189",2
"190",2
"191",1
"192",1
"193",2
"194",2
"195",2
"196",1
"197",1
"198",1
"199",2
"200",2
"201",4
"202",4
"203",4
"204",4
"205",4
"206",1
"207",1
"208",1
"209",2
"210",2
"211",1
"212",1
"213",1
"214",2
"215",2
"216",1
"217",1
"218",1
"219",2
"220",2
"221",1
"222",1
"223",2
"224",2
"225",2
"226",1
"227",1
"228",2
"229",2
"230",2
"231",1
"232",1
"233",2
"234",2
"235",2
"236",1
"237",1
"238",2
"239",2
"240",2
"241",1
"242",1
"243",1
"244",2
"245",2
"246",1
"247",1
"248",1
"249",2
"250",2
"251",1
"252",1
"253",1
"254",2
"255",2
"256",1
"257",1
"258",1
"259",2
"260",2
"261",1
"262",1
"263",1
"264",2
"265",2
"266",1
"267",1
"268",1
"269",2
"270",2
"271",1
"272",1
"273",2
"274",2
"275",2
"276",1
"277",1
"278",2
"279",2
"280",3
"281",1
"282",1
"283",2
"284",2
"285",3
"286",1
"287",1
"288",2
"289",2
"290",3
"291",1
"292",4
"293",2
"294",2
"295",4
"296",1
"297",1
"298",2
"299",2
"300",4
"301",4
"302",1
"303",4
"304",4
"305",4
"306",1
"307",4
"308",2
"309",2
"310",4
"311",1
"312",1
"313",2
"314",2
"315",3
"316",1
"317",1
"318",2
"319",2
"320",3
"321",1
"322",1
"323",2
"324",2
"325",2
"326",1
"327",1
"328",2
"329",2
"330",4
"331",1
"332",1
"333",2
"334",2
"335",4
"336",4
"337",2
"338",2
"339",4
"340",4
"341",1
"342",1
"343",2
"344",2
"345",2
"346",1
"347",1
"348",2
"349",2
"350",2
"351",2
"352",2
"353",2
"354",2
"355",3
"356",5
"357",5
"358",5
"359",3
"360",5
"361",5
"362",5
"363",5
"364",5
"365",4
"366",3
"367",3
"368",5
"369",4
"370",4
"371",2
"372",2
"373",5
"374",2
"375",2
"376",2
"377",2
"378",5
"379",2
"380",5
"381",2
"382",5
"383",1
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",1
"392",1
"393",1
"394",1
"395",1
"396",1
"397",1
"398",1
"399",1
"400",1
"401",1
"402",1
"403",1
"404",1
"405",1
"406",1
"407",1
"408",1
"409",1
"410",2
"411",2
"412",2
"413",1
"414",1
"415",2
"416",2
"417",1
"418",2
"419",2
"420",1
"421",1
"422",2
"423",2
"424",2
"425",2
"426",2
"427",2
"428",2
"429",2
"430",2
"431",2
"432",2
"433",2
"434",2
"435",2
"436",2
"437",2
"438",2
"439",2
"440",2
"441",2
"442",2
"443",2
"444",2
"445",2
"446",2
"447",2
"448",5
"449",5
"450",5
"451",5
"452",5
"453",5
"454",5
"455",5
"456",5
"457",5
"458",5
"459",5
"460",5
"461",5
"462",5
"463",5
"464",4
"465",5
"466",5
"467",2
"468",5
"469",5
"470",5
"471",5
"472",4
"473",3
"474",3
"475",3
"476",3
"477",3
"478",3
"479",3
"480",3
"481",2
"482",3
"483",3
"484",2
"485",2
"486",5
"487",5
"488",4
"489",1
"490",1
"491",1
"492",2
"493",2
"494",1
"495",1
"496",2
"497",2
"498",2
"499",2
"500",4
"501",3
"502",2
"503",1
"504",1
"505",3
"506",2
"507",3
"508",3
"509",3
"510",3
"511",1
"512",2
"513",1
"514",1
