"","x"
"1",4
"2",4
"3",5
"4",5
"5",5
"6",2
"7",5
"8",2
"9",1
"10",2
"11",2
"12",2
"13",5
"14",2
"15",1
"16",2
"17",2
"18",5
"19",3
"20",4
"21",4
"22",2
"23",2
"24",3
"25",5
"26",4
"27",5
"28",3
"29",2
"30",2
"31",5
"32",5
"33",3
"34",5
"35",5
"36",5
"37",2
"38",3
"39",3
"40",3
"41",2
"42",5
"43",5
"44",3
"45",3
"46",2
"47",2
"48",4
"49",2
"50",2
"51",4
"52",2
"53",2
"54",2
"55",1
"56",1
"57",5
"58",1
"59",3
"60",2
"61",4
"62",4
"63",1
"64",4
"65",3
"66",4
"67",5
"68",2
"69",1
"70",4
"71",4
"72",4
"73",4
"74",5
"75",5
"76",4
"77",5
"78",4
"79",5
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",5
"88",3
"89",4
"90",4
"91",5
"92",5
"93",4
"94",4
"95",5
"96",4
"97",5
"98",4
"99",4
"100",4
"101",4
"102",4
"103",4
"104",4
"105",5
"106",4
"107",4
"108",4
"109",4
"110",5
"111",5
"112",5
"113",5
"114",5
"115",4
"116",5
"117",4
"118",4
"119",4
"120",4
"121",4
"122",4
"123",5
"124",5
"125",4
"126",5
"127",5
"128",5
"129",5
"130",5
"131",5
"132",5
"133",4
"134",5
"135",5
"136",5
"137",5
"138",4
"139",5
"140",4
"141",5
"142",5
"143",4
"144",5
"145",5
"146",5
"147",5
"148",5
"149",5
"150",5
"151",5
"152",5
"153",5
"154",5
"155",5
"156",5
"157",5
"158",5
"159",5
"160",5
"161",1
"162",1
"163",2
"164",2
"165",2
"166",1
"167",1
"168",2
"169",2
"170",2
"171",2
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",3
"181",2
"182",2
"183",2
"184",2
"185",3
"186",1
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",3
"196",1
"197",2
"198",2
"199",2
"200",2
"201",2
"202",3
"203",3
"204",3
"205",3
"206",2
"207",2
"208",2
"209",2
"210",3
"211",2
"212",2
"213",2
"214",2
"215",2
"216",1
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",2
"225",2
"226",2
"227",2
"228",2
"229",2
"230",3
"231",2
"232",2
"233",2
"234",2
"235",3
"236",2
"237",2
"238",2
"239",2
"240",3
"241",2
"242",2
"243",2
"244",2
"245",3
"246",2
"247",2
"248",2
"249",2
"250",3
"251",2
"252",2
"253",2
"254",2
"255",3
"256",2
"257",2
"258",2
"259",2
"260",3
"261",2
"262",2
"263",2
"264",2
"265",3
"266",2
"267",2
"268",2
"269",2
"270",3
"271",2
"272",2
"273",2
"274",2
"275",3
"276",2
"277",2
"278",3
"279",3
"280",3
"281",2
"282",3
"283",3
"284",3
"285",3
"286",2
"287",2
"288",3
"289",3
"290",3
"291",2
"292",3
"293",3
"294",3
"295",4
"296",2
"297",2
"298",2
