"","x"
"1",5
"2",5
"3",3
"4",3
"5",3
"6",4
"7",3
"8",3
"9",4
"10",3
"11",3
"12",2
"13",3
"14",4
"15",4
"16",4
"17",3
"18",4
"19",3
"20",3
"21",3
"22",2
"23",1
"24",3
"25",4
"26",4
"27",3
"28",4
"29",3
"30",3
"31",4
"32",4
"33",3
"34",3
"35",4
"36",3
"37",3
"38",3
"39",3
"40",3
"41",4
"42",3
"43",3
"44",4
"45",3
"46",3
"47",1
"48",3
"49",3
"50",3
"51",3
"52",4
"53",3
"54",4
"55",1
"56",1
"57",3
"58",1
"59",4
"60",3
"61",4
"62",4
"63",1
"64",4
"65",4
"66",4
"67",3
"68",3
"69",4
"70",5
"71",3
"72",2
"73",3
"74",3
"75",3
"76",4
"77",4
"78",2
"79",4
"80",2
"81",4
"82",3
"83",3
"84",4
"85",3
"86",4
"87",3
"88",3
"89",3
"90",3
"91",4
"92",4
"93",4
"94",3
"95",4
"96",4
"97",4
"98",4
"99",3
"100",4
"101",2
"102",4
"103",4
"104",3
"105",4
"106",4
"107",4
"108",5
"109",5
"110",5
"111",5
"112",5
"113",5
"114",5
"115",4
"116",5
"117",5
"118",5
"119",5
"120",5
"121",5
"122",5
"123",5
"124",5
"125",5
"126",5
"127",5
"128",5
"129",5
"130",5
"131",5
"132",5
"133",5
"134",5
"135",5
"136",5
"137",5
"138",5
"139",5
"140",5
"141",5
"142",5
"143",5
"144",5
"145",5
"146",5
"147",5
"148",5
"149",5
"150",5
"151",5
"152",5
"153",5
"154",5
"155",5
"156",4
"157",5
"158",5
"159",5
"160",5
"161",1
"162",2
"163",3
"164",3
"165",3
"166",1
"167",2
"168",3
"169",3
"170",3
"171",1
"172",3
"173",3
"174",3
"175",4
"176",2
"177",3
"178",3
"179",3
"180",4
"181",2
"182",2
"183",3
"184",3
"185",3
"186",1
"187",3
"188",3
"189",3
"190",3
"191",2
"192",3
"193",3
"194",4
"195",5
"196",1
"197",2
"198",2
"199",2
"200",3
"201",2
"202",2
"203",3
"204",3
"205",2
"206",1
"207",3
"208",3
"209",3
"210",4
"211",1
"212",3
"213",3
"214",3
"215",4
"216",1
"217",3
"218",3
"219",3
"220",3
"221",1
"222",3
"223",3
"224",3
"225",3
"226",1
"227",2
"228",3
"229",3
"230",3
"231",2
"232",3
"233",3
"234",4
"235",4
"236",2
"237",3
"238",4
"239",4
"240",3
"241",2
"242",2
"243",2
"244",4
"245",4
"246",2
"247",3
"248",3
"249",4
"250",3
"251",2
"252",2
"253",3
"254",3
"255",3
"256",2
"257",2
"258",3
"259",3
"260",3
"261",2
"262",3
"263",3
"264",4
"265",3
"266",2
"267",3
"268",3
"269",4
"270",4
"271",2
"272",3
"273",4
"274",4
"275",4
"276",2
"277",3
"278",3
"279",5
"280",5
"281",3
"282",4
"283",3
"284",4
"285",4
"286",2
"287",3
"288",5
"289",5
"290",4
"291",2
"292",4
"293",4
"294",4
"295",5
"296",2
"297",3
"298",4
"299",4
"300",4
"301",2
"302",4
"303",4
"304",4
"305",4
"306",2
"307",4
"308",5
"309",5
"310",5
"311",2
"312",4
"313",5
"314",4
"315",4
"316",2
"317",3
"318",4
"319",4
"320",5
"321",2
"322",3
"323",4
"324",4
"325",4
"326",2
"327",4
"328",3
"329",5
"330",4
"331",3
"332",5
"333",5
"334",5
"335",5
"336",2
"337",3
"338",5
"339",5
"340",5
"341",2
"342",3
"343",4
"344",4
"345",5
"346",2
"347",3
"348",4
"349",4
"350",5
"351",1
"352",2
"353",3
"354",2
"355",2
"356",5
"357",5
"358",5
"359",3
"360",5
"361",3
"362",3
"363",3
"364",3
"365",5
"366",3
"367",3
"368",4
"369",4
"370",4
"371",5
"372",3
"373",3
"374",3
"375",3
"376",5
"377",5
"378",5
"379",5
"380",5
"381",5
"382",5
"383",1
"384",2
"385",1
"386",1
"387",2
"388",1
"389",1
"390",2
"391",2
"392",1
"393",2
"394",2
"395",2
"396",2
"397",3
"398",3
"399",3
"400",3
"401",3
"402",3
"403",3
"404",3
"405",3
"406",3
"407",3
"408",2
"409",2
"410",3
"411",3
"412",3
"413",3
"414",3
"415",4
"416",4
"417",3
"418",3
"419",4
"420",3
"421",3
"422",3
"423",4
"424",4
"425",4
"426",3
"427",4
"428",4
"429",4
"430",4
"431",3
"432",4
"433",3
"434",3
"435",3
"436",4
"437",4
"438",4
"439",3
"440",4
"441",4
"442",4
"443",4
"444",3
"445",4
"446",3
"447",3
"448",3
"449",4
"450",3
"451",3
"452",2
"453",3
"454",3
"455",4
"456",4
"457",5
"458",5
"459",4
"460",4
"461",5
"462",2
"463",2
"464",2
"465",4
"466",3
"467",3
"468",4
"469",4
"470",4
"471",4
"472",5
"473",5
"474",5
"475",2
"476",2
"477",5
"478",2
"479",2
"480",5
"481",5
"482",2
"483",5
"484",3
"485",5
"486",3
"487",3
"488",5
"489",2
"490",1
"491",1
"492",3
"493",5
"494",2
"495",3
"496",5
"497",5
"498",3
"499",3
"500",5
"501",3
"502",4
"503",1
"504",1
"505",3
"506",2
"507",4
"508",2
"509",4
"510",2
"511",2
"512",4
"513",2
"514",2
