"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",8,10,13,11,14,11,14,9,11,10,9,6,12,14,14,8,10,6,11
"2",5,7,5,6,10,5,6,9,15,5,4,5,4,8,5,6,3,6,3
"3",16,14,12,16,14,14,16,12,16,16,12,16,15,16,16,16,14,14,16
"4",10,10,15,14,15,8,14,14,13,15,13,15,14,14,15,14,12,11,15
"5",15,16,16,16,13,12,13,16,14,16,13,14,8,14,13,11,15,16,10
"6",16,16,12,16,16,16,14,13,15,16,13,15,16,13,15,16,13,11,16
"7",10,11,12,14,9,9,13,15,12,9,8,7,11,11,13,10,7,13,10
"8",10,6,6,10,9,9,12,12,5,8,9,6,8,3,10,8,13,11,6
"9",10,14,10,13,11,11,13,15,4,12,11,16,13,8,10,16,7,15,12
"10",12,7,8,3,7,4,8,9,6,5,3,4,4,12,2,6,7,9,8
"11",7,13,11,13,11,10,11,12,10,12,13,13,8,15,13,10,11,13,12
"12",1,1,7,6,3,5,2,2,2,1,1,9,2,4,5,2,3,1,5
"13",10,14,13,9,15,14,13,13,13,11,12,10,9,15,16,12,10,14,12
"14",12,2,3,3,8,6,13,4,9,6,4,8,12,5,3,3,3,8,12
"15",2,7,6,2,9,2,6,3,7,2,4,5,10,12,3,4,5,5,6
"16",16,16,16,16,16,14,16,15,12,16,15,14,16,15,16,16,14,14,16
"17",7,11,9,12,8,6,5,5,7,6,5,13,14,3,3,6,10,3,7
"18",14,11,15,13,12,9,15,11,14,10,14,13,13,13,5,15,16,15,16
"19",5,2,4,7,6,6,7,8,2,6,3,13,4,6,4,5,4,7,11
"20",9,8,16,5,5,10,13,1,6,7,5,3,7,9,9,11,11,7,5
"21",7,3,7,3,9,5,6,10,5,4,6,3,4,6,11,9,6,2,6
"22",10,16,9,6,11,13,14,11,13,3,7,15,6,9,13,9,16,4,5
"23",14,15,16,13,16,15,15,15,15,14,13,13,16,16,13,16,14,14,15
"24",15,15,15,15,13,14,11,15,7,14,12,9,10,10,16,13,12,16,16
"25",8,7,7,8,3,12,11,10,9,6,8,7,11,11,5,4,7,11,12
"26",9,5,7,8,5,3,2,5,3,7,6,9,7,8,6,4,9,11,11
"27",1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,3,1,2
"28",16,16,13,16,15,16,16,16,16,15,16,15,15,12,10,12,15,12,15
"29",14,14,13,11,14,15,15,10,11,14,9,12,12,14,11,9,14,9,14
"30",2,5,4,3,1,4,4,5,1,2,2,4,1,5,5,1,2,1,7
"31",2,2,3,3,2,2,8,2,4,5,4,5,8,3,3,5,6,3,6
"32",8,5,3,3,2,8,1,5,2,7,6,4,4,7,3,3,3,5,7
"33",10,10,4,10,8,6,12,3,6,4,13,7,7,2,11,2,6,8,9
"34",12,13,7,7,13,11,11,14,14,14,9,12,7,11,10,10,14,7,13
"35",12,15,13,16,11,13,16,11,13,14,14,13,15,10,16,5,16,14,6
"36",5,8,11,5,8,12,6,9,10,10,4,5,12,10,7,10,10,9,7
"37",14,15,14,13,15,11,15,16,4,14,14,13,16,12,7,12,14,10,9
"38",11,11,15,13,15,10,8,13,7,14,12,15,10,14,14,5,15,15,12
"39",11,13,8,12,13,8,12,12,3,7,13,14,11,11,12,16,11,10,10
"40",3,2,8,4,4,6,4,4,6,2,3,10,2,2,5,3,3,3,2
"41",6,3,4,11,6,9,5,5,7,11,5,5,5,2,8,8,3,3,10
"42",15,13,11,14,11,15,9,5,13,16,13,15,15,16,12,11,15,13,4
"43",11,6,7,6,9,4,11,8,6,7,7,5,7,8,10,8,9,14,11
"44",2,5,4,4,1,2,3,7,3,5,8,2,5,1,3,2,4,4,7
"45",7,8,11,8,9,14,14,14,11,15,15,16,10,14,9,9,7,11,12
"46",6,11,8,11,10,11,9,4,8,7,6,15,5,6,12,10,6,14,13
"47",13,10,12,14,15,6,9,8,6,7,6,5,11,11,9,3,9,8,12
"48",15,15,16,16,15,15,16,16,14,15,14,14,14,14,14,13,16,15,16
"49",12,10,12,12,14,12,15,8,15,9,13,10,8,11,6,12,10,12,6
"50",7,14,7,11,9,8,9,12,5,13,13,13,13,7,7,14,16,12,4
"51",10,4,10,13,13,3,14,4,5,4,11,4,6,3,3,12,9,10,5
"52",9,3,11,5,15,5,9,6,10,10,7,10,5,3,14,10,5,12,13
"53",2,11,2,3,10,6,2,4,5,2,3,7,5,8,2,8,9,4,1
"54",5,5,9,11,11,12,10,12,10,14,12,4,14,15,7,5,11,16,7
"55",12,10,6,9,1,8,8,7,11,9,6,11,11,11,9,10,11,5,11
"56",7,2,13,4,7,5,9,9,3,12,2,4,3,3,2,4,2,5,3
"57",4,2,10,7,6,3,4,11,10,11,9,5,13,6,2,11,2,4,10
"58",12,8,5,8,7,5,11,10,12,13,8,10,7,7,5,8,13,13,11
"59",11,11,10,5,13,10,10,11,7,13,13,9,5,15,10,5,11,13,11
"60",6,3,4,2,5,4,3,4,7,9,2,10,4,3,6,9,1,8,3
"61",6,10,3,11,3,4,14,9,5,14,9,13,10,4,9,9,8,12,8
"62",10,13,8,11,14,11,8,5,4,10,6,11,8,12,6,8,10,6,10
"63",14,13,14,14,15,15,16,15,14,16,12,16,16,12,16,14,16,9,14
"64",6,11,8,12,6,4,6,8,10,8,7,10,12,6,7,8,8,6,9
"65",16,16,13,15,16,16,16,16,16,16,14,12,13,16,16,16,16,15,16
"66",5,1,4,3,1,4,4,7,2,5,6,5,3,4,9,7,2,8,3
"67",1,1,1,3,1,3,2,2,1,1,6,1,1,1,1,5,5,2,2
"68",6,7,9,10,8,4,2,11,3,3,6,4,6,4,7,4,6,1,6
"69",1,1,1,3,7,3,2,6,1,10,10,1,4,3,1,3,4,2,2
"70",15,8,11,15,9,10,10,15,15,8,11,12,12,8,12,13,7,14,8
"71",4,5,2,5,2,8,2,3,2,4,3,3,5,2,6,5,4,1,2
"72",2,1,2,7,11,1,1,7,2,1,4,2,3,1,1,7,1,1,5
"73",14,15,16,16,14,10,14,16,14,14,14,15,12,12,16,13,10,14,14
"74",7,3,2,4,6,5,6,7,7,8,2,3,4,3,6,4,5,5,5
"75",15,10,12,11,6,15,14,6,14,10,9,8,6,15,10,14,6,11,14
"76",14,16,13,15,10,16,13,15,8,12,14,10,12,13,11,15,15,15,15
"77",2,2,4,6,3,1,7,5,9,7,6,4,2,1,9,1,2,1,6
"78",12,14,8,12,8,12,7,9,10,11,13,6,12,12,12,8,7,6,9
"79",8,12,13,14,11,5,9,11,14,7,12,11,9,13,11,9,5,6,6
"80",15,16,16,14,14,13,14,15,12,14,12,13,12,15,11,14,13,14,15
"81",7,11,9,6,12,11,16,10,12,5,8,13,10,8,8,10,10,14,7
"82",7,8,10,3,3,10,12,2,7,5,5,3,6,2,6,11,3,5,5
"83",10,11,14,8,15,10,10,14,7,9,13,13,13,2,7,13,11,10,12
"84",16,13,15,12,14,12,15,9,15,15,12,14,12,15,11,14,16,16,14
"85",10,13,13,14,7,5,12,13,9,7,16,8,11,11,9,6,13,11,5
"86",1,2,8,2,2,3,6,7,1,2,2,8,6,2,2,2,4,1,5
"87",16,12,15,15,10,13,15,13,16,16,13,14,15,12,14,16,14,11,15
"88",5,7,11,8,3,13,10,5,8,5,7,6,15,13,14,3,7,9,13
"89",14,10,10,11,14,9,14,12,14,14,10,12,12,13,12,13,13,6,13
"90",14,14,13,15,12,13,11,10,7,13,13,11,10,10,14,11,12,14,13
"91",11,12,13,11,6,11,9,9,10,10,8,5,4,9,9,9,9,9,6
"92",15,14,13,7,11,4,13,14,11,14,15,13,13,10,13,13,14,11,13
"93",3,2,9,4,8,5,6,3,7,2,7,3,7,6,2,10,1,4,2
"94",5,4,6,1,1,1,7,2,2,4,3,1,2,4,8,1,2,7,1
