"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",12,13,7,10,14,10,8,8,14,11,9,11,14,6,13,9,10,3,10
"2",5,7,8,6,5,7,4,3,6,10,11,7,5,15,5,13,8,12,12
"3",14,16,15,12,16,14,16,16,16,14,16,16,14,16,15,12,16,16,16
"4",7,15,14,10,14,14,14,13,8,13,12,14,12,15,11,12,15,15,13
"5",15,12,14,16,7,10,11,12,16,16,12,10,10,10,8,11,13,16,13
"6",16,13,15,16,14,16,15,15,16,14,13,15,16,16,16,16,14,7,13
"7",11,10,12,14,13,8,11,14,15,12,9,9,13,13,10,14,11,16,16
"8",6,9,6,9,8,6,4,8,8,14,10,8,12,6,10,2,11,7,13
"9",10,14,12,4,15,5,14,15,14,12,11,6,16,8,6,10,9,16,16
"10",12,8,4,6,12,6,3,7,3,3,8,2,7,8,4,6,7,12,4
"11",13,7,11,13,12,10,11,4,15,15,16,8,9,11,15,14,11,8,12
"12",2,3,10,4,4,1,4,2,2,2,4,5,3,4,1,7,5,2,12
"13",15,9,15,12,13,13,12,10,15,12,14,15,16,15,12,12,15,10,16
"14",13,9,7,2,12,8,2,12,9,3,10,3,6,1,3,12,6,2,3
"15",2,7,7,4,6,5,10,2,3,5,13,9,2,4,1,6,2,5,7
"16",16,16,16,16,15,16,16,16,16,16,15,16,15,15,16,16,15,14,16
"17",12,7,6,8,8,3,6,9,4,11,6,6,11,13,13,10,13,12,5
"18",14,14,15,15,11,14,12,16,14,11,13,16,12,13,12,13,14,16,14
"19",5,3,2,2,4,7,4,6,4,3,8,7,9,11,5,3,2,3,7
"20",8,16,9,5,7,13,11,11,7,10,8,3,3,11,2,10,7,9,1
"21",7,6,10,9,5,4,8,7,8,10,4,4,15,10,5,9,6,13,7
"22",10,4,6,9,9,9,13,5,15,6,15,3,16,7,10,6,15,13,12
"23",16,13,15,13,14,14,12,16,15,11,16,14,16,15,13,9,14,14,13
"24",15,14,9,16,16,15,13,11,16,15,10,15,16,10,16,15,7,16,16
"25",8,7,12,7,12,15,9,15,6,11,9,6,6,8,12,3,10,10,9
"26",9,4,5,2,5,7,8,4,13,11,6,6,3,14,8,6,10,8,9
